 x   F2A/F2D 
      0.11000      1.00961      1.54998
      0.12000      1.00938      1.55185
      0.13000      1.00897      1.55391
      0.14000      1.00847      1.55624
      0.15000      1.00793      1.55886
      0.16000      1.00738      1.56170
      0.17000      1.00686      1.56470
      0.18000      1.00638      1.56786
      0.19000      1.00594      1.57112
      0.20000      1.00554      1.57440
      0.21000      1.00518      1.57767
      0.22000      1.00484      1.58087
      0.23000      1.00451      1.58393
      0.24000      1.00418      1.58687
      0.25000      1.00383      1.58964
      0.26000      1.00346      1.59222
      0.27000      1.00306      1.59461
      0.28000      1.00260      1.59679
      0.29000      1.00209      1.59878
      0.30000      1.00153      1.60056
      0.31000      1.00090      1.60217
      0.32000      1.00021      1.60357
      0.33000      0.99946      1.60483
      0.34000      0.99865      1.60597
      0.35000      0.99778      1.60701
      0.36000      0.99687      1.60798
      0.37000      0.99591      1.60889
      0.38000      0.99492      1.60977
      0.39000      0.99390      1.61064
      0.40000      0.99286      1.61153
      0.41000      0.99181      1.61245
      0.42000      0.99074      1.61341
      0.43000      0.98967      1.61444
      0.44000      0.98861      1.61554
      0.45000      0.98754      1.61668
      0.46000      0.98648      1.61788
      0.47000      0.98543      1.61915
      0.48000      0.98439      1.62049
      0.49000      0.98335      1.62189
      0.50000      0.98231      1.62335
      0.51000      0.98126      1.62485
      0.52000      0.98022      1.62638
      0.53000      0.97915      1.62793
      0.54000      0.97808      1.62949
      0.55000      0.97698      1.63105
      0.56000      0.97585      1.63258
      0.57000      0.97470      1.63408
      0.58000      0.97352      1.63554
      0.59000      0.97232      1.63696
      0.60000      0.97109      1.63834
      0.61000      0.96985      1.63968
      0.62000      0.96860      1.64098
      0.63000      0.96736      1.64228
      0.64000      0.96614      1.64359
      0.65000      0.96498      1.64494
      0.66000      0.96390      1.64638
      0.67000      0.96293      1.64786
      0.68000      0.96211      1.64952
      0.69000      0.96149      1.65145
      0.70000      0.96112      1.65373
      0.71000      0.96105      1.65645
      0.72000      0.96135      1.65970
      0.73000      0.96208      1.66360
      0.74000      0.96331      1.66828
      0.75000      0.96512      1.67385
      0.76000      0.96758      1.68046
      0.77000      0.97078      1.68823
      0.78000      0.97480      1.69733
      0.79000      0.97971      1.70787
      0.80000      0.98559      1.72001
      0.81000      0.99253      1.73387
      0.82000      1.00058      1.74957
      0.83000      1.00980      1.76720
      0.84000      1.02023      1.78683
      0.85000      1.03189      1.80851
      0.86000      1.04477      1.83220
      0.87000      1.05883      1.85785
      0.88000      1.07397      1.88526
      0.89000      1.09005      1.91423
      0.90000      1.10684      1.94434
