 x   F2A/F2D 
      0.10000      1.01753
      0.12000      1.01394
      0.14000      1.01091
      0.16000      1.00825
      0.18000      1.00583
      0.20000      1.00355
      0.22000      1.00135
      0.24000      0.99917
      0.26000      0.99697
      0.28000      0.99473
      0.30000      0.99241
      0.32000      0.98999
      0.34000      0.98745
      0.36000      0.98477
      0.38000      0.98193
      0.40000      0.97892
      0.42000      0.97571
      0.44000      0.97229
      0.46000      0.96864
      0.48000      0.96474
      0.50000      0.96058
      0.52000      0.95613
      0.54000      0.95136
      0.56000      0.94627
      0.58000      0.94082
      0.60000      0.93498
      0.62000      0.92873
      0.64000      0.92204
      0.66000      0.91485
      0.68000      0.90712
      0.70000      0.89878
      0.72000      0.88975
      0.74000      0.87992
      0.76000      0.86913
      0.78000      0.85719
      0.80000      0.84375
      0.82000      0.82827
      0.84000      0.81049
      0.86000      0.78969
      0.88000      0.76388
      0.90000      0.72664
      0.92000      0.68552
      0.94000      0.81536
      0.96000      0.82228
      0.98000      1.40994
