 x   F2A/F2D_CJ   NMC     SLAC
      0.15000      1.00793      1.55886      1.56178      1.54406
      0.16000      1.00738      1.56170      1.56409      1.54551
      0.17000      1.00686      1.56470      1.56644      1.54702
      0.18000      1.00638      1.56786      1.56885      1.54861
      0.19000      1.00594      1.57112      1.57132      1.55028
      0.20000      1.00554      1.57440      1.57386      1.55203
      0.21000      1.00518      1.57767      1.57646      1.55385
      0.22000      1.00484      1.58087      1.57909      1.55573
      0.23000      1.00451      1.58393      1.58174      1.55765
      0.24000      1.00418      1.58687      1.58440      1.55959
      0.25000      1.00383      1.58964      1.58703      1.56152
      0.26000      1.00346      1.59222      1.58963      1.56343
      0.27000      1.00306      1.59461      1.59217      1.56531
      0.28000      1.00260      1.59679      1.59465      1.56713
      0.29000      1.00209      1.59878      1.59703      1.56889
      0.30000      1.00153      1.60056      1.59933      1.57058
      0.31000      1.00090      1.60217      1.60153      1.57219
      0.32000      1.00021      1.60357      1.60364      1.57373
      0.33000      0.99946      1.60483      1.60564      1.57518
      0.34000      0.99865      1.60597      1.60755      1.57657
      0.35000      0.99778      1.60701      1.60937      1.57789
      0.36000      0.99687      1.60798      1.61110      1.57915
      0.37000      0.99591      1.60889      1.61276      1.58037
      0.38000      0.99492      1.60977      1.61435      1.58155
      0.39000      0.99390      1.61064      1.61589      1.58271
      0.40000      0.99286      1.61153      1.61737      1.58385
      0.41000      0.99181      1.61245      1.61881      1.58499
      0.42000      0.99074      1.61341      1.62022      1.58614
      0.43000      0.98967      1.61444      1.62160      1.58730
      0.44000      0.98861      1.61554      1.62296      1.58849
      0.45000      0.98754      1.61668      1.62428      1.58970
      0.46000      0.98648      1.61788      1.62558      1.59095
      0.47000      0.98543      1.61915      1.62685      1.59223
      0.48000      0.98439      1.62049      1.62808      1.59354
      0.49000      0.98335      1.62189      1.62926      1.59488
      0.50000      0.98231      1.62335      1.63038      1.59625
      0.51000      0.98126      1.62485      1.63143      1.59764
      0.52000      0.98022      1.62638      1.63239      1.59904
      0.53000      0.97915      1.62793      1.63326      1.60044
      0.54000      0.97808      1.62949      1.63400      1.60185
      0.55000      0.97698      1.63105      1.63461      1.60324
      0.56000      0.97585      1.63258      1.63507      1.60463
      0.57000      0.97470      1.63408      1.63537      1.60599
      0.58000      0.97352      1.63554      1.63549      1.60733
      0.59000      0.97232      1.63696      1.63543      1.60865
      0.60000      0.97109      1.63834      1.63519      1.60997
      0.61000      0.96985      1.63968      1.63476      1.61128
      0.62000      0.96860      1.64098      1.63415      1.61261
      0.63000      0.96736      1.64228      1.63337      1.61398
      0.64000      0.96614      1.64359      1.63245      1.61543
      0.65000      0.96498      1.64494      1.63142      1.61699
      0.66000      0.96390      1.64638      1.63030      1.61872
      0.67000      0.96293      1.64786      1.62915      1.62066
      0.68000      0.96211      1.64952      1.62802      1.62290
      0.69000      0.96149      1.65145      1.62698      1.62550
      0.70000      0.96112      1.65373      1.62610      1.62856
      0.71000      0.96105      1.65645      1.62547      1.63218
      0.72000      0.96135      1.65970      1.62517      1.63646
      0.73000      0.96208      1.66360      1.62530      1.64151
      0.74000      0.96331      1.66828      1.62598      1.64748
      0.75000      0.96512      1.67385      1.62732      1.65449
      0.76000      0.96758      1.68046      1.62943      1.66269
      0.77000      0.97078      1.68823      1.63243      1.67221
      0.78000      0.97480      1.69733      1.63645      1.68322
      0.79000      0.97971      1.70787      1.64160      1.69587
      0.80000      0.98559      1.72001      1.64799      1.71029
      0.81000      0.99253      1.73387      1.65574      1.72665
      0.82000      1.00058      1.74957      1.66492      1.74506
      0.83000      1.00980      1.76720      1.67560      1.76564
      0.84000      1.02023      1.78683      1.68783      1.78847
      0.85000      1.03189      1.80851      1.70161      1.81362
