 x   F2A/F2D 
      0.01000      0.98485      1.47925
      0.02000      0.98477      1.48112
      0.03000      0.99016      1.49125
      0.04000      0.99573      1.50170
      0.05000      1.00041      1.51082
      0.06000      1.00398      1.51831
      0.07000      1.00652      1.52427
      0.08000      1.00818      1.52894
      0.09000      1.00915      1.53256
      0.10000      1.00957      1.53539
      0.11000      1.00961      1.53765
      0.12000      1.00938      1.53951
      0.13000      1.00897      1.54113
      0.14000      1.00847      1.54262
      0.15000      1.00793      1.54406
      0.16000      1.00738      1.54551
      0.17000      1.00686      1.54702
      0.18000      1.00638      1.54861
      0.19000      1.00594      1.55028
      0.20000      1.00554      1.55203
      0.21000      1.00518      1.55385
      0.22000      1.00484      1.55573
      0.23000      1.00451      1.55765
      0.24000      1.00418      1.55959
      0.25000      1.00383      1.56152
      0.26000      1.00346      1.56343
      0.27000      1.00306      1.56531
      0.28000      1.00260      1.56713
      0.29000      1.00209      1.56889
      0.30000      1.00153      1.57058
      0.31000      1.00090      1.57219
      0.32000      1.00021      1.57373
      0.33000      0.99946      1.57518
      0.34000      0.99865      1.57657
      0.35000      0.99778      1.57789
      0.36000      0.99687      1.57915
      0.37000      0.99591      1.58037
      0.38000      0.99492      1.58155
      0.39000      0.99390      1.58271
      0.40000      0.99286      1.58385
      0.41000      0.99181      1.58499
      0.42000      0.99074      1.58614
      0.43000      0.98967      1.58730
      0.44000      0.98861      1.58849
      0.45000      0.98754      1.58970
      0.46000      0.98648      1.59095
      0.47000      0.98543      1.59223
      0.48000      0.98439      1.59354
      0.49000      0.98335      1.59488
      0.50000      0.98231      1.59625
      0.51000      0.98126      1.59764
      0.52000      0.98022      1.59904
      0.53000      0.97915      1.60044
      0.54000      0.97808      1.60185
      0.55000      0.97698      1.60324
      0.56000      0.97585      1.60463
      0.57000      0.97470      1.60599
      0.58000      0.97352      1.60733
      0.59000      0.97232      1.60865
      0.60000      0.97109      1.60997
      0.61000      0.96985      1.61128
      0.62000      0.96860      1.61261
      0.63000      0.96736      1.61398
      0.64000      0.96614      1.61543
      0.65000      0.96498      1.61699
      0.66000      0.96390      1.61872
      0.67000      0.96293      1.62066
      0.68000      0.96211      1.62290
      0.69000      0.96149      1.62550
      0.70000      0.96112      1.62856
      0.71000      0.96105      1.63218
      0.72000      0.96135      1.63646
      0.73000      0.96208      1.64151
      0.74000      0.96331      1.64748
      0.75000      0.96512      1.65449
      0.76000      0.96758      1.66269
      0.77000      0.97078      1.67221
      0.78000      0.97480      1.68322
      0.79000      0.97971      1.69587
      0.80000      0.98559      1.71029
      0.81000      0.99253      1.72665
      0.82000      1.00058      1.74506
      0.83000      1.00980      1.76564
      0.84000      1.02023      1.78847
      0.85000      1.03189      1.81362
      0.86000      1.04477      1.84109
      0.87000      1.05883      1.87081
      0.88000      1.07397      1.90265
      0.89000      1.09005      1.93636
      0.90000      1.10684      1.97156
      0.91000      1.12405      2.00774
      0.92000      1.14126      2.04415
      0.93000      1.15793      2.07984
      0.94000      1.17339      2.11360
      0.95000      1.18681      2.14391
      0.96000      1.19718      2.16892
      0.97000      1.20333      2.18645
      0.98000      1.20393      2.19400
      0.99000      1.19750      2.18881
