 x    Q2    WSQ   F2(He3)   err   F2A_model    F2A_KP
 0.4500   1.9506   3.2645  0.3437E+00  0.1325E-02  0.3547E+00  0.3547E+00
 0.4750   1.9927   3.0828  0.3296E+00  0.1627E-02  0.3279E+00  0.3279E+00
 0.5000   2.0320   2.9124  0.3110E+00  0.1474E-02  0.3012E+00  0.3012E+00
 0.5250   2.0691   2.7524  0.2765E+00  0.9372E-03  0.2748E+00  0.2748E+00
 0.5500   2.1039   2.6017  0.2420E+00  0.1217E-02  0.2489E+00  0.2489E+00
 0.5750   2.1367   2.4597  0.2186E+00  0.8199E-03  0.2246E+00  0.2246E+00
 0.6000   2.1678   2.3255  0.2018E+00  0.1126E-02  0.2050E+00  0.2050E+00
 0.6250   2.1971   2.1986  0.1804E+00  0.1064E-02  0.1826E+00  0.1826E+00
 0.6500   2.2249   2.0784  0.1512E+00  0.7122E-03  0.1484E+00  0.1484E+00
 0.6750   2.2513   1.9643  0.1298E+00  0.9941E-03  0.1271E+00  0.1271E+00
 0.7000   2.2763   1.8559  0.1111E+00  0.4819E-03  0.1154E+00  0.1154E+00
 0.7250   2.3002   1.7528  0.1019E+00  0.4288E-03  0.1059E+00  0.1059E+00
 0.7750   2.3445   1.5610  0.8700E-01  0.4138E-03  0.9358E-01  0.9358E-01
 0.8250   2.3849   1.3863  0.5740E-01  0.3422E-03  0.5894E-01  0.5894E-01
 0.8750   2.4219   1.2263  0.2624E-01  0.2792E-03  0.2667E-01  0.2667E-01
 0.9250   2.4559   1.0795  0.9606E-02  0.3060E-03  0.0000E+00  0.0000E+00
 1.1500   2.5797   0.5439  0.1594E-04  0.9883E-04  0.3422E-04  0.3422E-04
 1.2000   2.6022   0.4467  0.3433E-03  0.7293E-04  0.4406E-04  0.4406E-04
 1.2500   2.6232   0.3557  0.3758E-03  0.6033E-04  0.4230E-04  0.4230E-04
 1.3000   2.6429   0.2704  0.2184E-03  0.4965E-04  0.3777E-04  0.3777E-04
 1.3500   2.6615   0.1903  0.2303E-03  0.4388E-04  0.3416E-04  0.3416E-04
 1.4000   2.6789   0.1150  0.7272E-04  0.3451E-04  0.3473E-04  0.3473E-04
 1.4500   2.6953   0.0439  0.6848E-04  0.1835E-05  0.5710E-04  0.5710E-04
