 x   F2A/F2D 
      0.01000      0.98485      1.47530
      0.02000      0.98477      1.47318
      0.03000      0.99016      1.47922
      0.04000      0.99573      1.48550
      0.05000      1.00041      1.49040
      0.06000      1.00398      1.49362
      0.07000      1.00652      1.49528
      0.08000      1.00818      1.49561
      0.09000      1.00915      1.49488
      0.10000      1.00957      1.49333
      0.11000      1.00961      1.49118
      0.12000      1.00938      1.48862
      0.13000      1.00897      1.48579
      0.14000      1.00847      1.48279
      0.15000      1.00793      1.47972
      0.16000      1.00738      1.47663
      0.17000      1.00686      1.47356
      0.18000      1.00638      1.47053
      0.19000      1.00594      1.46754
      0.20000      1.00554      1.46459
      0.21000      1.00518      1.46168
      0.22000      1.00484      1.45877
      0.23000      1.00451      1.45587
      0.24000      1.00418      1.45295
      0.25000      1.00383      1.44998
      0.26000      1.00346      1.44696
      0.27000      1.00306      1.44386
      0.28000      1.00260      1.44068
      0.29000      1.00209      1.43739
      0.30000      1.00153      1.43401
      0.31000      1.00090      1.43051
      0.32000      1.00021      1.42691
      0.33000      0.99946      1.42319
      0.34000      0.99865      1.41938
      0.35000      0.99778      1.41546
      0.36000      0.99687      1.41146
      0.37000      0.99591      1.40737
      0.38000      0.99492      1.40322
      0.39000      0.99390      1.39900
      0.40000      0.99286      1.39473
      0.41000      0.99181      1.39043
      0.42000      0.99074      1.38609
      0.43000      0.98967      1.38172
      0.44000      0.98861      1.37733
      0.45000      0.98754      1.37292
      0.46000      0.98648      1.36851
      0.47000      0.98543      1.36407
      0.48000      0.98439      1.35963
      0.49000      0.98335      1.35516
      0.50000      0.98231      1.35067
      0.51000      0.98126      1.34616
      0.52000      0.98022      1.34161
      0.53000      0.97915      1.33702
      0.54000      0.97808      1.33238
      0.55000      0.97698      1.32769
      0.56000      0.97585      1.32294
      0.57000      0.97470      1.31812
      0.58000      0.97352      1.31324
      0.59000      0.97232      1.30830
      0.60000      0.97109      1.30331
      0.61000      0.96985      1.29826
      0.62000      0.96860      1.29318
      0.63000      0.96736      1.28808
      0.64000      0.96614      1.28300
      0.65000      0.96498      1.27795
      0.66000      0.96390      1.27297
      0.67000      0.96293      1.26812
      0.68000      0.96211      1.26343
      0.69000      0.96149      1.25897
      0.70000      0.96112      1.25479
      0.71000      0.96105      1.25098
      0.72000      0.96135      1.24759
      0.73000      0.96208      1.24472
      0.74000      0.96331      1.24245
      0.75000      0.96512      1.24087
      0.76000      0.96758      1.24006
      0.77000      0.97078      1.24013
      0.78000      0.97480      1.24116
      0.79000      0.97971      1.24325
      0.80000      0.98559      1.24648
      0.81000      0.99253      1.25094
      0.82000      1.00058      1.25668
      0.83000      1.00980      1.26376
      0.84000      1.02023      1.27221
      0.85000      1.03189      1.28204
      0.86000      1.04477      1.29322
      0.87000      1.05883      1.30567
      0.88000      1.07397      1.31926
      0.89000      1.09005      1.33378
      0.90000      1.10684      1.34896
      0.91000      1.12405      1.36441
      0.92000      1.14126      1.37962
      0.93000      1.15793      1.39394
      0.94000      1.17339      1.40656
      0.95000      1.18681      1.41651
      0.96000      1.19718      1.42262
      0.97000      1.20333      1.42355
      0.98000      1.20393      1.41778
      0.99000      1.19750      1.40369
