   1.1007   0.6087  85.0000   0.5803   1.2233   0.3320       102.3482         6.6833       118.7412  0.8619  0.0563   5
   1.1007   0.5917  85.0000   0.6464   1.1891   0.3284       192.1550         9.9903       225.5140  0.8521  0.0443   5
   1.1007   0.5737  85.0000   0.7163   1.1530   0.3243       431.4532        18.1748       457.6733  0.9427  0.0397   5
   1.1007   0.5567  85.0000   0.7824   1.1188   0.3202       994.5073        38.4706       994.2349  1.0003  0.0387   5
   1.1007   0.5397  85.0000   0.8485   1.0846   0.3158      3898.5676       166.3060      3692.3378  1.0559  0.0450   5
   1.1007   0.5247  85.0000   0.9067   1.0545   0.3118      5857.3161       233.3774      5023.3135  1.1660  0.0465   5
   1.1007   0.5087  85.0000   0.9689   1.0223   0.3072      1953.2890        80.3264      1634.0837  1.1953  0.0492   5
   1.1007   0.4937  85.0000   1.0272   0.9922   0.3028      1206.3361        48.8343      1044.3073  1.1552  0.0468   5
   1.1007   0.4797  85.0000   1.0816   0.9641   0.2984       873.2272        37.5011       794.9059  1.0985  0.0472   5
   1.1007   0.4647  85.0000   1.1399   0.9339   0.2935       698.2974        29.4305       643.1043  1.0858  0.0458   5
   1.1007   0.4507  85.0000   1.1943   0.9058   0.2888       575.0733        23.9059       556.6050  1.0332  0.0429   5
   1.1007   0.4377  85.0000   1.2448   0.8797   0.2842       526.3042        21.4198       505.8930  1.0403  0.0423   5
   1.1007   0.4247  85.0000   1.2954   0.8535   0.2795       471.9291        22.1446       475.1006  0.9933  0.0466   5
   1.1007   0.4117  85.0000   1.3459   0.8274   0.2745       451.9089        20.6811       458.5558  0.9855  0.0451   5
   1.1007   0.3997  85.0000   1.3925   0.8033   0.2698       466.3547        21.3291       452.0107  1.0317  0.0472   5
   1.1007   0.3887  85.0000   1.4353   0.7812   0.2653       455.0376        20.3880       450.6747  1.0097  0.0452   5
   1.1007   0.3767  85.0000   1.4819   0.7571   0.2603       508.2700        23.7235       451.8478  1.1249  0.0525   5
   1.1007   0.3657  85.0000   1.5246   0.7350   0.2555       483.8230        22.7999       453.6080  1.0666  0.0503   5
   1.1007   0.3547  85.0000   1.5674   0.7129   0.2506       513.2186        24.0825       454.7099  1.1287  0.0530   5
   1.1007   0.3437  85.0000   1.6101   0.6908   0.2456       505.5430        23.2134       454.3562  1.1127  0.0511   5
   1.1007   0.3337  85.0000   1.6490   0.6707   0.2408       512.7821        24.2106       452.5231  1.1332  0.0535   5
   1.1007   0.3247  85.0000   1.6840   0.6526   0.2365       513.5241        23.5996       449.6050  1.1422  0.0525   5
   1.1007   0.3137  85.0000   1.7267   0.6305   0.2310       485.3746        17.4587       444.6807  1.0915  0.0393   5
   1.1007   0.3047  85.0000   1.7617   0.6124   0.2264       502.2620        17.7089       439.8614  1.1419  0.0403   5
