 1 Barreau:1983ht             0
 2 O'Connell:1987ag           0
 3 Sealock:1989nx             0
 4 Baran:1988tw               0
 5 Bagdasaryan:1988hp         0
 6 Zeller:1973ge              0
 7 Arrington:1995hs           0
 8 Day:1993md                 0
# 9 Arrington:1998psnoCC       0
10 xemc                       1
11 Whitney:1974hr             0
12 YaLIJan05                  0
13 VaheJun07                  1
 0 end
 29 64   5.766  26.000   2.024  0.4167E+01  0.4049E-01 10
 29 64   5.766  26.000   1.996  0.3479E+01  0.3872E-01 10
 29 64   5.766  26.000   1.968  0.2835E+01  0.3671E-01 10
 29 64   5.766  26.000   1.916  0.1794E+01  0.2769E-01 10
 29 64   5.766  26.000   1.890  0.1475E+01  0.2680E-01 10
 29 64   5.766  26.000   1.842  0.9656E+00  0.2184E-01 10
 29 64   5.766  26.000   1.819  0.7943E+00  0.2278E-01 10
 29 64   5.766  26.000   1.774  0.4983E+00  0.1914E-01 10
 29 64   5.766  26.000   1.752  0.4349E+00  0.2138E-01 10
 29 64   5.766  26.000   1.796  0.6122E+00  0.8385E-02 10
 29 64   5.766  26.000   1.731  0.3373E+00  0.5801E-02 10
 29 64   5.766  26.000   1.651  0.1571E+00  0.3834E-02 10
 29 64   5.766  26.000   1.578  0.7852E-01  0.2730E-02 10
 29 64   5.766  26.000   1.528  0.4572E-01  0.2304E-02 10
 29 64   5.766  32.000   3.347  0.3291E+02  0.3500E+00 10
 29 64   5.766  32.000   3.296  0.2782E+02  0.2787E+00 10
 29 64   5.766  32.000   3.246  0.2375E+02  0.2317E+00 10
 29 64   5.766  32.000   3.198  0.2016E+02  0.1428E+00 10
 29 64   5.766  32.000   3.151  0.1656E+02  0.1815E+00 10
 29 64   5.766  32.000   3.105  0.1391E+02  0.1189E+00 10
 29 64   5.766  32.000   3.061  0.1158E+02  0.1553E+00 10
 29 64   5.766  32.000   3.018  0.9613E+01  0.1011E+00 10
 29 64   5.766  32.000   2.977  0.7970E+01  0.1369E+00 10
 29 64   5.766  32.000   2.936  0.6546E+01  0.9643E-01 10
 29 64   5.766  32.000   2.897  0.5427E+01  0.4415E-01 10
 29 64   5.766  32.000   2.858  0.4372E+01  0.3510E-01 10
 29 64   5.766  32.000   2.821  0.3627E+01  0.3046E-01 10
 29 64   5.766  32.000   2.784  0.2971E+01  0.2655E-01 10
 29 64   5.766  32.000   2.749  0.2454E+01  0.2421E-01 10
 29 64   5.766  32.000   2.714  0.1987E+01  0.2234E-01 10
 29 64   5.766  32.000   2.647  0.1296E+01  0.1625E-01 10
 29 64   5.766  32.000   2.615  0.1074E+01  0.1520E-01 10
 29 64   5.766  32.000   2.584  0.8346E+00  0.1363E-01 10
 29 64   5.766  32.000   2.553  0.6722E+00  0.1241E-01 10
 29 64   5.766  32.000   2.523  0.5114E+00  0.1109E-01 10
 29 64   5.766  32.000   2.494  0.4026E+00  0.1018E-01 10
 29 64   5.766  32.000   2.466  0.3144E+00  0.9693E-02 10
 29 64   5.766  32.000   2.438  0.2620E+00  0.9761E-02 10
 29 64   5.766  32.000   2.410  0.1980E+00  0.4491E-02 10
 29 64   5.766  32.000   2.384  0.1461E+00  0.9297E-02 10
 29 64   5.766  32.000   2.358  0.1151E+00  0.3454E-02 10
 29 64   5.766  32.000   2.307  0.7131E-01  0.2677E-02 10
 29 64   5.766  32.000   2.259  0.4667E-01  0.2134E-02 10
 29 64   5.766  32.000   2.212  0.3325E-01  0.1838E-02 10
 29 64   5.766  32.000   2.168  0.2267E-01  0.1562E-02 10
 29 64   5.766  32.000   2.125  0.1392E-01  0.1252E-02 10
 29 64   5.766  32.000   2.084  0.9140E-02  0.1042E-02 10
 29 64   5.766  32.000   2.044  0.5223E-02  0.8061E-03 10
 29 64   5.766  32.000   2.006  0.3032E-02  0.6324E-03 10
 29 64   5.766  40.000   4.703  0.9568E+02  0.3915E+00 10
 29 64   5.766  40.000   4.637  0.8473E+02  0.3233E+00 10
 29 64   5.766  40.000   4.573  0.7642E+02  0.3134E+00 10
 29 64   5.766  40.000   4.511  0.6811E+02  0.2867E+00 10
 29 64   5.766  40.000   4.450  0.5984E+02  0.2600E+00 10
 29 64   5.766  40.000   4.391  0.5335E+02  0.2553E+00 10
 29 64   5.766  40.000   4.334  0.4639E+02  0.2028E+00 10
 29 64   5.766  40.000   4.278  0.4097E+02  0.1611E+00 10
 29 64   5.766  40.000   4.224  0.3509E+02  0.1397E+00 10
 29 64   5.766  40.000   4.171  0.3011E+02  0.1281E+00 10
 29 64   5.766  40.000   4.119  0.2599E+02  0.1083E+00 10
 29 64   5.766  40.000   4.068  0.2205E+02  0.9152E-01 10
 29 64   5.766  40.000   4.019  0.1885E+02  0.8757E-01 10
 29 64   5.766  40.000   3.971  0.1575E+02  0.6324E-01 10
 29 64   5.766  40.000   3.924  0.1308E+02  0.7003E-01 10
