   0.190   2.668  12.276          0.602          1.434
   0.190   2.669  12.275          0.602          1.433
   0.191   2.677  12.247          0.601          1.433
   0.620   5.242   4.098          0.133          1.284
   0.352   3.960   8.173          0.417          1.372
   0.262   3.318  10.210          0.528          1.404
   0.467   4.601   6.135          0.278          1.334
   0.225   2.998  11.229          0.569          1.419
   0.305   3.639   9.191          0.477          1.389
   0.207   2.838  11.738          0.587          1.426
   0.243   3.158  10.719          0.550          1.412
   0.199   2.757  11.993          0.594          1.430
   0.216   2.918  11.483          0.578          1.422
   0.195   2.717  12.120          0.598          1.431
   0.203   2.797  11.865          0.591          1.428
   0.193   2.697  12.184          0.600          1.432
   0.197   2.737  12.056          0.596          1.430
   0.192   2.687  12.216          0.601          1.433
   0.194   2.707  12.152          0.599          1.432
   0.191   2.682  12.231          0.601          1.433
   0.192   2.692  12.200          0.600          1.432
   0.191   2.680  12.239          0.601          1.433
   0.191   2.685  12.224          0.601          1.433
   0.191   2.678  12.243          0.601          1.433
   0.191   2.681  12.235          0.601          1.433
   0.191   2.678  12.245          0.601          1.433
   0.191   2.679  12.241          0.601          1.433
   0.191   2.680  12.237          0.601          1.433
   0.191   2.682  12.233          0.601          1.433
   0.191   2.683  12.228          0.601          1.433
   0.192   2.686  12.220          0.601          1.433
   0.192   2.690  12.208          0.600          1.433
   0.192   2.695  12.192          0.600          1.432
   0.192   2.688  12.212          0.601          1.433
   0.192   2.691  12.204          0.600          1.432
   0.192   2.693  12.196          0.600          1.432
   0.193   2.696  12.188          0.600          1.432
   0.193   2.702  12.168          0.599          1.432
   0.194   2.712  12.136          0.598          1.432
   0.193   2.700  12.176          0.600          1.432
   0.193   2.705  12.160          0.599          1.432
   0.194   2.710  12.144          0.599          1.432
   0.194   2.715  12.128          0.598          1.431
   0.196   2.727  12.088          0.597          1.431
   0.198   2.747  12.025          0.595          1.430
   0.195   2.722  12.104          0.598          1.431
   0.196   2.732  12.072          0.597          1.431
   0.197   2.742  12.040          0.596          1.430
   0.198   2.752  12.009          0.595          1.430
   0.201   2.777  11.929          0.592          1.429
   0.205   2.817  11.802          0.589          1.427
   0.200   2.767  11.961          0.593          1.429
   0.202   2.787  11.897          0.591          1.428
   0.204   2.807  11.834          0.590          1.427
   0.206   2.827  11.770          0.588          1.426
   0.211   2.878  11.611          0.582          1.424
   0.220   2.958  11.356          0.574          1.421
   0.209   2.858  11.674          0.585          1.425
