EXTERNAL/TSAI:  VERSION OF 8/8/96

Marathon                                                                
H3He                                                                    
                                                                        
Hall A 2018: 25 cm He3 target                                           
Nominal values - not exact                                              

----*----1----*----2----*----3----*----4----*----5----*----6----*----7--
                                                                        

TARGET (iZ,iA) = (  2,  3);   avgA =   3.000; amuM=  3.016; avgM=  2.809
 targ=TRITIUM; ttarg(rl)=0.00075; twall=0.00519; tbeam=0.00285; tspec=0.00759
         Nseg  =   4
 MODELS: P elastc(ikk)=14; deut elastic=13; inelastc=206; Pauli Supresion= 4
 NUCLEAR METHOD= 1;   NUCLEAR_MODEL= 1
 DIS MODEL=111

    E1    TH    Q2 COS_K         SMR     NUC          INT-SMR
    EP     X    W2 QE-PK  INELA  Q-ELA  ELAST   TOTAL  MODEL

  10.589 31.118  9.36    0.72   -4.66    0.34    0.00   -4.32  0.883
   3.072  0.664  5.63    0.75   -9.77    0.36    0.00   -9.41 2.736E-01

  10.589 30.892  9.49    0.67   -5.33    0.34    0.00   -4.99  0.918
   3.158  0.680  5.34    0.70  -10.60    0.36    0.00  -10.24 2.448E-01

  10.589 32.358  9.92    0.71   -5.53    0.37    0.00   -5.16  0.929
   3.017  0.698  5.17    0.74  -10.77    0.39    0.00  -10.39 1.781E-01

  10.589 31.855  9.90    0.67   -5.91    0.36    0.00   -5.55  0.957
   3.104  0.705  5.02    0.71  -11.26    0.39    0.00  -10.88 1.775E-01

  10.589 32.922 10.42    0.67   -6.75    0.42    0.00   -6.34  1.035
   3.063  0.738  4.59    0.71  -12.23    0.44    0.00  -11.79 1.167E-01

  10.589 34.922 10.76    0.75   -6.24    0.44    0.00   -5.80  0.986
   2.821  0.738  4.70    0.79  -11.53    0.46    0.00  -11.06 9.409E-02

  10.589 32.601 10.48    0.65   -7.28    0.44    0.00   -6.84  1.096
   3.141  0.750  4.38    0.68  -12.87    0.46    0.00  -12.41 1.075E-01

  10.589 33.583 10.95    0.67   -8.07    0.54    0.00   -7.53  1.214
   3.099  0.779  3.98    0.71  -13.76    0.56    0.00  -13.20 7.167E-02

  10.589 35.562 11.31    0.73   -7.60    0.55    0.00   -7.05  1.147
   2.864  0.780  4.07    0.77  -13.12    0.57    0.00  -12.54 5.748E-02

  10.589 34.248 11.49    0.71   -9.50    0.78    0.00   -8.72  1.481
   3.128  0.820  3.40    0.76  -15.41    0.80    0.00  -14.60 4.265E-02

  10.589 36.264 11.90    0.76   -9.17    0.80    0.00   -8.37  1.420
   2.900  0.825  3.41    0.81  -14.92    0.82    0.00  -14.10 3.280E-02

  0.000 0.000  0.000 .000  0.00  0.00  0.00  0.00  0.00  0.00 0.000
                           0.00  0.00  0.00  0.00  0.00  0.00 0.000E+00

