EXTERNAL/TSAI:  VERSION OF 8/8/96

Marathon                                                                
HeD                                                                     
                                                                        
Hall A 2018: 25 cm He3 target                                           
Nominal values - not exact                                              

----*----1----*----2----*----3----*----4----*----5----*----6----*----7--
                                                                        

TARGET (iZ,iA) = (  2,  3);   avgA =   3.000; amuM=  3.016; avgM=  2.809
 targ=TRITIUM; ttarg(rl)=0.00075; twall=0.00519; tbeam=0.00285; tspec=0.00759
         Nseg  =   4
 MODELS: P elastc(ikk)=14; deut elastic=13; inelastc=206; Pauli Supresion= 4
 NUCLEAR METHOD= 1;   NUCLEAR_MODEL= 1
 DIS MODEL=111

    E1    TH    Q2 COS_K         SMR     NUC          INT-SMR
    EP     X    W2 QE-PK  INELA  Q-ELA  ELAST   TOTAL  MODEL

  10.589 31.120  9.36    0.72   -4.66    0.34    0.00   -4.32  0.883
   3.072  0.664  5.63    0.75   -9.77    0.36    0.00   -9.41 2.735E-01

  10.589 30.899  9.49    0.67   -5.34    0.34    0.00   -5.00  0.918
   3.158  0.681  5.33    0.70  -10.61    0.36    0.00  -10.25 2.439E-01

  10.589 32.359  9.92    0.71   -5.53    0.37    0.00   -5.17  0.929
   3.017  0.698  5.17    0.74  -10.78    0.39    0.00  -10.39 1.778E-01

  10.589 31.861  9.90    0.67   -5.92    0.36    0.00   -5.55  0.957
   3.104  0.705  5.02    0.71  -11.26    0.39    0.00  -10.88 1.771E-01

  10.589 32.916 10.42    0.67   -6.76    0.42    0.00   -6.34  1.035
   3.064  0.738  4.59    0.71  -12.23    0.44    0.00  -11.79 1.168E-01

  10.589 34.919 10.76    0.75   -6.25    0.44    0.00   -5.81  0.987
   2.822  0.738  4.70    0.79  -11.54    0.46    0.00  -11.07 9.392E-02

  10.589 32.594 10.48    0.65   -7.29    0.44    0.00   -6.85  1.098
   3.143  0.750  4.37    0.68  -12.89    0.46    0.00  -12.42 1.073E-01

  10.589 33.566 10.95    0.67   -8.07    0.54    0.00   -7.53  1.215
   3.101  0.779  3.98    0.71  -13.76    0.56    0.00  -13.20 7.185E-02

  10.589 35.572 11.32    0.73   -7.61    0.55    0.00   -7.06  1.148
   2.863  0.781  4.06    0.77  -13.13    0.57    0.00  -12.55 5.725E-02

  10.589 34.261 11.49    0.71   -9.51    0.78    0.00   -8.72  1.482
   3.127  0.821  3.39    0.76  -15.41    0.80    0.00  -14.61 4.249E-02

  10.589 36.252 11.89    0.76   -9.17    0.80    0.00   -8.37  1.419
   2.901  0.824  3.41    0.81  -14.92    0.82    0.00  -14.10 3.291E-02

  0.000 0.000  0.000 .000  0.00  0.00  0.00  0.00  0.00  0.00 0.000
                           0.00  0.00  0.00  0.00  0.00  0.00 0.000E+00

