EXTERNAL/TSAI:  VERSION OF 8/8/96

Marathon                                                                
H3He                                                                    
                                                                        
Hall A 2018: 25 cm Tritium target                                       
Nominal values - not exact                                              

----*----1----*----2----*----3----*----4----*----5----*----6----*----7--
                                                                        

TARGET (iZ,iA) = (  1,  3);   avgA =   3.000; amuM=  3.016; avgM=  2.809
 targ=TRITIUM; ttarg(rl)=0.00045; twall=0.00481; tbeam=0.00291; tspec=0.00759
         Nseg  =   4
 MODELS: P elastc(ikk)=14; deut elastic=13; inelastc=206; Pauli Supresion= 4
 NUCLEAR METHOD= 1;   NUCLEAR_MODEL= 1
 DIS MODEL=111

    E1    TH    Q2 COS_K         SMR     NUC          INT-SMR
    EP     X    W2 QE-PK  INELA  Q-ELA  ELAST   TOTAL  MODEL

  10.589 31.118  9.36    0.71   -4.80    0.31    0.00   -4.49  0.819
   3.072  0.664  5.63    0.75   -9.75    0.33    0.00   -9.42 2.119E-01

  10.589 30.892  9.49    0.67   -5.45    0.31    0.00   -5.13  0.847
   3.158  0.680  5.34    0.70  -10.54    0.33    0.00  -10.21 1.888E-01

  10.589 32.358  9.92    0.71   -5.62    0.34    0.00   -5.28  0.855
   3.017  0.698  5.17    0.74  -10.68    0.36    0.00  -10.32 1.368E-01

  10.589 31.855  9.90    0.68   -5.99    0.34    0.00   -5.65  0.879
   3.104  0.705  5.02    0.71  -11.15    0.36    0.00  -10.79 1.362E-01

  10.589 32.922 10.42    0.68   -6.78    0.39    0.00   -6.39  0.945
   3.063  0.738  4.59    0.71  -12.05    0.41    0.00  -11.65 8.907E-02

  10.589 34.922 10.76    0.76   -6.27    0.41    0.00   -5.86  0.901
   2.821  0.738  4.70    0.80  -11.37    0.43    0.00  -10.94 7.181E-02

  10.589 32.601 10.48    0.66   -7.29    0.41    0.00   -6.88  0.999
   3.141  0.750  4.38    0.69  -12.68    0.43    0.00  -12.25 8.189E-02

  10.589 33.583 10.95    0.68   -8.04    0.50    0.00   -7.54  1.101
   3.099  0.779  3.98    0.72  -13.51    0.52    0.00  -12.99 5.450E-02

