EXTERNAL/TSAI:  VERSION OF 8/8/96

Marathon                                                                
He3_kin9.inp                                                            
                                                                        
Hall A 2018: 25 cm He3 target                                           
Nominal values - not exact                                              

----*----1----*----2----*----3----*----4----*----5----*----6----*----7--
                                                                        

TARGET (iZ,iA) = (  2,  3);   avgA =   3.000; amuM=  3.016; avgM=  2.809
 targ=TRITIUM; ttarg(rl)=0.00075; twall=0.00481; tbeam=0.00342; tspec=0.00732
         Nseg  =   4
 MODELS: P elastc(ikk)=14; deut elastic=13; inelastc=206; Pauli Supresion= 4
 NUCLEAR METHOD= 1;   NUCLEAR_MODEL= 1

    E1    TH    Q2 COS_K         SMR     NUC          INT-SMR
    EP     X    W2 QE-PK  INELA  Q-ELA  ELAST   TOTAL  MODEL

  10.589 26.208  6.51    1.21    2.00    0.54    0.00    2.55  0.825
   2.991  0.457  8.63    1.30   -1.53    0.59    0.00   -0.94 1.883E+00

  10.589 26.472  6.70    1.14    1.40    0.50    0.00    1.90  0.823
   3.018  0.472  8.39    1.22   -2.27    0.54    0.00   -1.72 1.687E+00

  10.589 26.809  6.94    1.06    0.65    0.46    0.00    1.10  0.821
   3.049  0.491  8.09    1.13   -3.18    0.49    0.00   -2.69 1.461E+00

  10.589 27.150  7.19    0.99   -0.12    0.42    0.00    0.29  0.820
   3.081  0.510  7.78    1.05   -4.12    0.45    0.00   -3.66 1.255E+00

  10.589 27.577  7.45    0.93   -0.77    0.39    0.00   -0.38  0.820
   3.096  0.530  7.49    0.99   -4.90    0.42    0.00   -4.48 1.062E+00

  10.589 28.062  7.72    0.88   -1.42    0.37    0.00   -1.05  0.822
   3.101  0.550  7.21    0.94   -5.68    0.40    0.00   -5.29 8.860E-01

  10.589 28.503  7.99    0.84   -2.07    0.35    0.00   -1.72  0.825
   3.112  0.569  6.92    0.89   -6.47    0.38    0.00   -6.09 7.402E-01

  10.589 28.795  8.23    0.79   -2.73    0.33    0.00   -2.39  0.833
   3.141  0.589  6.63    0.84   -7.27    0.36    0.00   -6.91 6.279E-01

  10.589 29.030  8.45    0.75   -3.37    0.32    0.00   -3.05  0.843
   3.175  0.607  6.34    0.79   -8.05    0.35    0.00   -7.70 5.357E-01

  10.589 29.260  8.65    0.72   -3.90    0.32    0.00   -3.59  0.856
   3.200  0.624  6.10    0.76   -8.69    0.34    0.00   -8.35 4.630E-01

  0.000 0.000  0.000 .000  0.00  0.00  0.00  0.00  0.00  0.00 0.000
                           0.00  0.00  0.00  0.00  0.00  0.00 0.000E+00

