EXTERNAL/TSAI:  VERSION OF 8/8/96

Marathon                                                                
ForPlot.inp                                                             
                                                                        
Hall A 2018: 25 cm Tritium target                                       
Nominal values - not exact                                              

----*----1----*----2----*----3----*----4----*----5----*----6----*----7--
                                                                        

TARGET (iZ,iA) = (  1,  3);   avgA =   3.000; amuM=  3.016; avgM=  2.809
 targ=TRITIUM; ttarg(rl)=0.00045; twall=0.00481; tbeam=0.00291; tspec=0.00759
         Nseg  =   4
 MODELS: P elastc(ikk)=14; deut elastic=13; inelastc=206; Pauli Supresion= 4
 NUCLEAR METHOD= 1;   NUCLEAR_MODEL= 1
 DIS MODEL=111

    E1    TH    Q2 COS_K         SMR     NUC          INT-SMR
    EP     X    W2 QE-PK  INELA  Q-ELA  ELAST   TOTAL  MODEL

  10.590 14.461  2.10    3.88   16.54    3.06    0.43   20.03  0.853
   3.129  0.150 12.78    4.36   16.24    3.26    0.43   19.93 3.827E+01

  10.590 14.938  2.24    3.61   15.79    2.82    0.35   18.96  0.858
   3.129  0.160 12.64    4.05   15.27    3.00    0.35   18.62 3.336E+01

  10.590 15.401  2.38    3.38   15.07    2.60    0.29   17.96  0.863
   3.129  0.170 12.50    3.77   14.34    2.77    0.29   17.40 2.926E+01

  10.590 15.850  2.52    3.16   14.39    2.40    0.24   17.03  0.867
   3.129  0.180 12.36    3.52   13.46    2.56    0.24   16.26 2.580E+01

  10.590 16.287  2.66    2.97   13.71    2.22    0.20   16.13  0.870
   3.129  0.190 12.22    3.30   12.60    2.36    0.20   15.17 2.285E+01

  10.590 16.713  2.80    2.79   13.07    2.06    0.17   15.29  0.873
   3.129  0.200 12.08    3.10   11.79    2.19    0.17   14.15 2.032E+01

  10.590 17.129  2.94    2.63   12.43    1.91    0.14   14.48  0.875
   3.129  0.210 11.94    2.91   10.99    2.03    0.14   13.16 1.813E+01

  10.590 17.535  3.08    2.49   11.82    1.77    0.11   13.71  0.876
   3.129  0.220 11.80    2.75   10.24    1.89    0.11   12.24 1.623E+01

  10.590 17.933  3.22    2.36   11.23    1.65    0.09   12.98  0.877
   3.129  0.230 11.66    2.59    9.51    1.75    0.10   11.35 1.457E+01

  10.590 18.322  3.36    2.24   10.68    1.54    0.08   12.29  0.878
   3.129  0.240 11.52    2.46    8.81    1.63    0.08   10.52 1.311E+01

  10.590 18.703  3.50    2.13   10.11    1.43    0.07   11.61  0.878
   3.129  0.250 11.38    2.33    8.12    1.52    0.07    9.71 1.183E+01

  10.590 19.076  3.64    2.03    9.57    1.34    0.05   10.97  0.877
   3.129  0.260 11.24    2.22    7.46    1.42    0.05    8.93 1.069E+01

  10.590 19.443  3.78    1.93    9.05    1.25    0.04   10.34  0.876
   3.129  0.270 11.10    2.11    6.81    1.33    0.04    8.19 9.673E+00

  10.590 19.804  3.92    1.85    8.54    1.17    0.04    9.75  0.875
   3.129  0.280 10.96    2.01    6.19    1.24    0.04    7.47 8.770E+00

  10.590 20.158  4.06    1.77    8.04    1.10    0.03    9.17  0.873
   3.129  0.290 10.82    1.92    5.59    1.17    0.03    6.78 7.962E+00

  10.590 20.506  4.20    1.70    7.57    1.03    0.03    8.62  0.870
   3.129  0.300 10.68    1.84    5.01    1.09    0.03    6.12 7.237E+00

  10.590 20.849  4.34    1.63    7.09    0.97    0.02    8.08  0.868
   3.129  0.310 10.54    1.76    4.43    1.03    0.02    5.48 6.585E+00

  10.590 21.186  4.48    1.57    6.65    0.91    0.02    7.58  0.865
   3.129  0.320 10.40    1.69    3.89    0.97    0.02    4.87 5.997E+00

  10.590 21.519  4.62    1.51    6.20    0.86    0.01    7.07  0.862
   3.129  0.330 10.26    1.62    3.35    0.91    0.01    4.27 5.466E+00

  10.590 21.846  4.76    1.45    5.76    0.81    0.01    6.58  0.858
   3.129  0.340 10.12    1.56    2.81    0.86    0.01    3.68 4.985E+00

  10.590 22.169  4.90    1.40    5.34    0.76    0.01    6.11  0.855
   3.129  0.350  9.98    1.50    2.30    0.81    0.01    3.12 4.549E+00

  10.590 22.488  5.04    1.35    4.91    0.72    0.01    5.64  0.851
   3.129  0.360  9.84    1.45    1.79    0.76    0.01    2.57 4.153E+00

  10.590 22.802  5.18    1.31    4.50    0.68    0.01    5.19  0.847
   3.129  0.370  9.70    1.40    1.30    0.72    0.01    2.03 3.793E+00

  10.590 23.112  5.32    1.27    4.11    0.65    0.01    4.76  0.844
   3.129  0.380  9.56    1.35    0.82    0.69    0.01    1.51 3.465E+00

  10.590 23.419  5.46    1.23    3.71    0.61    0.00    4.33  0.840
   3.129  0.390  9.42    1.31    0.34    0.65    0.00    1.00 3.166E+00

  10.590 23.721  5.60    1.19    3.33    0.58    0.00    3.91  0.835
   3.129  0.400  9.28    1.27   -0.12    0.62    0.00    0.50 2.893E+00

  10.590 24.020  5.74    1.16    2.95    0.56    0.00    3.50  0.831
   3.129  0.410  9.14    1.23   -0.57    0.59    0.00    0.02 2.643E+00

  10.590 24.316  5.88    1.12    2.58    0.53    0.00    3.11  0.827
   3.129  0.420  9.00    1.19   -1.01    0.56    0.00   -0.45 2.415E+00

  10.590 24.608  6.02    1.09    2.22    0.50    0.00    2.73  0.823
   3.129  0.430  8.86    1.16   -1.44    0.53    0.00   -0.90 2.206E+00

  10.590 24.897  6.16    1.06    1.87    0.48    0.00    2.35  0.818
   3.129  0.440  8.72    1.13   -1.87    0.51    0.00   -1.35 2.015E+00

  10.590 25.183  6.30    1.04    1.52    0.46    0.00    1.98  0.815
   3.129  0.450  8.58    1.09   -2.29    0.49    0.00   -1.80 1.840E+00

  10.590 25.466  6.44    1.01    1.17    0.44    0.00    1.61  0.810
   3.129  0.460  8.44    1.07   -2.70    0.47    0.00   -2.23 1.679E+00

  10.590 25.746  6.58    0.98    0.83    0.43    0.00    1.25  0.806
   3.129  0.470  8.30    1.04   -3.11    0.45    0.00   -2.65 1.532E+00

  10.590 26.023  6.72    0.96    0.50    0.41    0.00    0.91  0.803
   3.129  0.480  8.16    1.01   -3.50    0.43    0.00   -3.07 1.397E+00

  10.590 26.298  6.86    0.94    0.17    0.39    0.00    0.57  0.800
   3.129  0.490  8.02    0.99   -3.89    0.42    0.00   -3.47 1.274E+00

  10.590 26.570  7.00    0.92   -0.15    0.38    0.00    0.23  0.797
