 ***x   Q2   Theta   Eprime   Sig_Born   Sig_Rad
  0.277810007       3.96166921       20.3752995       2.98979998       6.08634567       6.60358238    
  0.291989028       4.14183998       20.6982994       3.02999997       5.46059418       5.85928869    
  0.310557097       4.37847710       21.1268005       3.07590008       4.72726774       5.00370932    
  0.329656243       4.63636875       21.6819000       3.09430003       3.99493575       4.17962074    
  0.349581599       4.91404629       22.3155994       3.09820008       3.31954265       3.43488693    
  0.369075507       5.18176794       22.8894005       3.10730004       2.78868079       2.85503578    
  0.387414992       5.40733576       23.2234001       3.15120006       2.44108748       2.47020650    
  0.402760834       5.59174633       23.4733009       3.19059992       2.19021535       2.19533348    
