E0    Ep     Theta     x      Q2     w2     sigma     sigma_err
   4.0450   3.4300    15.00    0.819    0.946    1.089      1.890e+02      2.098e+00
   4.0450   3.4150    15.00    0.796    0.941    1.121      1.622e+02      1.946e+00
   4.0450   3.4000    15.00    0.774    0.937    1.153      1.632e+02      2.024e+00
   4.0450   3.3850    15.00    0.753    0.933    1.186      1.698e+02      2.139e+00
   4.0450   3.3700    15.00    0.733    0.929    1.218      1.771e+02      2.267e+00
   4.0450   3.3550    15.00    0.714    0.925    1.250      2.090e+02      2.529e+00
   4.0450   3.3400    15.00    0.696    0.921    1.283      2.432e+02      2.821e+00
   4.0450   3.3250    15.00    0.678    0.917    1.315      2.903e+02      3.164e+00
   4.0450   3.3100    15.00    0.662    0.912    1.347      3.352e+02      3.453e+00
   4.0450   3.2950    15.00    0.645    0.908    1.379      3.766e+02      3.691e+00
   4.0450   3.2800    15.00    0.630    0.904    1.412      4.126e+02      3.878e+00
   4.0450   3.2650    15.00    0.615    0.900    1.444      4.478e+02      4.030e+00
   4.0450   3.2500    15.00    0.601    0.896    1.476      4.764e+02      4.097e+00
   4.0450   3.2350    15.00    0.587    0.892    1.509      4.771e+02      4.055e+00
   4.0450   3.2200    15.00    0.573    0.888    1.541      4.899e+02      4.115e+00
   4.0450   3.2050    15.00    0.560    0.883    1.573      4.798e+02      4.030e+00
   4.0450   3.1900    15.00    0.548    0.879    1.605      4.732e+02      3.928e+00
   4.0450   3.1750    15.00    0.536    0.875    1.638      4.625e+02      3.885e+00
   4.0450   3.1600    15.00    0.525    0.871    1.670      4.508e+02      3.787e+00
   4.0450   3.1450    15.00    0.513    0.867    1.702      4.276e+02      3.677e+00
   4.0450   3.1300    15.00    0.503    0.863    1.735      4.021e+02      3.538e+00
   4.0450   3.1150    15.00    0.492    0.859    1.767      3.817e+02      3.435e+00
   4.0450   3.1000    15.00    0.482    0.855    1.799      3.698e+02      3.365e+00
   4.0450   3.0850    15.00    0.472    0.850    1.831      3.612e+02      3.323e+00
   4.0450   3.0700    15.00    0.463    0.846    1.864      3.594e+02      3.306e+00
   4.0450   3.0550    15.00    0.453    0.842    1.896      3.522e+02      3.311e+00
   4.0450   3.0400    15.00    0.444    0.838    1.928      3.436e+02      3.299e+00
   4.0450   3.0250    15.00    0.436    0.834    1.961      3.512e+02      3.407e+00
   4.0450   3.0100    15.00    0.427    0.830    1.993      3.587e+02      3.479e+00
   4.0450   2.9950    15.00    0.419    0.826    2.025      3.581e+02      3.509e+00
   4.0450   2.9800    15.00    0.411    0.821    2.057      3.674e+02      3.637e+00
   4.0450   2.9650    15.00    0.403    0.817    2.090      3.754e+02      3.754e+00
   4.0450   2.9500    15.00    0.396    0.813    2.122      3.748e+02      3.860e+00
   4.0450   2.9350    15.00    0.388    0.809    2.154      3.934e+02      4.052e+00
   4.0450   2.9200    15.00    0.381    0.805    2.187      4.186e+02      4.353e+00
   4.0450   2.9050    15.00    0.374    0.801    2.219      4.092e+02      4.378e+00
   4.0450   2.8900    15.00    0.368    0.797    2.251      4.336e+02      4.683e+00
   4.0450   2.8750    15.00    0.361    0.793    2.283      4.302e+02      4.775e+00
   4.0450   2.8600    15.00    0.355    0.788    2.316      4.328e+02      4.977e+00
   4.0450   3.0100    23.00    0.997    1.936    0.887      2.956e+01      1.567e-01
   4.0450   2.9950    23.00    0.978    1.926    0.925      2.730e+01      1.474e-01
   4.0450   2.9800    23.00    0.959    1.916    0.962      2.357e+01      1.320e-01
   4.0450   2.9650    23.00    0.941    1.907    1.000      1.961e+01      1.177e-01
   4.0450   2.9500    23.00    0.923    1.897    1.038      1.630e+01      1.043e-01
   4.0450   2.9350    23.00    0.906    1.888    1.076      1.422e+01      9.954e-02
   4.0450   2.9200    23.00    0.890    1.878    1.114      1.178e+01      8.953e-02
   4.0450   2.9050    23.00    0.873    1.868    1.151      1.125e+01      9.113e-02
   4.0450   2.8900    23.00    0.858    1.859    1.189      1.134e+01      9.412e-02
   4.0450   2.8750    23.00    0.842    1.849    1.227      1.141e+01      9.813e-02
   4.0450   2.8600    23.00    0.827    1.839    1.265      1.255e+01      1.092e-01
   4.0450   2.8450    23.00    0.813    1.830    1.303      1.473e+01      1.989e-01
   4.0450   2.8300    23.00    0.798    1.820    1.340      1.664e+01      2.130e-01
   4.0450   2.8150    23.00    0.784    1.810    1.378      1.888e+01      2.303e-01
   4.0450   2.8000    23.00    0.771    1.801    1.416      2.109e+01      2.446e-01
   4.0450   2.7850    23.00    0.758    1.791    1.454      2.339e+01      2.573e-01
   4.0450   2.7700    23.00    0.745    1.781    1.492      2.426e+01      2.596e-01
   4.0450   2.7550    23.00    0.732    1.772    1.529      2.578e+01      2.681e-01
   4.0450   2.7400    23.00    0.720    1.762    1.567      2.631e+01      2.684e-01
   4.0450   2.7250    23.00    0.707    1.752    1.605      2.654e+01      2.681e-01
   4.0450   2.7100    23.00    0.696    1.743    1.643      2.660e+01      2.687e-01
   4.0450   2.6950    23.00    0.684    1.733    1.680      2.665e+01      2.665e-01
   4.0450   2.6800    23.00    0.673    1.724    1.718      2.642e+01      2.642e-01
   4.0450   2.6650    23.00    0.662    1.714    1.756      2.689e+01      2.689e-01
   4.0450   2.6500    23.00    0.651    1.704    1.794      2.689e+01      2.689e-01
   4.0450   2.6350    23.00    0.640    1.695    1.832      2.746e+01      2.719e-01
   4.0450   2.6200    23.00    0.630    1.685    1.869      2.727e+01      2.700e-01
   4.0450   2.6050    23.00    0.620    1.675    1.907      2.801e+01      2.773e-01
   4.0450   2.5900    23.00    0.610    1.666    1.945      2.855e+01      2.855e-01
   4.0450   2.5750    23.00    0.600    1.656    1.983      2.997e+01      2.967e-01
   4.0450   2.5600    23.00    0.591    1.646    2.021      3.126e+01      3.095e-01
   4.0450   2.5450    23.00    0.581    1.637    2.058      3.196e+01      3.196e-01
   4.0450   2.5300    23.00    0.572    1.627    2.096      3.347e+01      3.380e-01
   4.0450   2.5150    23.00    0.563    1.617    2.134      3.503e+01      3.538e-01
   4.0450   2.5000    23.00    0.555    1.608    2.172      3.603e+01      3.747e-01
   4.0450   2.4850    23.00    0.546    1.598    2.210      3.916e+01      4.073e-01
   4.0450   2.4700    23.00    0.537    1.588    2.247      3.896e+01      4.247e-01
   4.0450   2.5600    30.00    0.996    2.775    0.892      3.511e+00      1.159e-02
   4.0450   2.5450    30.00    0.980    2.758    0.937      3.326e+00      1.098e-02
   4.0450   2.5300    30.00    0.965    2.742    0.981      2.968e+00      1.039e-02
   4.0450   2.5150    30.00    0.949    2.726    1.026      2.609e+00      9.653e-03
   4.0450   2.5000    30.00    0.935    2.710    1.070      2.267e+00      9.068e-03
   4.0450   2.4850    30.00    0.920    2.693    1.114      2.022e+00      8.492e-03
   4.0450   2.4700    30.00    0.906    2.677    1.159      1.906e+00      8.577e-03
   4.0450   2.4550    30.00    0.892    2.661    1.203      1.993e+00      2.172e-02
   4.0450   2.4400    30.00    0.878    2.645    1.248      2.140e+00      2.290e-02
   4.0450   2.4250    30.00    0.865    2.628    1.292      2.335e+00      2.405e-02
   4.0450   2.4100    30.00    0.851    2.612    1.336      2.625e+00      2.573e-02
   4.0450   2.3950    30.00    0.838    2.596    1.381      2.910e+00      2.706e-02
   4.0450   2.3800    30.00    0.826    2.580    1.425      3.247e+00      2.857e-02
   4.0450   2.3650    30.00    0.813    2.563    1.470      3.566e+00      3.031e-02
   4.0450   2.3500    30.00    0.801    2.547    1.514      3.852e+00      3.120e-02
   4.0450   2.3350    30.00    0.789    2.531    1.558      4.056e+00      2.718e-02
   4.0450   2.3200    30.00    0.777    2.515    1.603      4.192e+00      2.683e-02
   4.0450   2.3050    30.00    0.765    2.498    1.647      4.355e+00      2.657e-02
   4.0450   2.2900    30.00    0.754    2.482    1.692      4.466e+00      2.590e-02
   4.0450   2.2750    30.00    0.742    2.466    1.736      4.697e+00      2.630e-02
   4.0450   2.2600    30.00    0.731    2.450    1.780      4.838e+00      2.613e-02
   4.0450   2.2450    30.00    0.720    2.433    1.825      5.052e+00      2.627e-02
   4.0450   2.2300    30.00    0.710    2.417    1.869      5.192e+00      2.596e-02
   4.0450   2.2150    30.00    0.699    2.401    1.914      5.431e+00      2.661e-02
   4.0450   2.2000    30.00    0.689    2.384    1.958      5.740e+00      2.698e-02
   4.0450   2.1850    30.00    0.679    2.368    2.003      5.976e+00      2.749e-02
   4.0450   2.1700    30.00    0.668    2.352    2.047      6.322e+00      2.845e-02
   4.0450   2.1550    30.00    0.659    2.336    2.091      6.694e+00      3.012e-02
   4.0450   2.1400    30.00    0.649    2.319    2.136      7.059e+00      3.106e-02
   4.0450   2.1250    30.00    0.639    2.303    2.180      7.664e+00      3.296e-02
   4.0450   2.1100    30.00    0.630    2.287    2.225      7.932e+00      3.411e-02
   4.0450   2.0950    30.00    0.621    2.271    2.269      8.582e+00      4.377e-02
   4.0450   2.0800    30.00    0.611    2.254    2.313      8.927e+00      4.463e-02
   4.0450   2.0650    30.00    0.602    2.238    2.358      9.202e+00      4.509e-02
   4.0450   2.0500    30.00    0.594    2.222    2.402      9.315e+00      4.471e-02
   4.0450   2.0350    30.00    0.585    2.206    2.447      9.525e+00      4.572e-02
   4.0450   2.0200    30.00    0.576    2.189    2.491      9.645e+00      4.533e-02
   4.0450   2.0050    30.00    0.568    2.173    2.535      9.999e+00      4.600e-02
   4.0450   1.9900    30.00    0.559    2.157    2.580      1.018e+01      4.683e-02
   4.0450   1.9750    30.00    0.551    2.141    2.624      1.050e+01      4.725e-02
   4.0450   1.9600    30.00    0.543    2.124    2.669      1.095e+01      4.818e-02
   4.0450   1.9450    30.00    0.535    2.108    2.713      1.131e+01      4.863e-02
   4.0450   1.9300    30.00    0.527    2.092    2.757      1.182e+01      5.083e-02
   4.0450   1.9150    30.00    0.519    2.076    2.802      1.217e+01      5.233e-02
   4.0450   1.9000    30.00    0.512    2.059    2.846      1.266e+01      5.444e-02
   4.0450   1.8850    30.00    0.504    2.043    2.891      1.302e+01      5.599e-02
   4.0450   1.8700    30.00    0.497    2.027    2.935      1.349e+01      5.936e-02
   4.0450   1.8550    30.00    0.489    2.011    2.979      1.379e+01      6.205e-02
   4.0450   1.8400    30.00    0.482    1.994    3.024      1.413e+01      6.500e-02
   4.0450   1.8250    30.00    0.475    1.978    3.068      1.442e+01      1.456e-01
   4.0450   1.8100    30.00    0.468    1.962    3.113      1.444e+01      1.444e-01
   4.0450   1.7950    30.00    0.461    1.946    3.157      1.437e+01      1.423e-01
   4.0450   1.7800    30.00    0.454    1.929    3.201      1.457e+01      1.413e-01
   4.0450   1.7650    30.00    0.447    1.913    3.246      1.501e+01      1.426e-01
   4.0450   1.7500    30.00    0.440    1.897    3.290      1.531e+01      1.439e-01
   4.0450   1.7350    30.00    0.434    1.880    3.335      1.557e+01      1.448e-01
   4.0450   1.7200    30.00    0.427    1.864    3.379      1.579e+01      1.453e-01
   4.0450   1.7050    30.00    0.421    1.848    3.423      1.575e+01      1.449e-01
   4.0450   1.6900    30.00    0.414    1.832    3.468      1.634e+01      1.471e-01
   4.0450   1.6750    30.00    0.408    1.815    3.512      1.654e+01      1.489e-01
   4.0450   1.6600    30.00    0.402    1.799    3.557      1.647e+01      1.499e-01
   4.0450   1.6450    30.00    0.396    1.783    3.601      1.679e+01      1.528e-01
   4.0450   1.6300    30.00    0.390    1.767    3.646      1.714e+01      1.560e-01
   4.0450   1.6150    30.00    0.384    1.750    3.690      1.743e+01      1.621e-01
   4.0450   1.6000    30.00    0.378    1.734    3.734      1.760e+01      1.690e-01
   4.0450   1.5850    30.00    0.372    1.718    3.779      1.778e+01      1.760e-01
   4.0450   1.5700    30.00    0.366    1.702    3.823      1.825e+01      1.862e-01
   4.0450   1.5550    30.00    0.361    1.685    3.868      1.806e+01      1.969e-01
   4.0450   1.5400    30.00    0.355    1.669    3.912      1.882e+01      2.164e-01
   4.0450   2.1550    37.00    0.990    3.511    0.916      6.988e-01      2.516e-03
   4.0450   2.1400    37.00    0.975    3.486    0.969      6.651e-01      2.461e-03
   4.0450   2.1250    37.00    0.961    3.462    1.022      6.122e-01      2.449e-03
   4.0450   2.1100    37.00    0.947    3.437    1.074      5.510e-01      2.424e-03
   4.0450   1.7800    45.00    0.992    4.218    0.913      2.108e-01      2.340e-03
   4.0450   1.7650    45.00    0.977    4.182    0.977      2.057e-01      2.242e-03
   4.0450   1.7500    45.00    0.963    4.147    1.040      1.903e-01      2.093e-03
   4.0450   1.7350    45.00    0.948    4.111    1.104      1.763e-01      1.957e-03
   4.0450   1.7200    45.00    0.934    4.076    1.168      1.701e-01      1.888e-03
   4.0450   1.7050    45.00    0.920    4.040    1.231      1.809e-01      1.936e-03
   4.0450   1.6900    45.00    0.906    4.004    1.295      1.930e-01      2.007e-03
   4.0450   1.6750    45.00    0.892    3.969    1.359      2.213e-01      2.191e-03
   4.0450   1.6600    45.00    0.879    3.933    1.423      2.570e-01      2.390e-03
   4.0450   1.6450    45.00    0.865    3.898    1.486      2.898e-01      2.550e-03
   4.0450   1.6300    45.00    0.852    3.862    1.550      3.227e-01      2.743e-03
   4.0450   1.6150    45.00    0.839    3.827    1.614      3.587e-01      2.941e-03
   4.0450   1.6000    45.00    0.826    3.791    1.677      3.865e-01      3.169e-03
   4.0450   1.5850    45.00    0.814    3.756    1.741      4.196e-01      3.441e-03
   4.0450   1.5700    45.00    0.801    3.720    1.805      4.672e-01      3.831e-03
   4.0450   1.5550    45.00    0.789    3.685    1.868      5.059e-01      4.250e-03
   4.0450   1.5400    45.00    0.776    3.649    1.932      5.371e-01      4.726e-03
   4.0450   1.0000    55.00    0.604    3.450    3.145      8.122e-01      8.609e-03
   4.0450   1.0150    55.00    0.616    3.502    3.065      7.853e-01      7.774e-03
   4.0450   1.0300    55.00    0.628    3.553    2.985      7.513e-01      7.137e-03
   4.0450   1.0450    55.00    0.640    3.605    2.905      6.882e-01      6.538e-03
   4.0450   1.0600    55.00    0.653    3.657    2.825      6.432e-01      6.239e-03
   4.0450   1.0750    55.00    0.665    3.708    2.745      5.774e-01      5.889e-03
   4.0450   1.0900    55.00    0.678    3.760    2.665      5.480e-01      5.809e-03
   4.0450   1.1050    55.00    0.691    3.812    2.585      5.121e-01      5.684e-03
   4.0450   1.1200    55.00    0.704    3.864    2.506      4.674e-01      5.515e-03
   4.0450   1.1350    55.00    0.717    3.915    2.426      4.265e-01      5.331e-03
   4.0450   1.1500    55.00    0.730    3.967    2.346      3.818e-01      3.360e-03
   4.0450   1.1650    55.00    0.744    4.019    2.266      3.460e-01      3.045e-03
   4.0450   1.1800    55.00    0.757    4.071    2.186      3.226e-01      2.839e-03
   4.0450   1.1950    55.00    0.771    4.122    2.106      2.848e-01      2.563e-03
   4.0450   1.2100    55.00    0.785    4.174    2.026      2.462e-01      2.339e-03
   4.0450   1.2250    55.00    0.799    4.226    1.946      2.215e-01      2.237e-03
   4.0450   1.2400    55.00    0.813    4.278    1.866      1.985e-01      2.164e-03
   4.0450   1.2550    55.00    0.827    4.329    1.786      1.733e-01      2.080e-03
   4.0450   1.2700    55.00    0.841    4.381    1.707      1.548e-01      2.121e-03
   4.0450   1.2850    55.00    0.856    4.433    1.627      1.398e-01      2.041e-03
   4.0450   1.3000    55.00    0.871    4.485    1.547      1.202e-01      1.911e-03
   4.0450   1.3150    55.00    0.886    4.536    1.467      1.043e-01      1.804e-03
   4.0450   1.3300    55.00    0.901    4.588    1.387      8.283e-02      7.703e-04
   4.0450   1.3450    55.00    0.916    4.640    1.307      7.416e-02      6.749e-04
   4.0450   1.3600    55.00    0.931    4.692    1.227      6.619e-02      5.957e-04
   4.0450   1.3750    55.00    0.947    4.743    1.147      6.445e-02      5.736e-04
   4.0450   1.3900    55.00    0.962    4.795    1.067      6.387e-02      5.621e-04
   4.0450   1.4050    55.00    0.978    4.847    0.988      6.427e-02      5.656e-04
   4.0450   1.4200    55.00    0.994    4.899    0.908      6.470e-02      5.758e-04
   4.2120   1.4961    53.39    0.998    5.087    0.890      5.169e-02      2.094e-03
   4.2120   1.4843    53.39    0.986    5.047    0.952      5.970e-02      2.226e-03
   4.2120   1.4725    53.39    0.974    5.007    1.014      5.654e-02      2.137e-03
   4.2120   1.4608    53.39    0.962    4.967    1.076      5.805e-02      2.133e-03
   4.2120   1.4490    53.39    0.950    4.927    1.138      6.217e-02      2.180e-03
   4.2120   1.4373    53.39    0.939    4.887    1.200      6.041e-02      2.137e-03
   4.2120   1.4255    53.39    0.927    4.847    1.262      6.914e-02      2.316e-03
   4.2120   1.4138    53.39    0.915    4.807    1.324      7.901e-02      2.570e-03
   4.2120   1.4020    53.39    0.904    4.767    1.386      8.407e-02      2.743e-03
   5.1200   1.4719    56.64    0.991    6.784    0.942      1.305e-02      6.573e-04
   5.1200   1.4602    56.64    0.980    6.730    1.018      1.451e-02      7.247e-04
   5.1200   1.4484    56.64    0.969    6.676    1.095      1.347e-02      6.314e-04
   5.1200   1.4367    56.64    0.958    6.622    1.170      1.503e-02      6.740e-04
   5.1200   1.4249    56.64    0.947    6.567    1.247      1.647e-02      7.120e-04
   5.1200   1.4132    56.64    0.936    6.514    1.323      1.973e-02      8.055e-04
   5.1200   1.4014    56.64    0.926    6.459    1.399      2.353e-02      9.679e-04
   5.5070   4.5680    15.15    0.992    1.749    0.894      1.060e+02      1.860e+00
   5.5070   4.5550    15.15    0.976    1.744    0.923      1.020e+02      1.380e+00
   5.5070   4.5410    15.15    0.959    1.738    0.955      9.000e+01      1.180e+00
   5.5070   4.5280    15.15    0.943    1.733    0.984      7.400e+01      1.000e+00
   5.5070   4.5150    15.15    0.928    1.728    1.014      6.200e+01      8.600e-01
   5.5070   4.5020    15.15    0.914    1.723    1.043      5.200e+01      7.400e-01
   5.5070   4.4880    15.15    0.898    1.718    1.075      4.400e+01      6.800e-01
   5.5070   4.4750    15.15    0.885    1.713    1.104      3.800e+01      6.400e-01
   5.5070   4.4620    15.15    0.871    1.708    1.133      3.400e+01      6.400e-01
   5.5070   4.4480    15.15    0.857    1.703    1.165      3.400e+01      7.000e-01
   5.5070   4.4350    15.15    0.844    1.698    1.194      3.400e+01      7.800e-01
   5.5070   4.4220    15.15    0.831    1.693    1.224      3.400e+01      8.800e-01
   5.5070   4.4090    15.15    0.819    1.688    1.253      3.800e+01      9.400e-01
   5.5070   4.3950    15.15    0.806    1.682    1.285      4.200e+01      1.020e+00
   5.5070   4.3820    15.15    0.795    1.677    1.314      4.800e+01      1.100e+00
   5.5070   4.3690    15.15    0.783    1.672    1.343      5.200e+01      1.200e+00
   5.5070   4.3550    15.15    0.771    1.667    1.375      5.600e+01      1.280e+00
   5.5070   4.3420    15.15    0.760    1.662    1.404      6.600e+01      1.400e+00
   5.5070   4.3290    15.15    0.750    1.657    1.434      7.000e+01      1.460e+00
   5.5070   4.3160    15.15    0.739    1.652    1.463      7.600e+01      1.560e+00
   5.5070   4.3020    15.15    0.728    1.647    1.495      8.000e+01      1.620e+00
   5.5070   4.2890    15.15    0.718    1.642    1.524      8.200e+01      1.660e+00
   5.5070   4.2760    15.15    0.709    1.637    1.554      8.200e+01      1.740e+00
   5.5070   4.2620    15.15    0.698    1.631    1.585      8.600e+01      1.860e+00
   5.5070   4.2490    15.15    0.689    1.626    1.615      8.200e+01      2.000e+00
   5.5070   4.2360    15.15    0.680    1.622    1.644      8.400e+01      2.400e+00
   5.5070   4.2230    15.15    0.671    1.617    1.673      8.400e+01      3.200e+00
   5.5070   4.2090    15.15    0.661    1.611    1.705      7.400e+01      5.000e+00
   5.5070   4.1960    15.15    0.653    1.606    1.734      6.800e+01      2.200e+01
   5.5070   4.1590    18.98    0.985    2.490    0.919      1.400e+01      1.740e-01
   5.5070   4.1430    18.98    0.969    2.481    0.959      1.300e+01      1.500e-01
   5.5070   4.1260    18.98    0.953    2.471    1.001      1.140e+01      1.300e-01
   5.5070   4.1100    18.98    0.939    2.461    1.041      9.600e+00      1.120e-01
   5.5070   4.0940    18.98    0.925    2.452    1.080      8.400e+00      9.800e-02
   5.5070   4.0780    18.98    0.911    2.442    1.120      7.400e+00      9.200e-02
   5.5070   4.0620    18.98    0.897    2.432    1.160      6.800e+00      8.800e-02
   5.5070   4.0460    18.98    0.884    2.423    1.199      7.000e+00      9.600e-02
   5.5070   4.0290    18.98    0.870    2.413    1.241      7.400e+00      1.080e-01
   5.5070   4.0130    18.98    0.857    2.403    1.281      8.200e+00      1.280e-01
   5.5070   3.9970    18.98    0.845    2.393    1.321      8.800e+00      1.580e-01
   5.5070   3.9810    18.98    0.832    2.384    1.360      1.020e+01      1.740e-01
   5.5070   3.9650    18.98    0.821    2.374    1.400      1.100e+01      1.860e-01
   5.5070   3.9490    18.98    0.809    2.365    1.439      1.200e+01      2.000e-01
   5.5070   3.9320    18.98    0.797    2.355    1.481      1.320e+01      2.200e-01
   5.5070   3.9160    18.98    0.785    2.345    1.521      1.420e+01      2.400e-01
   5.5070   3.9000    18.98    0.774    2.335    1.561      1.480e+01      2.400e-01
   5.5070   3.8840    18.98    0.764    2.326    1.600      1.540e+01      2.800e-01
   5.5070   3.8680    18.98    0.753    2.316    1.640      1.580e+01      3.400e-01
   5.5070   3.8520    18.98    0.743    2.307    1.679      1.580e+01      5.000e-01
   5.5070   3.8360    18.98    0.733    2.297    1.719      1.420e+01      1.080e+00
   5.5070   3.7590    22.80    0.986    3.235    0.926      3.000e+00      4.200e-02
   5.5070   3.7400    22.80    0.971    3.219    0.978      2.800e+00      3.800e-02
   5.5070   3.7220    22.80    0.956    3.203    1.027      2.600e+00      3.400e-02
   5.5070   3.7040    22.80    0.942    3.188    1.076      2.200e+00      3.000e-02
   5.5070   3.6860    22.80    0.928    3.172    1.125      2.000e+00      2.800e-02
   5.5070   3.6670    22.80    0.914    3.156    1.177      1.960e+00      2.800e-02
   5.5070   3.6490    22.80    0.901    3.140    1.227      1.960e+00      3.200e-02
   5.5070   3.6310    22.80    0.888    3.125    1.276      2.000e+00      3.800e-02
   5.5070   3.6130    22.80    0.875    3.109    1.325      2.200e+00      4.400e-02
   5.5070   3.5940    22.80    0.862    3.093    1.377      2.600e+00      5.200e-02
   5.5070   3.5760    22.80    0.849    3.078    1.426      2.800e+00      5.600e-02
   5.5070   3.5580    22.80    0.837    3.062    1.476      3.200e+00      6.200e-02
   5.5070   3.5400    22.80    0.825    3.047    1.525      3.600e+00      6.800e-02
   5.5070   3.5210    22.80    0.813    3.030    1.577      3.600e+00      7.400e-02
   5.5070   3.5030    22.80    0.802    3.015    1.626      4.000e+00      9.200e-02
   5.5070   3.4850    22.80    0.790    2.999    1.676      4.000e+00      1.300e-01
   5.5070   3.4670    22.80    0.779    2.984    1.725      4.200e+00      3.000e-01
   5.5070   3.3610    26.82    0.989    3.982    0.925      8.000e-01      1.260e-02
   5.5070   3.3440    26.82    0.976    3.962    0.977      7.800e-01      1.100e-02
   5.5070   3.3280    26.82    0.964    3.943    1.026      7.200e-01      1.020e-02
   5.5070   3.3120    26.82    0.953    3.924    1.075      6.800e-01      9.600e-03
   5.5070   3.2950    26.82    0.940    3.904    1.127      6.400e-01      9.200e-03
   5.5070   3.2790    26.82    0.929    3.885    1.176      6.200e-01      9.600e-03
   5.5070   3.2630    26.82    0.918    3.866    1.225      6.200e-01      1.040e-02
   5.5070   3.2460    26.82    0.906    3.846    1.277      6.800e-01      1.260e-02
   5.5070   3.2300    26.82    0.896    3.827    1.326      7.200e-01      1.520e-02
   5.5070   3.2140    26.82    0.885    3.808    1.375      7.800e-01      1.760e-02
   5.5070   3.1970    26.82    0.874    3.788    1.427      8.800e-01      1.920e-02
   5.5070   3.1810    26.82    0.863    3.769    1.476      1.000e+00      2.000e-02
   5.5070   3.1650    26.82    0.853    3.750    1.525      1.040e+00      2.200e-02
   5.5070   3.1480    26.82    0.843    3.730    1.577      1.160e+00      2.600e-02
   5.5070   3.1320    26.82    0.833    3.711    1.626      1.200e+00      3.200e-02
   5.5070   3.1160    26.82    0.823    3.692    1.675      1.320e+00      4.600e-02
   5.5070   3.0990    26.82    0.813    3.672    1.727      1.300e+00      9.800e-02
   5.7660   3.4559    18.00    0.450    1.951    3.265      4.388e+01      8.447e-02
   5.7660   3.5540    18.00    0.483    2.006    3.025      4.206e+01      7.591e-02
   5.7660   3.6444    18.00    0.517    2.057    2.805      3.814e+01      7.099e-02
   5.7660   3.7274    18.00    0.550    2.104    2.602      3.354e+01      6.885e-02
   5.7660   3.8042    18.00    0.583    2.147    2.415      3.053e+01      6.892e-02
   5.7660   3.8756    18.00    0.617    2.187    2.240      2.790e+01      7.091e-02
   5.7660   3.9418    18.00    0.650    2.225    2.079      2.300e+01      7.164e-02
   5.7660   4.0036    18.00    0.683    2.260    1.928      1.924e+01      3.971e-02
   5.7660   4.0614    18.00    0.717    2.292    1.787      1.726e+01      3.693e-02
   5.7660   4.1154    18.00    0.750    2.323    1.655      1.616e+01      3.810e-02
   5.7660   4.1661    18.00    0.783    2.351    1.531      1.498e+01      3.675e-02
   5.7660   4.2140    18.00    0.817    2.378    1.414      1.240e+01      3.444e-02
   5.7660   4.2589    18.00    0.850    2.404    1.305      9.258e+00      2.992e-02
   5.7660   4.3013    18.00    0.883    2.428    1.201      7.803e+00      2.721e-02
   5.7660   4.3414    18.00    0.917    2.450    1.103      8.666e+00      2.903e-02
   5.7660   4.3794    18.00    0.950    2.472    1.011      1.181e+01      3.584e-02
   5.7660   4.4153    18.00    0.983    2.492    0.923      1.502e+01      4.311e-02
   5.7660   2.7802    22.00    0.417    2.335    4.149      1.875e+01      4.070e-02
   5.7660   2.8910    22.00    0.450    2.428    3.848      1.699e+01      3.600e-02
   5.7660   2.9938    22.00    0.483    2.514    3.569      1.528e+01      3.553e-02
   5.7660   3.0899    22.00    0.517    2.595    3.308      1.392e+01      3.871e-02
   5.7660   3.1792    22.00    0.550    2.670    3.065      1.254e+01      2.196e-02
   5.7660   3.2628    22.00    0.583    2.740    2.838      1.118e+01      2.144e-02
   5.7660   3.3413    22.00    0.617    2.806    2.625      9.519e+00      1.921e-02
   5.7660   3.4149    22.00    0.650    2.868    2.425      8.225e+00      1.841e-02
   5.7660   3.4841    22.00    0.683    2.926    2.237      7.144e+00      1.791e-02
   5.7660   3.5496    22.00    0.717    2.981    2.059      5.734e+00      1.657e-02
   5.7660   3.6112    22.00    0.750    3.032    1.892      4.686e+00      1.636e-02
   5.7660   3.6695    22.00    0.783    3.081    1.733      3.908e+00      7.737e-03
   5.7660   3.7249    22.00    0.817    3.128    1.583      3.428e+00      6.959e-03
   5.7660   3.7773    22.00    0.850    3.172    1.440      2.761e+00      6.360e-03
   5.7660   3.8271    22.00    0.883    3.214    1.305      2.090e+00      5.258e-03
   5.7660   3.8745    22.00    0.917    3.253    1.176      1.889e+00      5.007e-03
   5.7660   3.9196    22.00    0.950    3.291    1.054      2.177e+00      5.511e-03
   5.7660   3.9626    22.00    0.983    3.327    0.937      2.681e+00      6.476e-03
   5.7660   3.0184    26.00    0.683    3.523    2.514      3.059e+00      6.156e-03
   5.7660   3.0870    26.00    0.717    3.603    2.305      2.584e+00      5.681e-03
   5.7660   3.1520    26.00    0.750    3.679    2.107      2.030e+00      5.137e-03
   5.7660   3.2139    26.00    0.783    3.751    1.919      1.574e+00      4.627e-03
   5.7660   3.2732    26.00    0.817    3.820    1.738      1.258e+00      4.264e-03
   5.7660   3.3296    26.00    0.850    3.886    1.566      9.930e-01      4.125e-03
   5.7660   3.3835    26.00    0.883    3.949    1.402      7.662e-01      2.436e-03
   5.7660   3.4352    26.00    0.917    4.009    1.245      5.999e-01      2.079e-03
   5.7660   3.4846    26.00    0.950    4.067    1.095      5.993e-01      2.209e-03
   5.7660   3.5319    26.00    0.983    4.122    0.951      6.924e-01      2.394e-03
