E0    Ep     Theta     x      Q2     w2     sigma     sigma_err
   0.8430   0.2690   180.00    0.842    0.907    1.050      4.090e+00      4.000e-01
   0.8430   0.2660   180.00    0.828    0.897    1.066      3.430e+00      3.580e-01
   0.8430   0.2630   180.00    0.815    0.887    1.082      3.280e+00      3.270e-01
   0.8430   0.2600   180.00    0.801    0.877    1.098      3.440e+00      3.570e-01
   0.8430   0.2580   180.00    0.792    0.870    1.108      3.410e+00      3.370e-01
   0.8430   0.2550   180.00    0.779    0.860    1.124      3.210e+00      3.240e-01
   0.8430   0.2530   180.00    0.771    0.853    1.134      3.080e+00      3.120e-01
   0.8430   0.2500   180.00    0.758    0.843    1.150      3.180e+00      3.400e-01
   0.8430   0.2480   180.00    0.749    0.836    1.161      3.020e+00      3.090e-01
   0.8430   0.2450   180.00    0.736    0.826    1.176      3.320e+00      3.410e-01
   0.8430   0.2420   180.00    0.724    0.816    1.192      3.080e+00      3.030e-01
   0.8430   0.2400   180.00    0.715    0.809    1.203      3.380e+00      3.370e-01
   0.8430   0.2380   180.00    0.707    0.803    1.213      3.570e+00      3.570e-01
   0.8430   0.2350   180.00    0.695    0.792    1.229      3.710e+00      3.910e-01
   0.8430   0.2330   180.00    0.686    0.786    1.239      3.840e+00      3.860e-01
   0.8430   0.2300   180.00    0.674    0.776    1.255      4.510e+00      4.590e-01
   0.8430   0.2280   180.00    0.666    0.769    1.266      5.000e+00      4.850e-01
   0.8430   0.2260   180.00    0.658    0.762    1.276      5.160e+00      5.110e-01
   0.8430   0.2230   180.00    0.646    0.752    1.292      6.110e+00      6.010e-01
   1.0200   0.3200   180.00    0.994    1.306    0.888      4.510e+00      2.820e-01
   1.0200   0.3160   180.00    0.976    1.289    0.912      4.590e+00      2.850e-01
   1.0200   0.3130   180.00    0.963    1.277    0.930      4.080e+00      2.700e-01
   1.0200   0.3100   180.00    0.949    1.265    0.948      3.510e+00      2.220e-01
   1.0200   0.3070   180.00    0.936    1.253    0.966      3.540e+00      3.440e-01
   1.0200   0.3040   180.00    0.923    1.240    0.984      3.150e+00      2.910e-01
   1.0200   0.3010   180.00    0.910    1.228    1.002      2.740e+00      2.600e-01
   1.0200   0.2980   180.00    0.897    1.216    1.019      2.580e+00      2.460e-01
   1.0200   0.2950   180.00    0.885    1.204    1.037      2.380e+00      2.440e-01
   1.0200   0.2920   180.00    0.872    1.191    1.055      2.030e+00      2.010e-01
   1.0200   0.2880   180.00    0.855    1.175    1.079      1.920e+00      2.480e-01
   1.0200   0.2850   180.00    0.843    1.163    1.097      1.970e+00      2.390e-01
   1.0200   0.2830   180.00    0.835    1.155    1.109      1.990e+00      2.440e-01
   1.0200   0.2800   180.00    0.823    1.142    1.127      1.480e+00      1.920e-01
   1.0200   0.2770   180.00    0.811    1.130    1.144      1.420e+00      1.950e-01
   1.0200   0.2740   180.00    0.799    1.118    1.162      1.710e+00      2.230e-01
   1.0200   0.2710   180.00    0.787    1.106    1.180      1.970e+00      2.120e-01
   1.0200   0.2680   180.00    0.775    1.093    1.198      1.820e+00      1.880e-01
   1.0200   0.2660   180.00    0.767    1.085    1.210      1.900e+00      1.980e-01
   1.0200   0.2630   180.00    0.755    1.073    1.228      1.990e+00      2.080e-01
   1.0200   0.2600   180.00    0.744    1.061    1.246      2.080e+00      2.290e-01
   1.0200   0.2580   180.00    0.736    1.053    1.258      2.390e+00      2.510e-01
   1.0200   0.2550   180.00    0.725    1.040    1.276      2.710e+00      3.080e-01
   1.0200   0.2520   180.00    0.713    1.028    1.293      2.920e+00      3.150e-01
   1.0200   0.2500   180.00    0.706    1.020    1.305      3.570e+00      3.830e-01
   1.1890   0.3360   180.00    0.998    1.598    0.883      2.120e+00      2.100e-01
   1.1890   0.3320   180.00    0.982    1.579    0.910      2.030e+00      1.900e-01
   1.1890   0.3290   180.00    0.970    1.565    0.929      1.950e+00      1.870e-01
   1.1890   0.3260   180.00    0.957    1.550    0.949      1.740e+00      1.670e-01
   1.1890   0.3220   180.00    0.941    1.531    0.976      1.570e+00      1.620e-01
   1.1890   0.3190   180.00    0.929    1.517    0.996      1.550e+00      1.520e-01
   1.1890   0.3160   180.00    0.917    1.503    1.016      1.260e+00      1.280e-01
   1.1890   0.3120   180.00    0.902    1.484    1.042      1.200e+00      1.160e-01
   1.1890   0.3090   180.00    0.890    1.470    1.062      1.070e+00      1.060e-01
   1.1890   0.3060   180.00    0.878    1.455    1.082      9.800e-01      1.160e-01
   1.1890   0.3030   180.00    0.867    1.441    1.102      1.010e+00      1.240e-01
   1.1890   0.3000   180.00    0.855    1.427    1.122      1.010e+00      1.210e-01
   1.1890   0.2970   180.00    0.844    1.413    1.142      9.510e-01      1.170e-01
   1.1890   0.2940   180.00    0.833    1.398    1.162      8.680e-01      1.030e-01
   1.1890   0.2910   180.00    0.821    1.384    1.181      1.020e+00      1.230e-01
   1.1890   0.2880   180.00    0.810    1.370    1.201      9.480e-01      1.140e-01
   1.1890   0.2850   180.00    0.799    1.355    1.221      1.050e+00      1.310e-01
   1.1890   0.2830   180.00    0.792    1.346    1.235      1.210e+00      1.460e-01
   1.2810   0.3420   180.00    0.995    1.752    0.890      1.550e+00      6.460e-02
   1.2810   0.3390   180.00    0.983    1.737    0.911      1.490e+00      5.820e-02
   1.2810   0.3350   180.00    0.967    1.717    0.939      1.450e+00      6.250e-02
   1.2810   0.3320   180.00    0.955    1.701    0.960      1.260e+00      5.330e-02
   1.2810   0.3280   180.00    0.940    1.681    0.988      1.150e+00      5.420e-02
   1.2810   0.3250   180.00    0.928    1.665    1.009      1.040e+00      4.940e-02
   1.2810   0.3210   180.00    0.913    1.645    1.037      9.420e-01      5.590e-02
   1.5110   0.5750    89.97    0.989    1.737    0.900      3.000e+00      5.200e-02
   1.5110   0.5690    89.97    0.972    1.719    0.929      3.000e+00      3.400e-02
   1.5110   0.5630    89.97    0.956    1.700    0.959      2.600e+00      3.000e-02
   1.5110   0.5570    89.97    0.940    1.682    0.988      2.200e+00      2.600e-02
   1.5110   0.5510    89.97    0.924    1.664    1.018      1.920e+00      2.400e-02
   1.5110   0.5450    89.97    0.908    1.646    1.047      1.640e+00      2.400e-02
   1.5110   0.5390    89.97    0.893    1.628    1.076      1.440e+00      2.400e-02
   1.5110   0.5330    89.97    0.877    1.610    1.106      1.280e+00      2.200e-02
   1.5110   0.5260    89.97    0.860    1.589    1.140      1.200e+00      2.000e-02
   1.5110   0.5200    89.97    0.845    1.571    1.169      1.160e+00      2.200e-02
   1.5110   0.5140    89.97    0.830    1.552    1.199      1.240e+00      2.600e-02
   1.5110   0.5750    90.07    0.991    1.740    0.897      3.000e+00      7.000e-02
   1.5110   0.5690    90.07    0.974    1.722    0.926      2.800e+00      6.000e-02
   1.5110   0.5630    90.07    0.958    1.703    0.956      2.800e+00      6.200e-02
   1.5110   0.5570    90.07    0.941    1.685    0.985      1.980e+00      1.000e-01
   1.5110   0.5510    90.07    0.925    1.667    1.015      1.920e+00      1.140e-01
   1.5110   0.5450    90.07    0.910    1.649    1.044      1.560e+00      7.600e-02
   1.5110   0.5390    90.07    0.894    1.631    1.074      1.520e+00      7.000e-02
   1.5110   0.5330    90.07    0.879    1.613    1.103      1.300e+00      6.200e-02
   1.5110   0.5260    90.07    0.861    1.592    1.137      1.220e+00      6.200e-02
   1.5110   0.5200    90.07    0.846    1.573    1.167      1.260e+00      6.800e-02
   1.5110   0.5140    90.07    0.831    1.555    1.196      1.160e+00      1.160e-01
   1.9680   1.0310    55.21    0.991    1.743    0.896      7.200e+00      1.660e-01
   1.9680   1.0230    55.21    0.975    1.729    0.925      7.000e+00      1.400e-01
   1.9680   1.0140    55.21    0.957    1.714    0.957      6.200e+00      1.600e-01
   1.9680   1.0060    55.21    0.942    1.700    0.985      4.600e+00      3.000e-01
   1.9680   0.9980    55.21    0.927    1.687    1.014      4.600e+00      1.260e-01
   1.9680   0.9890    55.21    0.910    1.672    1.046      3.800e+00      8.600e-02
   1.9680   0.9810    55.21    0.895    1.658    1.074      3.200e+00      7.200e-02
   1.9680   0.9720    55.21    0.879    1.643    1.106      2.800e+00      6.400e-02
   1.9680   0.9640    55.21    0.865    1.629    1.135      2.600e+00      6.200e-02
   1.9680   0.9560    55.21    0.851    1.616    1.164      2.600e+00      6.400e-02
   1.9680   0.9470    55.21    0.835    1.601    1.196      2.800e+00      6.800e-02
   1.9680   0.9390    55.21    0.822    1.587    1.224      2.800e+00      8.200e-02
   1.9680   0.9300    55.21    0.807    1.572    1.256      3.200e+00      1.920e-01
   1.9680   0.6290    89.95    0.984    2.474    0.919      6.600e-01      3.200e-02
   1.9680   0.6220    89.95    0.968    2.446    0.960      6.800e-01      3.600e-02
   1.9680   0.6150    89.95    0.953    2.419    1.001      4.000e-01      5.000e-02
   1.9680   0.6290    89.97    0.985    2.474    0.919      6.800e-01      9.600e-03
   1.9680   0.6220    89.97    0.969    2.447    0.959      6.200e-01      9.000e-03
   1.9680   0.6150    89.97    0.953    2.419    1.000      5.400e-01      8.800e-03
   1.9680   0.6080    89.97    0.937    2.392    1.041      4.800e-01      8.400e-03
   1.9680   0.6010    89.97    0.922    2.364    1.081      4.200e-01      8.200e-03
   1.9680   0.5940    89.97    0.906    2.337    1.122      4.000e-01      8.400e-03
   1.9680   0.5880    89.97    0.893    2.313    1.157      3.600e-01      8.000e-03
   1.9680   0.5810    89.97    0.878    2.286    1.198      3.800e-01      8.200e-03
   1.9680   0.5740    89.97    0.863    2.258    1.238      4.200e-01      9.800e-03
   2.0150   1.3584    38.84    0.982    1.210    0.902      5.337e+01      2.837e-01
   2.0150   1.3476    38.84    0.959    1.201    0.932      5.054e+01      2.716e-01
   2.0150   1.3367    38.84    0.936    1.191    0.962      4.298e+01      2.388e-01
   2.0150   1.3259    38.84    0.914    1.181    0.992      3.532e+01      2.035e-01
   2.0150   1.3150    38.84    0.892    1.172    1.022      2.958e+01      1.826e-01
   2.0150   1.3042    38.84    0.871    1.162    1.052      2.337e+01      1.630e-01
   2.0150   1.2933    38.84    0.851    1.152    1.082      2.090e+01      1.625e-01
   2.4070   1.4700    41.11    0.992    1.745    0.894      1.280e+01      2.200e-01
   2.4070   1.4600    41.11    0.975    1.733    0.925      1.220e+01      1.380e-01
   2.4070   1.4500    41.11    0.958    1.721    0.955      1.100e+01      1.260e-01
   2.4070   1.4400    41.11    0.942    1.709    0.986      9.200e+00      1.140e-01
   2.4070   1.4300    41.11    0.926    1.697    1.016      7.800e+00      1.100e-01
   2.4070   1.4210    41.11    0.912    1.687    1.044      6.400e+00      1.560e-01
   2.4070   1.4110    41.11    0.896    1.675    1.075      5.800e+00      2.600e-01
   2.4070   1.4010    41.11    0.881    1.663    1.105      5.200e+00      1.400e-01
   2.4070   1.3910    41.11    0.866    1.651    1.136      4.800e+00      1.120e-01
   2.4070   1.3810    41.11    0.851    1.639    1.167      4.400e+00      1.040e-01
   2.4070   1.3720    41.11    0.838    1.628    1.194      4.400e+00      1.020e-01
   2.4070   1.3620    41.11    0.824    1.617    1.225      4.800e+00      1.060e-01
   2.4070   1.3520    41.11    0.811    1.605    1.255      5.400e+00      1.180e-01
   2.4070   1.3420    41.11    0.797    1.593    1.286      6.000e+00      1.300e-01
   2.4070   1.3330    41.11    0.785    1.582    1.314      6.800e+00      1.460e-01
   2.4070   1.3230    41.11    0.772    1.570    1.344      8.000e+00      1.720e-01
   2.4070   1.3130    41.11    0.759    1.558    1.375      9.400e+00      2.600e-01
   2.4070   1.3030    41.11    0.747    1.547    1.406      1.020e+01      7.600e-01
   2.4070   1.0650    58.88    0.984    2.477    0.922      1.380e+00      2.200e-02
   2.4070   1.0560    58.88    0.969    2.456    0.959      1.260e+00      2.000e-02
   2.4070   1.0460    58.88    0.953    2.433    1.001      1.140e+00      2.000e-02
   2.4070   1.0370    58.88    0.938    2.412    1.039      9.600e-01      3.000e-02
   2.4070   1.0270    58.88    0.922    2.389    1.081      9.200e-01      5.600e-02
   2.4070   1.0180    58.88    0.908    2.368    1.119      7.800e-01      3.000e-02
   2.4070   1.0080    58.88    0.893    2.345    1.161      7.200e-01      2.600e-02
   2.4070   0.9990    58.88    0.879    2.324    1.199      7.800e-01      2.600e-02
   2.4070   0.9890    58.88    0.865    2.300    1.241      8.000e-01      2.600e-02
   2.4070   0.9800    58.88    0.851    2.279    1.279      8.800e-01      2.800e-02
   2.4070   0.9700    58.88    0.837    2.256    1.321      1.040e+00      3.400e-02
   2.4070   0.9610    58.88    0.824    2.235    1.359      1.220e+00      4.400e-02
   2.4070   0.9510    58.88    0.810    2.212    1.401      1.560e+00      1.300e-01
   2.4070   0.6680    89.97    0.985    3.214    0.930      2.000e-01      3.200e-03
   2.4070   0.6610    89.97    0.971    3.180    0.976      1.920e-01      3.000e-03
   2.4070   0.6530    89.97    0.955    3.142    1.030      1.760e-01      2.800e-03
   2.4070   0.6460    89.97    0.941    3.108    1.077      1.540e-01      2.800e-03
   2.4070   0.6390    89.97    0.927    3.075    1.124      1.440e-01      2.800e-03
   2.4070   0.6310    89.97    0.911    3.036    1.177      1.480e-01      3.400e-03
   2.4070   0.6240    89.97    0.897    3.002    1.224      1.540e-01      3.600e-03
   2.4070   0.6160    89.97    0.882    2.964    1.277      1.700e-01      3.800e-03
   2.4070   0.6090    89.97    0.868    2.930    1.324      1.900e-01      4.200e-03
   2.4070   0.6010    89.97    0.853    2.892    1.378      2.200e-01      5.200e-03
   2.8370   1.4940    44.99    0.985    2.482    0.919      2.400e+00      3.600e-02
   2.8370   1.4820    44.99    0.968    2.462    0.961      2.200e+00      3.400e-02
   2.8370   1.4710    44.99    0.953    2.444    1.000      1.860e+00      3.200e-02
   2.8370   1.4600    44.99    0.939    2.425    1.039      1.640e+00      3.400e-02
   2.8370   1.4480    44.99    0.923    2.405    1.081      1.420e+00      5.400e-02
   2.8370   1.4370    44.99    0.909    2.387    1.120      1.400e+00      8.400e-02
   2.8370   1.4260    44.99    0.895    2.369    1.159      1.240e+00      5.000e-02
   2.8370   1.4140    44.99    0.880    2.349    1.202      1.280e+00      4.600e-02
   2.8370   1.4030    44.99    0.866    2.331    1.241      1.340e+00      4.600e-02
   2.8370   1.3920    44.99    0.853    2.312    1.280      1.480e+00      4.800e-02
   2.8370   1.3800    44.99    0.838    2.292    1.322      1.700e+00      5.400e-02
   2.8370   1.3690    44.99    0.826    2.274    1.361      1.880e+00      5.800e-02
   2.8370   1.3580    44.99    0.813    2.256    1.400      2.400e+00      6.800e-02
