 Ep    Theta    x    F2    F1
   3.0999999046325684        15.000000000000000       0.15917405420017436       0.35857295617824314       0.95347234943206194     
   3.0999999046325684        16.000000000000000       0.18096206711794524       0.35324976544536613       0.84632246570711789     
   3.0999999046325684        17.000000000000000       0.20411791056191494       0.34494647519708754       0.74995089389760450     
   3.0999999046325684        18.000000000000000       0.22863453103746212       0.33362577158985773       0.66206004231535986     
   3.0999999046325684        19.000000000000000       0.25450446054407661       0.31928393534456845       0.58112353833845498     
   3.0999999046325684        20.000000000000000       0.28171981885018421       0.30198374503977643       0.50618845029384396     
   3.0999999046325684        21.000000000000000       0.31027231589354276       0.28188176932565545       0.43671178440969277     
   3.0999999046325684        22.000000000000000       0.34015325430647431       0.25925047410003565       0.37243622416771044     
   3.0999999046325684        23.000000000000000       0.37135353206516858       0.23474853595502965       0.31364873943559418     
   3.0999999046325684        24.000000000000000       0.40386364526224755       0.20914335092384595       0.26045681529580716     
   3.0999999046325684        25.000000000000000       0.43767369100174786       0.18232806699569518       0.21204386247828427     
   3.0999999046325684        26.000000000000000       0.47277337041563849       0.15463352809491812       0.16826851039500546     
   3.0999999046325684        27.000000000000000       0.50915199180095705       0.12685543180419256       0.12951414629900951     
   3.0999999046325684        28.000000000000000       0.54679847387660507       0.10053141614687576        9.6635821492431426E-002
   3.0999999046325684        29.000000000000000       0.58570134915881433        7.6807629749862341E-002   6.9728012723521443E-002
   3.0999999046325684        30.000000000000000       0.62584876745425377        5.6337152622369900E-002   4.8464491176997561E-002
   3.0999999046325684        31.000000000000000       0.66722849946971341        3.9451945242870413E-002   3.2280653814965421E-002
   3.0999999046325684        32.000000000000000       0.70982794053726539        2.6204603423533757E-002   2.0479681671023368E-002
   3.0999999046325684        33.000000000000000       0.75363411445376827        1.6470626749984511E-002   1.2355707391971249E-002
   3.0999999046325684        34.000000000000000       0.79863367743354396        9.8412538865477791E-003   7.1243177135004122E-003
   3.0999999046325684        35.000000000000000       0.84481292217302661        5.1684530483416813E-003   3.6181410140295463E-003
   3.0999999046325684        36.000000000000000       0.89215778202613616        2.2270617726518160E-003   1.4886653431749933E-003
