 Ep    Theta    x    F2    F1
   3.0999999046325684        15.000000000000000       0.15917405420017436       0.64703866974707092        1.8935723046270516     
   3.0999999046325684        16.000000000000000       0.18096206711794524       0.63871073152239211        1.6679568917444048     
   3.0999999046325684        17.000000000000000       0.20411791056191494       0.62087845606850356        1.4562518145443564     
   3.0999999046325684        18.000000000000000       0.22863453103746212       0.59415273417672843        1.2581661369919663     
   3.0999999046325684        19.000000000000000       0.25450446054407661       0.56001997881393839        1.0750538731429207     
   3.0999999046325684        20.000000000000000       0.28171981885018421       0.52035904576787373       0.90839412331786107     
   3.0999999046325684        21.000000000000000       0.31027231589354276       0.47699937466271758       0.75904438265703311     
   3.0999999046325684        22.000000000000000       0.34015325430647431       0.43143611407332882       0.62706145917971945     
   3.0999999046325684        23.000000000000000       0.37135353206516858       0.38499604100594975       0.51218349389681861     
   3.0999999046325684        24.000000000000000       0.40386364526224755       0.33864124609308899       0.41341436608174353     
   3.0999999046325684        25.000000000000000       0.43767369100174786       0.29219396818012261       0.32856051297353939     
   3.0999999046325684        26.000000000000000       0.47277337041563849       0.24589535198594376       0.25604032532852211     
   3.0999999046325684        27.000000000000000       0.50915199180095705       0.20062218703703907       0.19486838679766866     
   3.0999999046325684        28.000000000000000       0.54679847387660507       0.15822251219445421       0.14467562745636040     
   3.0999999046325684        29.000000000000000       0.58570134915881433       0.12029122673221025       0.10450713338840614     
   3.0999999046325684        30.000000000000000       0.62584876745425377        8.7880367218167540E-002   7.3165024500340056E-002
   3.0999999046325684        31.000000000000000       0.66722849946971341        6.1489059118193086E-002   4.9378927067423278E-002
   3.0999999046325684        32.000000000000000       0.70982794053726539        4.1030589966019229E-002   3.1893906171131546E-002
   3.0999999046325684        33.000000000000000       0.75363411445376827        2.6005524886462954E-002   1.9575215410150955E-002
   3.0999999046325684        34.000000000000000       0.79863367743354396        1.5553721278728609E-002   1.1327109189404213E-002
   3.0999999046325684        35.000000000000000       0.84481292217302661        8.2669112674356848E-003   5.8231444902891267E-003
   3.0999999046325684        36.000000000000000       0.89215778202613616        5.5537939075071402E-003   3.7676945608073123E-003
