exp   x   Q2   W2   F2d/p    F2d/p_err   F2d/p_f1f217    f2d/p_ineft    F2d_f1f217    F2p_f1f217    F2d_ineft    F2p_ineft
8  0.789  1.11  1.1772  35.1221  3.41791  19.5999  3.74625  0.07889  0.00201  0.02506  0.00669
8  0.734  1.515  1.42939  0.8037  0.0414538  0.646545  0.62888  0.15721  0.12157  0.07308  0.11621
8  0.744  1.522  1.40405  0.8982  0.0465923  0.712515  0.69901  0.14535  0.102  0.06514  0.09318
8  0.754  1.529  1.37921  1.0682  0.0898321  0.817535  0.79121  0.13281  0.08123  0.05809  0.07343
8  0.765  1.536  1.3522  1.3883  0.117165  0.98594  0.91045  0.11897  0.06033  0.0514  0.05646
8  0.776  1.543  1.32576  1.8083  0.153329  1.22394  1.04125  0.10587  0.04325  0.0456  0.0438
8  0.787  1.55  1.29986  2.1371  0.182057  1.56544  1.18246  0.09409  0.03005  0.0404  0.03417
8  0.798  1.557  1.27448  2.9675  0.254861  2.08462  1.33974  0.08404  0.02016  0.03556  0.02654
8  0.809  1.564  1.24961  3.9123  0.338725  2.95213  1.52953  0.07591  0.01286  0.03089  0.0202
8  0.821  1.571  1.22288  5.8798  0.515495  4.85773  1.82493  0.06935  0.00714  0.02582  0.01415
8  0.833  1.578  1.19671  10.3152  0.920755  10.0396  2.38733  0.06523  0.00325  0.02066  0.00865
8  0.845  1.585  1.17109  32.2571  2.94024  37.7932  4.42389  0.06351  0.00084  0.0153  0.00346
8  0.569  1.717  2.18093  0.6071  0.032088  0.68051  0.76747  0.24  0.17634  0.12679  0.1652
8  0.759  1.907  1.48587  0.7255  0.0397004  0.601035  0.57538  0.1188  0.09883  0.06197  0.1077
8  0.767  1.914  1.46179  0.7266  0.039975  0.594045  0.57998  0.11369  0.09569  0.05755  0.09923
8  0.776  1.921  1.43487  0.7545  0.0418067  0.61858  0.61801  0.1071  0.08657  0.05201  0.08416
8  0.785  1.928  1.40841  0.9263  0.0514172  0.6828  0.68837  0.09979  0.07308  0.04659  0.06769
