EXTERNAL/TSAI:  VERSION OF 8/8/96

Marathon                                                                
H3_kin7.inp                                                             
                                                                        
Hall A 2018: 25 cm Tritium target                                       
Nominal values - not exact                                              

----*----1----*----2----*----3----*----4----*----5----*----6----*----7--
                                                                        

TARGET (iZ,iA) = (  1,  3);   avgA =   3.000; amuM=  3.016; avgM=  2.809
 targ=TRITIUM; ttarg(rl)=0.00042; twall=0.00481; tbeam=0.00342; tspec=0.00732
         Nseg  =   4
 MODELS: P elastc(ikk)=14; deut elastic=13; inelastc=206; Pauli Supresion= 4
 NUCLEAR METHOD= 1;   NUCLEAR_MODEL= 1
 DIS MODEL= 2

    E1    TH    Q2 COS_K         SMR     NUC          INT-SMR
    EP     X    W2 QE-PK  INELA  Q-ELA  ELAST   TOTAL  MODEL

  10.589 24.373  5.71    1.23    3.23    0.54    0.00    3.77  0.746
   3.026  0.402  9.36    1.32   -0.17    0.58    0.00    0.41 2.671E+00

  10.589 24.734  5.95    1.15    2.42    0.48    0.00    2.90  0.739
   3.064  0.422  9.05    1.23   -1.16    0.52    0.00   -0.63 2.296E+00

  10.589 25.144  6.20    1.08    1.65    0.44    0.00    2.09  0.733
   3.091  0.441  8.75    1.15   -2.09    0.47    0.00   -1.62 1.953E+00

  10.589 25.672  6.48    1.03    0.94    0.41    0.00    1.35  0.728
   3.097  0.461  8.46    1.10   -2.94    0.44    0.00   -2.50 1.625E+00

  10.589 26.206  6.75    0.99    0.24    0.38    0.00    0.62  0.723
   3.102  0.481  8.18    1.05   -3.78    0.41    0.00   -3.37 1.345E+00

  10.589 26.590  7.00    0.94   -0.47    0.35    0.00   -0.12  0.721
   3.126  0.500  7.88    0.99   -4.63    0.38    0.00   -4.25 1.136E+00

  0.000 0.000  0.000 .000  0.00  0.00  0.00  0.00  0.00  0.00 0.000
                           0.00  0.00  0.00  0.00  0.00  0.00 0.000E+00

