EXTERNAL/TSAI:  VERSION OF 8/8/96

Marathon                                                                
He3_kin7.inp                                                            
                                                                        
Hall A 2018: 25 cm He3 target                                           
Nominal values - not exact                                              

----*----1----*----2----*----3----*----4----*----5----*----6----*----7--
                                                                        

TARGET (iZ,iA) = (  2,  3);   avgA =   3.000; amuM=  3.016; avgM=  2.809
 targ=TRITIUM; ttarg(rl)=0.00075; twall=0.00481; tbeam=0.00342; tspec=0.00732
         Nseg  =   4
 MODELS: P elastc(ikk)=14; deut elastic=13; inelastc=206; Pauli Supresion= 4
 NUCLEAR METHOD= 1;   NUCLEAR_MODEL= 1
 DIS MODEL= 2

    E1    TH    Q2 COS_K         SMR     NUC          INT-SMR
    EP     X    W2 QE-PK  INELA  Q-ELA  ELAST   TOTAL  MODEL

  10.589 24.363  5.71    1.40    3.07    0.63    0.00    3.70  0.778
   3.027  0.402  9.36    1.51   -0.28    0.68    0.00    0.40 3.183E+00

  10.589 24.729  5.95    1.29    2.27    0.56    0.00    2.83  0.775
   3.065  0.422  9.05    1.39   -1.26    0.61    0.00   -0.64 2.748E+00

  10.589 25.139  6.20    1.20    1.53    0.51    0.00    2.04  0.773
   3.092  0.441  8.75    1.29   -2.17    0.55    0.00   -1.62 2.347E+00

  10.589 25.674  6.48    1.14    0.84    0.47    0.00    1.31  0.773
   3.098  0.461  8.46    1.22   -3.01    0.51    0.00   -2.50 1.958E+00

  10.589 26.196  6.75    1.08    0.17    0.44    0.00    0.61  0.772
   3.103  0.481  8.18    1.16   -3.81    0.48    0.00   -3.34 1.630E+00

  10.589 26.594  7.00    1.03   -0.49    0.41    0.00   -0.07  0.774
   3.124  0.500  7.89    1.09   -4.62    0.44    0.00   -4.17 1.378E+00

  0.000 0.000  0.000 .000  0.00  0.00  0.00  0.00  0.00  0.00 0.000
                           0.00  0.00  0.00  0.00  0.00  0.00 0.000E+00

