EXTERNAL/TSAI:  VERSION OF 8/8/96

Marathon                                                                
He3_kin11.inp                                                           
                                                                        
Hall A 2018: 25 cm He3 target                                           
Nominal values - not exact                                              

----*----1----*----2----*----3----*----4----*----5----*----6----*----7--
                                                                        

TARGET (iZ,iA) = (  2,  3);   avgA =   3.000; amuM=  3.016; avgM=  2.809
 targ=TRITIUM; ttarg(rl)=0.00075; twall=0.00481; tbeam=0.00342; tspec=0.00732
         Nseg  =   4
 MODELS: P elastc(ikk)=14; deut elastic=13; inelastc=206; Pauli Supresion= 4
 NUCLEAR METHOD= 1;   NUCLEAR_MODEL= 1
 DIS MODEL= 2

    E1    TH    Q2 COS_K         SMR     NUC          INT-SMR
    EP     X    W2 QE-PK  INELA  Q-ELA  ELAST   TOTAL  MODEL

  10.589 28.514  7.74    1.01   -1.56    0.40    0.00   -1.16  0.775
   3.014  0.545  7.35    1.07   -5.88    0.43    0.00   -5.45 8.058E-01

  10.589 28.786  7.95    0.97   -2.12    0.38    0.00   -1.74  0.782
   3.039  0.561  7.10    1.02   -6.55    0.41    0.00   -6.14 6.937E-01

  10.589 29.058  8.16    0.93   -2.67    0.37    0.00   -2.30  0.791
   3.062  0.578  6.84    0.98   -7.21    0.40    0.00   -6.81 5.946E-01

  10.589 29.330  8.38    0.89   -3.21    0.36    0.00   -2.85  0.802
   3.086  0.595  6.58    0.95   -7.87    0.39    0.00   -7.48 5.069E-01

  10.589 29.679  8.60    0.87   -3.73    0.36    0.00   -3.37  0.814
   3.097  0.612  6.34    0.92   -8.48    0.39    0.00   -8.09 4.264E-01

  10.589 30.071  8.84    0.85   -4.18    0.36    0.00   -3.82  0.828
   3.100  0.629  6.10    0.90   -9.03    0.39    0.00   -8.63 3.552E-01

  10.589 30.440  9.07    0.84   -4.72    0.37    0.00   -4.35  0.846
   3.107  0.646  5.85    0.88   -9.66    0.40    0.00   -9.26 2.952E-01

  10.589 30.691  9.28    0.82   -5.25    0.38    0.00   -4.87  0.870
   3.128  0.663  5.60    0.86  -10.29    0.41    0.00   -9.88 2.486E-01

  0.000 0.000  0.000 .000  0.00  0.00  0.00  0.00  0.00  0.00 0.000
                           0.00  0.00  0.00  0.00  0.00  0.00 0.000E+00

