kin0
x,Q2,RC(all) ratio,RC(gas) ratio,RC(pre-target) ratio,RC(wall) ratio,RC(post-target) ratio
0.158,2.248,1.001,1.002,1.002,1.001,1.003
0.172,2.425,1.000,1.002,1.001,1.001,1.002
0.190,2.668,1.000,1.002,1.001,1.000,1.002
0.209,2.945,0.999,1.001,1.000,0.999,1.001
0.228,3.206,0.998,1.001,1.000,0.999,1.001
0.243,3.391,0.998,1.000,1.000,0.998,1.001
0.261,3.613,0.997,1.000,1.000,0.998,1.000
kin16
x,Q2,RC(all) ratio,RC(gas) ratio,RC(pre-target) ratio,RC(wall) ratio,RC(post-target) ratio
0.715,10.458,0.998,1.002,1.002,0.998,1.002
0.731,10.666,0.999,1.002,1.002,0.998,1.002
0.751,10.924,0.999,1.002,1.003,0.998,1.003
0.770,11.178,0.999,1.003,1.003,0.999,1.003
0.790,11.432,1.000,1.003,1.003,0.999,1.004
0.810,11.696,1.001,1.004,1.004,1.000,1.004
0.829,11.962,1.001,1.004,1.004,1.000,1.005
0.846,12.193,1.001,1.004,1.005,1.000,1.005
