kin0
x,Q2,RC(all),RC(gas),RC(pre-target),RC(wall),RC(post-target)
0.158,2.247,1.202,1.202,1.224,1.188,1.195
0.172,2.425,1.179,1.184,1.203,1.168,1.176
0.190,2.668,1.156,1.165,1.182,1.148,1.156
0.209,2.945,1.136,1.148,1.164,1.131,1.139
0.228,3.206,1.117,1.133,1.147,1.115,1.123
0.243,3.392,1.102,1.120,1.133,1.101,1.109
0.261,3.611,1.085,1.106,1.117,1.086,1.095
kin16
x,Q2,RC(all),RC(gas),RC(pre-target),RC(wall),RC(post-target)
0.715,10.457,0.898,0.950,0.948,0.925,0.925
0.731,10.669,0.893,0.946,0.943,0.920,0.920
0.751,10.926,0.886,0.940,0.938,0.915,0.914
0.770,11.182,0.880,0.935,0.932,0.909,0.908
0.790,11.435,0.873,0.929,0.926,0.903,0.902
0.810,11.695,0.867,0.924,0.920,0.897,0.896
0.829,11.963,0.860,0.918,0.914,0.891,0.890
0.846,12.197,0.854,0.913,0.908,0.886,0.885
