kin0
x,Q2,RC(all) ratio,RC(gas) ratio,RC(pre-target) ratio,RC(wall) ratio,RC(post-target) ratio
0.158,2.247,0.983,0.982,0.984,0.982,0.982
0.172,2.425,0.984,0.984,0.985,0.984,0.983
0.190,2.668,0.986,0.986,0.987,0.986,0.985
0.209,2.945,0.988,0.987,0.989,0.987,0.987
0.229,3.207,0.990,0.989,0.990,0.989,0.988
0.243,3.392,0.991,0.990,0.991,0.990,0.989
0.261,3.611,0.992,0.991,0.992,0.991,0.990
kin16
x,Q2,RC(all) ratio,RC(gas) ratio,RC(pre-target) ratio,RC(wall) ratio,RC(post-target) ratio
0.715,10.460,1.001,0.999,0.999,1.001,0.999
0.731,10.669,1.001,0.999,0.999,1.002,0.999
0.750,10.922,1.001,1.000,0.999,1.002,1.000
0.770,11.182,1.002,1.000,0.999,1.002,1.000
0.790,11.438,1.002,1.000,1.000,1.002,1.000
0.810,11.694,1.002,1.000,1.000,1.003,1.000
0.829,11.960,1.002,1.001,1.000,1.003,1.001
0.846,12.198,1.002,1.001,1.000,1.003,1.001
