kin0
x,Q2,RC(all),RC(gas),RC(pre-target),RC(wall),RC(post-target)
0.158,2.248,1.221,1.221,1.242,1.208,1.214
0.172,2.425,1.197,1.200,1.219,1.187,1.193
0.190,2.668,1.172,1.180,1.197,1.165,1.172
0.209,2.945,1.151,1.162,1.176,1.146,1.152
0.228,3.206,1.131,1.145,1.158,1.129,1.135
0.243,3.391,1.114,1.131,1.143,1.114,1.120
0.261,3.613,1.097,1.117,1.127,1.099,1.105
kin16
x,Q2,RC(all),RC(gas),RC(pre-target),RC(wall),RC(post-target)
0.715,10.458,0.899,0.949,0.947,0.926,0.924
0.731,10.666,0.893,0.944,0.942,0.921,0.918
0.751,10.924,0.886,0.938,0.936,0.914,0.912
0.770,11.178,0.879,0.932,0.930,0.908,0.905
0.790,11.432,0.872,0.926,0.923,0.902,0.899
0.810,11.696,0.865,0.920,0.917,0.895,0.892
0.829,11.962,0.857,0.914,0.910,0.889,0.885
0.846,12.193,0.851,0.909,0.904,0.883,0.880
