 ***x   Q2   Theta   Eprime   Sig_Born   Sig_Born_In    Sig_Born_QE
  0.67333536658421678        5.8628434297917229        18.023000000000000        5.7500000000000000        1.8398156381515063        1.8390853744786848        7.3026367282152873E-004
  0.60877642570433743        5.5977409442707060        18.023000000000000        5.4900000000000002        2.6836430687451434        2.6832337268225701        4.0934192257316746E-004
  0.55498052884424032        5.3530309576359203        18.023000000000000        5.2500000000000000        3.5511516587774814        3.5508770268511936        2.7463192628778053E-004
  0.50209783393701535        5.0879284721149043        18.023000000000000        4.9900000000000002        4.5162588877772460        4.5160622275676001        1.9666020964556204E-004
  0.45761059141277027        4.8432184854801186        18.023000000000000        4.7500000000000000        5.4205724134376858        5.4204184095685548        1.5400386913033391E-004
  0.41512489715150058        4.5883122494022173        18.023000000000000        4.5000000000000000        6.3139788739279892        6.3138536267141854        1.2524721380452342E-004
  0.38517248269730547        4.3945835099830122        18.023000000000000        4.3099999999999996        7.0195937959992065        7.0194839118065824        1.0988419262480343E-004
  0.35703536608881925        4.2008547705638080        18.023000000000000        4.1200000000000001        7.6153091254994036        7.6152108439873274        9.8281512076182513E-005
  0.33055337398671453        4.0071260311446038        18.023000000000000        3.9300000000000002        8.1948584256181505        8.1947689932388066        8.9432379343896336E-005
  0.31201597951524118        3.8643785389409788        18.023000000000000        3.7900000000000000        8.6800481559596054        8.6799638757108468        8.4280248759436918E-005
  0.29300779407306382        3.7114347972942383        18.023000000000000        3.6400000000000001        9.2380321846618028        9.2379523758169224        7.9808844882143704E-005
  0.27601353829312003        3.5686873050906138        18.023000000000000        3.5000000000000000        9.7375865723701125        9.7375101038198597        7.6468550252460038E-005
  0.25855545795911722        3.4157435634438729        18.023000000000000        3.3500000000000001        10.209726736942333        10.209653074541503        7.3662400829256288E-005
  0.24073528410707593        3.2526035723540163        18.023000000000000        3.1899999999999999        10.667827297336780        10.667755850492542        7.1446844236930655E-005
  0.22057606172506439        3.0588748329348117        18.023000000000000        3.0000000000000000        11.225525134536975        11.225455387485663        6.9747051311815089E-005
  0.20438685002476650        2.8957348418449551        18.023000000000000        2.8399999999999999        11.749306774082280        11.749237741825628        6.9032256652546694E-005
  0.18982050167267217        2.7427911001982146        18.023000000000000        2.6899999999999999        12.290426082027043        12.290357163718385        6.8918308659337733E-005
  0.17216488129998161        2.5490623607790099        18.023000000000000        2.5000000000000000        13.022743566380868        13.022674060692736        6.9505688129648010E-005
  0.15620538880891716        2.3655298708029209        18.023000000000000        2.3199999999999998        13.595264528094116        13.595193755759444        7.0772334672256372E-005
  0.14011386661806782        2.1718011313837162        18.023000000000000        2.1299999999999999        14.224824254509448        14.224751472634077        7.2781875372849965E-005
  0.12952380581233419        2.0392498886232078        18.023000000000000        2.0000000000000000        14.667978450419877        14.667903973043295        7.4477376581557887E-005
  0.11309310860873349        1.8251286503177711        18.023000000000000        1.7900000000000000        15.447889695224200        15.447812220562497        7.7474661702645975E-005
   9.1679251751868723E-002   1.5294374164674058        18.023000000000000        1.5000000000000000        16.789553441623319        16.789472984006537        8.0457616785846578E-005
