EXTERNAL/TSAI:  VERSION OF 8/8/96

Marathon                                                                
He3_kin13_1st                                                           
                                                                        
Hall A 2018: 25 cm He3 target                                           
Nominal values - not exact                                              

----*----1----*----2----*----3----*----4----*----5----*----6----*----7--
                                                                        

TARGET (iZ,iA) = (  2,  3);   avgA =   3.000; amuM=  3.016; avgM=  2.809
 targ=TRITIUM; ttarg(rl)=0.00075; twall=0.00519; tbeam=0.00285; tspec=0.00759
         Nseg  =   4
 MODELS: P elastc(ikk)=14; deut elastic=13; inelastc=206; Pauli Supresion= 4
 NUCLEAR METHOD= 1;   NUCLEAR_MODEL= 1
 DIS MODEL=111

    E1    TH    Q2 COS_K         SMR     NUC          INT-SMR
    EP     X    W2 QE-PK  INELA  Q-ELA  ELAST   TOTAL  MODEL

  10.589 29.967  9.14    0.67   -4.93    0.32    0.00   -4.61  0.897
   3.227  0.661  5.56    0.70  -10.16    0.34    0.00   -9.82 3.194E-01

  10.589 29.967  9.11    0.67   -4.85    0.32    0.00   -4.53  0.893
   3.219  0.659  5.60    0.70  -10.06    0.34    0.00   -9.72 3.253E-01

  10.589 29.967  9.09    0.68   -4.77    0.32    0.00   -4.45  0.889
   3.211  0.657  5.63    0.71   -9.96    0.34    0.00   -9.62 3.314E-01

  10.589 29.967  9.07    0.68   -4.68    0.32    0.00   -4.36  0.885
   3.203  0.654  5.67    0.71   -9.85    0.34    0.00   -9.51 3.375E-01

  10.589 29.967  9.05    0.69   -4.60    0.32    0.00   -4.28  0.882
   3.195  0.652  5.71    0.72   -9.75    0.34    0.00   -9.41 3.436E-01

  10.589 29.967  9.02    0.69   -4.51    0.32    0.00   -4.19  0.878
   3.187  0.650  5.75    0.72   -9.64    0.34    0.00   -9.30 3.499E-01

  10.589 29.967  9.00    0.70   -4.43    0.32    0.00   -4.11  0.875
   3.179  0.647  5.79    0.73   -9.54    0.34    0.00   -9.20 3.562E-01

  10.589 29.967  8.98    0.70   -4.34    0.32    0.00   -4.02  0.872
   3.171  0.645  5.82    0.74   -9.43    0.34    0.00   -9.09 3.626E-01

  10.589 29.967  8.96    0.71   -4.25    0.32    0.00   -3.93  0.869
   3.163  0.643  5.86    0.74   -9.33    0.34    0.00   -8.99 3.690E-01

  10.589 29.967  8.93    0.71   -4.17    0.32    0.00   -3.85  0.867
   3.155  0.640  5.90    0.75   -9.23    0.34    0.00   -8.89 3.756E-01

  10.589 29.967  8.91    0.72   -4.09    0.32    0.00   -3.76  0.863
   3.147  0.638  5.94    0.75   -9.13    0.34    0.00   -8.78 3.821E-01

  10.589 29.967  8.89    0.73   -4.01    0.32    0.00   -3.68  0.861
   3.139  0.636  5.97    0.76   -9.03    0.34    0.00   -8.68 3.888E-01

  10.589 29.967  8.86    0.73   -3.92    0.33    0.00   -3.59  0.858
   3.131  0.633  6.01    0.76   -8.92    0.35    0.00   -8.57 3.955E-01

  10.589 29.967  8.84    0.74   -3.82    0.33    0.00   -3.49  0.856
   3.123  0.631  6.05    0.77   -8.80    0.35    0.00   -8.46 4.023E-01

  10.589 29.967  8.82    0.74   -3.75    0.33    0.00   -3.42  0.853
   3.115  0.629  6.09    0.78   -8.71    0.35    0.00   -8.36 4.092E-01

  10.589 29.967  8.80    0.75   -3.66    0.33    0.00   -3.33  0.851
   3.107  0.627  6.12    0.78   -8.61    0.35    0.00   -8.26 4.161E-01

  10.589 29.967  8.77    0.76   -3.54    0.33    0.00   -3.21  0.848
   3.099  0.624  6.16    0.79   -8.47    0.35    0.00   -8.12 4.231E-01

  10.589 29.967  8.75    0.76   -3.49    0.33    0.00   -3.16  0.846
   3.091  0.622  6.20    0.80   -8.40    0.35    0.00   -8.04 4.302E-01

  10.589 29.967  8.73    0.77   -3.40    0.33    0.00   -3.07  0.845
   3.083  0.620  6.24    0.80   -8.29    0.35    0.00   -7.94 4.374E-01

  10.589 29.967  8.71    0.77   -3.32    0.34    0.00   -2.99  0.843
   3.075  0.617  6.27    0.81   -8.19    0.36    0.00   -7.84 4.446E-01

  10.589 29.967  8.68    0.78   -3.24    0.34    0.00   -2.90  0.841
   3.067  0.615  6.31    0.82   -8.09    0.36    0.00   -7.73 4.519E-01

  10.589 29.967  8.66    0.79   -3.15    0.34    0.00   -2.81  0.839
   3.059  0.613  6.35    0.83   -7.98    0.36    0.00   -7.62 4.592E-01

  10.589 29.967  8.64    0.80   -3.06    0.34    0.00   -2.72  0.837
   3.051  0.611  6.39    0.83   -7.88    0.36    0.00   -7.52 4.667E-01

  10.589 29.967  8.62    0.80   -2.97    0.34    0.00   -2.63  0.836
   3.043  0.608  6.43    0.84   -7.77    0.36    0.00   -7.40 4.742E-01

  10.589 29.967  8.59    0.81   -2.89    0.34    0.00   -2.55  0.834
   3.035  0.606  6.46    0.85   -7.67    0.37    0.00   -7.30 4.817E-01

  10.589 29.967  8.57    0.82   -2.81    0.35    0.00   -2.46  0.833
   3.027  0.604  6.50    0.86   -7.56    0.37    0.00   -7.19 4.894E-01

  10.589 29.967  8.55    0.83   -2.72    0.35    0.00   -2.37  0.831
   3.019  0.602  6.54    0.86   -7.46    0.37    0.00   -7.09 4.971E-01

  10.589 29.967  8.53    0.83   -2.62    0.35    0.00   -2.27  0.830
   3.011  0.599  6.58    0.87   -7.34    0.37    0.00   -6.96 5.049E-01

  10.589 29.967  8.50    0.84   -2.53    0.35    0.00   -2.18  0.829
   3.003  0.597  6.61    0.88   -7.24    0.38    0.00   -6.86 5.127E-01

  10.589 29.967  8.48    0.85   -2.46    0.36    0.00   -2.11  0.825
