EXTERNAL/TSAI:  VERSION OF 8/8/96

Marathon                                                                
H3_kin13_1st                                                            
                                                                        
Hall A 2018: 25 cm Tritium target                                       
Nominal values - not exact                                              

----*----1----*----2----*----3----*----4----*----5----*----6----*----7--
                                                                        

TARGET (iZ,iA) = (  1,  3);   avgA =   3.000; amuM=  3.016; avgM=  2.809
 targ=TRITIUM; ttarg(rl)=0.00045; twall=0.00481; tbeam=0.00291; tspec=0.00759
         Nseg  =   4
 MODELS: P elastc(ikk)=14; deut elastic=13; inelastc=206; Pauli Supresion= 4
 NUCLEAR METHOD= 1;   NUCLEAR_MODEL= 1
 DIS MODEL=111

    E1    TH    Q2 COS_K         SMR     NUC          INT-SMR
    EP     X    W2 QE-PK  INELA  Q-ELA  ELAST   TOTAL  MODEL

  10.589 29.967  9.14    0.66   -5.07    0.30    0.00   -4.78  0.832
   3.227  0.661  5.56    0.69  -10.13    0.31    0.00   -9.81 2.475E-01

  10.589 29.967  9.11    0.67   -5.00    0.30    0.00   -4.70  0.828
   3.219  0.659  5.60    0.70  -10.04    0.31    0.00   -9.72 2.522E-01

  10.589 29.967  9.09    0.67   -4.92    0.30    0.00   -4.62  0.825
   3.211  0.657  5.63    0.70   -9.94    0.31    0.00   -9.63 2.571E-01

  10.589 29.967  9.07    0.68   -4.84    0.30    0.00   -4.54  0.822
   3.203  0.654  5.67    0.71   -9.84    0.31    0.00   -9.53 2.620E-01

  10.589 29.967  9.05    0.68   -4.75    0.30    0.00   -4.46  0.820
   3.195  0.652  5.71    0.71   -9.74    0.31    0.00   -9.43 2.669E-01

  10.589 29.967  9.02    0.68   -4.67    0.30    0.00   -4.37  0.817
   3.187  0.650  5.75    0.71   -9.64    0.31    0.00   -9.33 2.720E-01

  10.589 29.967  9.00    0.69   -4.59    0.30    0.00   -4.30  0.815
   3.179  0.647  5.79    0.72   -9.55    0.31    0.00   -9.23 2.770E-01

  10.589 29.967  8.98    0.69   -4.51    0.30    0.00   -4.21  0.812
   3.171  0.645  5.82    0.72   -9.44    0.31    0.00   -9.13 2.822E-01

  10.589 29.967  8.96    0.70   -4.42    0.30    0.00   -4.13  0.810
   3.163  0.643  5.86    0.73   -9.34    0.31    0.00   -9.03 2.874E-01

  10.589 29.967  8.93    0.70   -4.35    0.30    0.00   -4.05  0.808
   3.155  0.640  5.90    0.73   -9.25    0.32    0.00   -8.93 2.927E-01

  10.589 29.967  8.91    0.71   -4.27    0.30    0.00   -3.97  0.805
   3.147  0.638  5.94    0.74   -9.15    0.32    0.00   -8.84 2.980E-01

  10.589 29.967  8.89    0.71   -4.19    0.30    0.00   -3.89  0.803
   3.139  0.636  5.97    0.74   -9.06    0.32    0.00   -8.74 3.034E-01

  10.589 29.967  8.86    0.72   -4.10    0.30    0.00   -3.80  0.801
   3.131  0.633  6.01    0.75   -8.95    0.32    0.00   -8.64 3.088E-01

  10.589 29.967  8.84    0.72   -4.01    0.30    0.00   -3.71  0.800
   3.123  0.631  6.05    0.76   -8.84    0.32    0.00   -8.52 3.143E-01

  10.589 29.967  8.82    0.73   -3.94    0.30    0.00   -3.64  0.798
   3.115  0.629  6.09    0.76   -8.76    0.32    0.00   -8.44 3.199E-01

  10.589 29.967  8.80    0.73   -3.86    0.30    0.00   -3.55  0.796
   3.107  0.627  6.12    0.77   -8.66    0.32    0.00   -8.34 3.256E-01

  10.589 29.967  8.77    0.74   -3.74    0.30    0.00   -3.44  0.795
   3.099  0.624  6.16    0.77   -8.53    0.32    0.00   -8.21 3.313E-01

  10.589 29.967  8.75    0.75   -3.69    0.31    0.00   -3.39  0.793
   3.091  0.622  6.20    0.78   -8.46    0.32    0.00   -8.13 3.370E-01

  10.589 29.967  8.73    0.75   -3.61    0.31    0.00   -3.30  0.792
   3.083  0.620  6.24    0.78   -8.36    0.32    0.00   -8.03 3.428E-01

  10.589 29.967  8.71    0.75   -3.53    0.31    0.00   -3.22  0.791
   3.075  0.617  6.27    0.79   -8.26    0.33    0.00   -7.94 3.487E-01

  10.589 29.967  8.68    0.76   -3.45    0.31    0.00   -3.14  0.789
   3.067  0.615  6.31    0.80   -8.16    0.33    0.00   -7.84 3.547E-01

  10.589 29.967  8.66    0.77   -3.37    0.31    0.00   -3.05  0.788
   3.059  0.613  6.35    0.80   -8.06    0.33    0.00   -7.73 3.607E-01

  10.589 29.967  8.64    0.78   -3.28    0.31    0.00   -2.97  0.787
   3.051  0.611  6.39    0.81   -7.96    0.33    0.00   -7.63 3.668E-01

  10.589 29.967  8.62    0.78   -3.20    0.32    0.00   -2.88  0.786
   3.043  0.608  6.43    0.82   -7.86    0.33    0.00   -7.52 3.729E-01

  10.589 29.967  8.59    0.79   -3.12    0.32    0.00   -2.80  0.785
   3.035  0.606  6.46    0.82   -7.76    0.34    0.00   -7.43 3.791E-01

  10.589 29.967  8.57    0.79   -3.04    0.32    0.00   -2.72  0.784
   3.027  0.604  6.50    0.83   -7.66    0.34    0.00   -7.32 3.854E-01

  10.589 29.967  8.55    0.80   -2.95    0.32    0.00   -2.63  0.784
   3.019  0.602  6.54    0.84   -7.56    0.34    0.00   -7.22 3.917E-01

  10.589 29.967  8.53    0.81   -2.86    0.32    0.00   -2.53  0.783
   3.011  0.599  6.58    0.84   -7.45    0.34    0.00   -7.10 3.981E-01

  10.589 29.967  8.50    0.81   -2.78    0.33    0.00   -2.45  0.782
   3.003  0.597  6.61    0.85   -7.35    0.34    0.00   -7.00 4.046E-01

  10.589 29.967  8.48    0.82   -2.71    0.33    0.00   -2.38  0.779
   2.995  0.595  6.65    0.86   -7.26    0.35    0.00   -6.92 4.111E-01

  10.589 29.967  8.46    0.83   -2.62    0.33    0.00   -2.29  0.781
   2.987  0.593  6.69    0.87   -7.16    0.35    0.00   -6.81 4.177E-01

  10.589 29.967  8.43    0.84   -2.53    0.33    0.00   -2.20  0.781
   2.979  0.591  6.73    0.87   -7.05    0.35    0.00   -6.70 4.244E-01

  10.589 29.967  8.41    0.84   -2.45    0.34    0.00   -2.12  0.780
   2.971  0.588  6.76    0.88   -6.95    0.36    0.00   -6.60 4.311E-01

  10.589 29.967  8.39    0.85   -2.36    0.34    0.00   -2.03  0.780
   2.963  0.586  6.80    0.89   -6.85    0.36    0.00   -6.49 4.379E-01

  10.589 29.967  8.37    0.86   -2.29    0.34    0.00   -1.94  0.780
   2.955  0.584  6.84    0.90   -6.75    0.36    0.00   -6.39 4.447E-01

  10.589 30.047  9.18    0.66   -5.17    0.30    0.00   -4.87  0.836
   3.227  0.665  5.51    0.69  -10.24    0.31    0.00   -9.93 2.382E-01

  10.589 30.047  9.16    0.66   -5.08    0.30    0.00   -4.79  0.832
   3.219  0.662  5.55    0.69  -10.14    0.31    0.00   -9.82 2.429E-01

  10.589 30.047  9.14    0.67   -5.01    0.30    0.00   -4.71  0.829
   3.211  0.660  5.59    0.70  -10.05    0.31    0.00   -9.73 2.476E-01

  10.589 30.047  9.12    0.67   -4.93    0.30    0.00   -4.63  0.826
   3.203  0.658  5.62    0.70   -9.95    0.31    0.00   -9.63 2.524E-01

  10.589 30.047  9.09    0.68   -4.85    0.30    0.00   -4.55  0.823
   3.195  0.655  5.66    0.71   -9.85    0.31    0.00   -9.54 2.572E-01

  10.589 30.047  9.07    0.68   -4.77    0.30    0.00   -4.47  0.820
   3.187  0.653  5.70    0.71   -9.75    0.31    0.00   -9.44 2.621E-01

  10.589 30.047  9.05    0.69   -4.68    0.30    0.00   -4.39  0.817
   3.179  0.651  5.74    0.72   -9.65    0.31    0.00   -9.34 2.671E-01

  10.589 30.047  9.02    0.69   -4.60    0.30    0.00   -4.31  0.815
   3.171  0.648  5.78    0.72   -9.56    0.31    0.00   -9.24 2.721E-01

  10.589 30.047  9.00    0.70   -4.52    0.30    0.00   -4.22  0.812
   3.163  0.646  5.81    0.73   -9.45    0.32    0.00   -9.14 2.772E-01

  10.589 30.047  8.98    0.70   -4.44    0.30    0.00   -4.14  0.810
   3.155  0.644  5.85    0.73   -9.35    0.32    0.00   -9.04 2.823E-01

  10.589 30.047  8.96    0.71   -4.35    0.30    0.00   -4.06  0.808
   3.147  0.641  5.89    0.74   -9.26    0.32    0.00   -8.94 2.875E-01

  10.589 30.047  8.93    0.71   -4.28    0.30    0.00   -3.98  0.805
   3.139  0.639  5.93    0.74   -9.16    0.32    0.00   -8.84 2.928E-01

  10.589 30.047  8.91    0.72   -4.20    0.30    0.00   -3.90  0.803
   3.131  0.637  5.96    0.75   -9.06    0.32    0.00   -8.75 2.981E-01

  10.589 30.047  8.89    0.72   -4.11    0.30    0.00   -3.81  0.802
   3.123  0.634  6.00    0.75   -8.96    0.32    0.00   -8.64 3.035E-01

  10.589 30.047  8.87    0.73   -4.02    0.30    0.00   -3.72  0.800
   3.115  0.632  6.04    0.76   -8.85    0.32    0.00   -8.53 3.090E-01

  10.589 30.047  8.84    0.73   -3.95    0.30    0.00   -3.65  0.798
   3.107  0.630  6.08    0.76   -8.76    0.32    0.00   -8.44 3.145E-01

  10.589 30.047  8.82    0.74   -3.87    0.30    0.00   -3.56  0.796
   3.099  0.628  6.12    0.77   -8.67    0.32    0.00   -8.34 3.200E-01

  10.589 30.047  8.80    0.74   -3.79    0.31    0.00   -3.48  0.795
   3.091  0.625  6.15    0.78   -8.57    0.32    0.00   -8.24 3.257E-01

  10.589 30.047  8.77    0.75   -3.70    0.31    0.00   -3.40  0.793
   3.083  0.623  6.19    0.78   -8.46    0.32    0.00   -8.14 3.314E-01

  10.589 30.047  8.75    0.75   -3.62    0.31    0.00   -3.31  0.792
   3.075  0.621  6.23    0.78   -8.36    0.33    0.00   -8.04 3.372E-01

  10.589 30.047  8.73    0.76   -3.54    0.31    0.00   -3.23  0.791
   3.067  0.618  6.27    0.79   -8.27    0.33    0.00   -7.94 3.430E-01

  10.589 30.047  8.71    0.77   -3.46    0.31    0.00   -3.15  0.789
   3.059  0.616  6.30    0.80   -8.17    0.33    0.00   -7.84 3.489E-01

  10.589 30.047  8.68    0.77   -3.37    0.31    0.00   -3.06  0.788
   3.051  0.614  6.34    0.81   -8.07    0.33    0.00   -7.74 3.548E-01

  10.589 30.047  8.66    0.78   -3.29    0.31    0.00   -2.98  0.787
   3.043  0.612  6.38    0.81   -7.97    0.33    0.00   -7.64 3.608E-01

  10.589 30.047  8.64    0.78   -3.21    0.32    0.00   -2.89  0.786
   3.035  0.609  6.42    0.82   -7.87    0.33    0.00   -7.54 3.669E-01

