EXTERNAL/TSAI:  VERSION OF 8/8/96

Marathon                                                                
He3_kin5                                                                
                                                                        
Hall A 2018: 25 cm He3 target                                           
Nominal values - not exact                                              

----*----1----*----2----*----3----*----4----*----5----*----6----*----7--
                                                                        

TARGET (iZ,iA) = (  2,  3);   avgA =   3.000; amuM=  3.016; avgM=  2.809
 targ=TRITIUM; ttarg(rl)=0.00075; twall=0.00519; tbeam=0.00285; tspec=0.00759
         Nseg  =   4
 MODELS: P elastc(ikk)=14; deut elastic=13; inelastc=206; Pauli Supresion= 4
 NUCLEAR METHOD= 1;   NUCLEAR_MODEL= 1
 DIS MODEL=111

    E1    TH    Q2 COS_K         SMR     NUC          INT-SMR
    EP     X    W2 QE-PK  INELA  Q-ELA  ELAST   TOTAL  MODEL

   3.227  0.345  9.93    1.69    2.71    0.88    0.01    3.60 6.057E+00

  10.589 21.527  4.76    1.60    5.87    0.84    0.01    6.72  0.845
   3.219  0.344  9.96    1.71    2.81    0.89    0.01    3.71 6.084E+00

  10.589 21.527  4.74    1.61    5.95    0.85    0.01    6.81  0.845
   3.211  0.343  9.98    1.73    2.91    0.90    0.01    3.82 6.111E+00

  10.589 21.527  4.73    1.63    6.02    0.86    0.01    6.90  0.845
   3.203  0.341 10.01    1.75    3.00    0.91    0.01    3.93 6.138E+00

  10.589 21.527  4.72    1.64    6.10    0.87    0.01    6.98  0.845
   3.195  0.340 10.04    1.76    3.10    0.93    0.01    4.03 6.166E+00

  10.589 21.527  4.71    1.66    6.18    0.88    0.01    7.07  0.845
   3.187  0.339 10.06    1.78    3.19    0.94    0.01    4.14 6.193E+00

  10.589 21.527  4.70    1.67    6.26    0.90    0.01    7.17  0.845
   3.179  0.338 10.09    1.80    3.30    0.95    0.01    4.26 6.220E+00

  10.589 21.527  4.68    1.69    6.34    0.91    0.01    7.26  0.845
   3.171  0.337 10.12    1.82    3.39    0.96    0.01    4.36 6.247E+00

  10.589 21.527  4.67    1.71    6.42    0.92    0.01    7.35  0.845
   3.163  0.335 10.14    1.84    3.49    0.97    0.01    4.48 6.274E+00

  10.589 21.527  4.66    1.72    6.50    0.93    0.01    7.44  0.845
   3.155  0.334 10.17    1.86    3.59    0.99    0.01    4.59 6.302E+00

  10.589 21.527  4.65    1.74    6.58    0.94    0.01    7.53  0.846
   3.147  0.333 10.20    1.87    3.69    1.00    0.01    4.70 6.329E+00

  10.589 21.527  4.64    1.76    6.66    0.95    0.01    7.63  0.846
   3.139  0.332 10.22    1.89    3.79    1.01    0.01    4.81 6.356E+00

  10.589 21.527  4.63    1.78    6.75    0.97    0.01    7.73  0.846
   3.131  0.330 10.25    1.91    3.89    1.02    0.01    4.93 6.383E+00

  10.589 21.527  4.61    1.79    6.83    0.98    0.01    7.82  0.846
   3.123  0.329 10.28    1.93    4.00    1.04    0.01    5.05 6.411E+00

  10.589 21.527  4.60    1.81    6.91    0.99    0.01    7.91  0.846
   3.115  0.328 10.30    1.95    4.10    1.05    0.01    5.16 6.438E+00

  10.589 21.527  4.59    1.83    7.00    1.00    0.01    8.01  0.846
   3.107  0.327 10.33    1.97    4.20    1.06    0.01    5.28 6.465E+00

  10.589 21.527  4.58    1.85    7.09    1.02    0.01    8.12  0.846
   3.099  0.326 10.36    1.99    4.31    1.08    0.01    5.40 6.493E+00

  10.589 21.527  4.57    1.87    7.17    1.03    0.01    8.21  0.846
   3.091  0.325 10.38    2.01    4.41    1.09    0.01    5.51 6.520E+00

  10.589 21.527  4.55    1.89    7.25    1.04    0.01    8.31  0.846
   3.083  0.323 10.41    2.03    4.51    1.11    0.01    5.63 6.548E+00

  10.589 21.527  4.54    1.90    7.33    1.06    0.01    8.40  0.846
   3.075  0.322 10.44    2.06    4.61    1.12    0.01    5.74 6.575E+00

  10.589 21.527  4.53    1.92    7.41    1.07    0.01    8.50  0.846
   3.067  0.321 10.47    2.08    4.71    1.14    0.01    5.86 6.602E+00

  10.589 21.527  4.52    1.94    7.49    1.08    0.02    8.59  0.846
   3.059  0.320 10.49    2.10    4.81    1.15    0.02    5.98 6.630E+00

  10.589 21.527  4.51    1.96    7.58    1.10    0.02    8.69  0.846
   3.051  0.319 10.52    2.12    4.92    1.17    0.02    6.10 6.657E+00

  10.589 21.527  4.50    1.98    7.64    1.11    0.02    8.77  0.846
   3.043  0.317 10.55    2.14    5.00    1.18    0.02    6.19 6.685E+00

  10.589 21.527  4.48    2.00    7.74    1.13    0.02    8.88  0.845
   3.035  0.316 10.57    2.17    5.11    1.20    0.02    6.33 6.712E+00

  10.589 21.527  4.47    2.02    7.82    1.14    0.02    8.98  0.845
   3.027  0.315 10.60    2.19    5.22    1.21    0.02    6.44 6.740E+00

  10.589 21.527  4.46    2.05    7.90    1.16    0.02    9.08  0.845
   3.019  0.314 10.63    2.21    5.32    1.23    0.02    6.56 6.767E+00

  10.589 21.527  4.45    2.07    8.01    1.17    0.02    9.20  0.845
   3.011  0.313 10.65    2.24    5.44    1.24    0.02    6.70 6.795E+00

  10.589 21.527  4.44    2.09    8.08    1.19    0.02    9.29  0.845
   3.003  0.312 10.68    2.26    5.53    1.26    0.02    6.81 6.822E+00

  10.589 21.527  4.42    2.11    8.17    1.20    0.02    9.39  0.845
   2.995  0.310 10.71    2.28    5.64    1.28    0.02    6.93 6.850E+00

  10.589 21.527  4.41    2.13    8.26    1.22    0.02    9.50  0.845
   2.987  0.309 10.73    2.31    5.75    1.29    0.02    7.06 6.878E+00

  10.589 21.527  4.40    2.15    8.35    1.23    0.02    9.61  0.845
   2.979  0.308 10.76    2.33    5.86    1.31    0.02    7.19 6.905E+00

  10.589 21.527  4.39    2.18    8.43    1.25    0.02    9.70  0.845
   2.971  0.307 10.79    2.36    5.96    1.33    0.02    7.31 6.933E+00

  10.589 21.527  4.38    2.20    8.52    1.27    0.02    9.80  0.845
   2.963  0.306 10.81    2.38    6.06    1.35    0.02    7.43 6.961E+00

  10.589 21.527  4.37    2.22    8.60    1.28    0.02    9.91  0.845
   2.955  0.305 10.84    2.41    6.17    1.36    0.02    7.55 6.988E+00

  10.589 21.607  4.80    1.56    5.67    0.82    0.01    6.50  0.845
   3.227  0.348  9.89    1.68    2.57    0.87    0.01    3.45 5.923E+00

  10.589 21.607  4.79    1.58    5.75    0.83    0.01    6.59  0.845
   3.219  0.346  9.92    1.69    2.67    0.88    0.01    3.56 5.950E+00

