EXTERNAL/TSAI:  VERSION OF 8/8/96

Marathon                                                                
He3_kin9_1st                                                            
                                                                        
Hall A 2018: 25 cm He3 target                                           
Nominal values - not exact                                              

----*----1----*----2----*----3----*----4----*----5----*----6----*----7--
                                                                        

TARGET (iZ,iA) = (  2,  3);   avgA =   3.000; amuM=  3.016; avgM=  2.809
 targ=TRITIUM; ttarg(rl)=0.00075; twall=0.00519; tbeam=0.00285; tspec=0.00759
         Nseg  =   4
 MODELS: P elastc(ikk)=14; deut elastic=13; inelastc=206; Pauli Supresion= 4
 NUCLEAR METHOD= 1;   NUCLEAR_MODEL= 1
 DIS MODEL=111

    E1    TH    Q2 COS_K         SMR     NUC          INT-SMR
    EP     X    W2 QE-PK  INELA  Q-ELA  ELAST   TOTAL  MODEL

  10.589 26.004  6.92    0.94   -0.07    0.40    0.00    0.32  0.824
   3.227  0.501  7.78    0.98   -4.37    0.42    0.00   -3.95 1.534E+00

  10.589 26.004  6.90    0.94    0.01    0.40    0.00    0.41  0.824
   3.219  0.499  7.81    0.99   -4.27    0.43    0.00   -3.85 1.549E+00

  10.589 26.004  6.88    0.95    0.09    0.41    0.00    0.50  0.824
   3.211  0.497  7.84    1.00   -4.17    0.43    0.00   -3.74 1.564E+00

  10.589 26.004  6.87    0.96    0.17    0.41    0.00    0.58  0.824
   3.203  0.495  7.87    1.01   -4.08    0.43    0.00   -3.64 1.579E+00

  10.589 26.004  6.85    0.97    0.25    0.41    0.00    0.66  0.823
   3.195  0.494  7.91    1.02   -3.98    0.44    0.00   -3.54 1.594E+00

  10.589 26.004  6.83    0.98    0.33    0.42    0.00    0.75  0.824
   3.187  0.492  7.94    1.03   -3.87    0.44    0.00   -3.43 1.609E+00

  10.589 26.004  6.82    0.99    0.42    0.42    0.00    0.85  0.824
   3.179  0.490  7.97    1.04   -3.77    0.45    0.00   -3.32 1.624E+00

  10.589 26.004  6.80    1.00    0.49    0.43    0.00    0.91  0.824
   3.171  0.488  8.00    1.05   -3.69    0.45    0.00   -3.23 1.640E+00

  10.589 26.004  6.78    1.01    0.56    0.43    0.00    1.00  0.824
   3.163  0.487  8.03    1.06   -3.59    0.46    0.00   -3.13 1.655E+00

  10.589 26.004  6.76    1.02    0.64    0.44    0.00    1.08  0.823
   3.155  0.485  8.07    1.07   -3.49    0.46    0.00   -3.03 1.670E+00

  10.589 26.004  6.75    1.03    0.72    0.44    0.00    1.16  0.824
   3.147  0.483  8.10    1.08   -3.40    0.47    0.00   -2.93 1.686E+00

  10.589 26.004  6.73    1.04    0.80    0.45    0.00    1.25  0.824
   3.139  0.481  8.13    1.09   -3.30    0.47    0.00   -2.82 1.701E+00

  10.589 26.004  6.71    1.05    0.88    0.45    0.00    1.33  0.824
   3.131  0.480  8.16    1.10   -3.20    0.48    0.00   -2.72 1.717E+00

  10.589 26.004  6.70    1.06    0.96    0.46    0.00    1.42  0.824
   3.123  0.478  8.19    1.11   -3.10    0.49    0.00   -2.61 1.732E+00

  10.589 26.004  6.68    1.07    1.04    0.46    0.00    1.50  0.824
   3.115  0.476  8.23    1.13   -3.00    0.49    0.00   -2.51 1.748E+00

  10.589 26.004  6.66    1.08    1.14    0.47    0.00    1.61  0.824
   3.107  0.474  8.26    1.14   -2.89    0.50    0.00   -2.39 1.764E+00

  10.589 26.004  6.64    1.09    1.22    0.47    0.00    1.69  0.824
   3.099  0.473  8.29    1.15   -2.79    0.50    0.00   -2.28 1.779E+00

  10.589 26.004  6.63    1.10    1.29    0.48    0.00    1.77  0.824
   3.091  0.471  8.32    1.16   -2.70    0.51    0.00   -2.19 1.795E+00

  10.589 26.004  6.61    1.11    1.36    0.49    0.00    1.85  0.825
   3.083  0.469  8.36    1.17   -2.61    0.52    0.00   -2.09 1.811E+00

  10.589 26.004  6.59    1.12    1.44    0.49    0.00    1.94  0.824
   3.075  0.468  8.39    1.18   -2.50    0.52    0.00   -1.98 1.827E+00

  10.589 26.004  6.58    1.13    1.53    0.50    0.00    2.02  0.824
   3.067  0.466  8.42    1.20   -2.41    0.53    0.00   -1.88 1.843E+00

  10.589 26.004  6.56    1.14    1.61    0.50    0.00    2.11  0.824
   3.059  0.464  8.45    1.21   -2.31    0.53    0.00   -1.77 1.859E+00

  10.589 26.004  6.54    1.15    1.69    0.51    0.00    2.20  0.824
   3.051  0.462  8.48    1.22   -2.20    0.54    0.00   -1.66 1.875E+00

  10.589 26.004  6.52    1.17    1.78    0.52    0.00    2.29  0.825
   3.043  0.461  8.52    1.23   -2.10    0.55    0.00   -1.55 1.891E+00

  10.589 26.004  6.51    1.18    1.86    0.52    0.00    2.38  0.825
   3.035  0.459  8.55    1.24   -2.00    0.56    0.00   -1.44 1.907E+00

  10.589 26.004  6.49    1.19    1.94    0.53    0.00    2.47  0.825
   3.027  0.457  8.58    1.26   -1.90    0.56    0.00   -1.33 1.924E+00

  10.589 26.004  6.47    1.20    2.03    0.54    0.00    2.56  0.826
   3.019  0.456  8.61    1.27   -1.79    0.57    0.00   -1.22 1.940E+00

  10.589 26.004  6.46    1.21    2.11    0.54    0.00    2.66  0.826
   3.011  0.454  8.65    1.28   -1.69    0.58    0.00   -1.11 1.956E+00

  10.589 26.004  6.44    1.23    2.19    0.55    0.00    2.74  0.823
   3.003  0.452  8.68    1.30   -1.59    0.58    0.00   -1.01 1.973E+00

  10.589 26.004  6.42    1.24    2.28    0.56    0.00    2.84  0.826
   2.995  0.451  8.71    1.31   -1.48    0.59    0.00   -0.89 1.989E+00

  10.589 26.004  6.40    1.25    2.36    0.57    0.00    2.93  0.826
