EXTERNAL/TSAI:  VERSION OF 8/8/96

Marathon                                                                
He3_kin15                                                               
                                                                        
Hall A 2018: 25 cm He3 target                                           
Nominal values - not exact                                              

----*----1----*----2----*----3----*----4----*----5----*----6----*----7--
                                                                        

TARGET (iZ,iA) = (  2,  3);   avgA =   3.000; amuM=  3.016; avgM=  2.809
 targ=TRITIUM; ttarg(rl)=0.00075; twall=0.00519; tbeam=0.00285; tspec=0.00759
         Nseg  =   4
 MODELS: P elastc(ikk)=14; deut elastic=13; inelastc=206; Pauli Supresion= 4
 NUCLEAR METHOD= 1;   NUCLEAR_MODEL= 1
 DIS MODEL=111

    E1    TH    Q2 COS_K         SMR     NUC          INT-SMR
    EP     X    W2 QE-PK  INELA  Q-ELA  ELAST   TOTAL  MODEL

  10.589 31.795  9.39    0.77   -4.15    0.35    0.00   -3.80  0.863
   2.955  0.656  5.81    0.81   -9.13    0.37    0.00   -8.76 2.702E-01

  10.589 31.875 10.31    0.63   -7.35    0.43    0.00   -6.92  1.103
   3.227  0.746  4.39    0.66  -12.98    0.45    0.00  -12.53 1.215E-01

  10.589 31.875 10.28    0.63   -7.24    0.42    0.00   -6.82  1.091
   3.219  0.743  4.43    0.66  -12.86    0.44    0.00  -12.42 1.246E-01

  10.589 31.875 10.25    0.63   -7.16    0.42    0.00   -6.74  1.079
   3.211  0.741  4.47    0.67  -12.76    0.44    0.00  -12.32 1.278E-01

  10.589 31.875 10.23    0.63   -7.07    0.41    0.00   -6.65  1.068
   3.203  0.738  4.51    0.67  -12.65    0.43    0.00  -12.22 1.310E-01

  10.589 31.875 10.20    0.64   -6.98    0.41    0.00   -6.57  1.057
   3.195  0.735  4.55    0.67  -12.54    0.43    0.00  -12.11 1.343E-01

  10.589 31.875 10.18    0.64   -6.89    0.40    0.00   -6.48  1.047
   3.187  0.733  4.59    0.67  -12.43    0.42    0.00  -12.01 1.376E-01

  10.589 31.875 10.15    0.64   -6.80    0.40    0.00   -6.40  1.037
   3.179  0.730  4.63    0.67  -12.32    0.42    0.00  -11.90 1.410E-01

  10.589 31.875 10.13    0.64   -6.70    0.39    0.00   -6.31  1.027
   3.171  0.727  4.67    0.68  -12.21    0.41    0.00  -11.79 1.445E-01

  10.589 31.875 10.10    0.65   -6.61    0.39    0.00   -6.22  1.018
   3.163  0.725  4.71    0.68  -12.10    0.41    0.00  -11.69 1.480E-01

  10.589 31.875 10.08    0.65   -6.52    0.38    0.00   -6.13  1.009
   3.155  0.722  4.75    0.68  -11.99    0.41    0.00  -11.58 1.516E-01

  10.589 31.875 10.05    0.65   -6.42    0.38    0.00   -6.04  1.000
   3.147  0.720  4.80    0.69  -11.87    0.40    0.00  -11.47 1.552E-01

  10.589 31.875 10.02    0.66   -6.33    0.38    0.00   -5.95  0.992
   3.139  0.717  4.84    0.69  -11.76    0.40    0.00  -11.37 1.589E-01

  10.589 31.875 10.00    0.66   -6.24    0.37    0.00   -5.86  0.984
   3.131  0.714  4.88    0.69  -11.65    0.39    0.00  -11.25 1.627E-01

  10.589 31.875  9.97    0.66   -6.15    0.37    0.00   -5.78  0.976
   3.123  0.712  4.92    0.70  -11.55    0.39    0.00  -11.16 1.665E-01

  10.589 31.875  9.95    0.67   -6.06    0.37    0.00   -5.69  0.968
   3.115  0.709  4.96    0.70  -11.44    0.39    0.00  -11.05 1.704E-01

  10.589 31.875  9.92    0.67   -5.96    0.37    0.00   -5.59  0.961
   3.107  0.707  5.00    0.70  -11.32    0.39    0.00  -10.93 1.743E-01

  10.589 31.875  9.90    0.67   -5.87    0.36    0.00   -5.51  0.954
   3.099  0.704  5.04    0.71  -11.21    0.38    0.00  -10.83 1.783E-01

  10.589 31.875  9.87    0.68   -5.78    0.36    0.00   -5.42  0.947
   3.091  0.702  5.08    0.71  -11.10    0.38    0.00  -10.72 1.824E-01

  10.589 31.875  9.85    0.68   -5.70    0.36    0.00   -5.33  0.941
   3.083  0.699  5.12    0.72  -11.00    0.38    0.00  -10.62 1.865E-01

  10.589 31.875  9.82    0.69   -5.61    0.36    0.00   -5.25  0.935
   3.075  0.696  5.16    0.72  -10.89    0.38    0.00  -10.51 1.907E-01

  10.589 31.875  9.79    0.69   -5.51    0.36    0.00   -5.16  0.929
   3.067  0.694  5.20    0.72  -10.78    0.38    0.00  -10.40 1.949E-01

  10.589 31.875  9.77    0.70   -5.43    0.36    0.00   -5.07  0.923
