EXTERNAL/TSAI:  VERSION OF 8/8/96

Marathon                                                                
He3_kin7_1st                                                            
                                                                        
Hall A 2018: 25 cm He3 target                                           
Nominal values - not exact                                              

----*----1----*----2----*----3----*----4----*----5----*----6----*----7--
                                                                        

TARGET (iZ,iA) = (  2,  3);   avgA =   3.000; amuM=  3.016; avgM=  2.809
 targ=TRITIUM; ttarg(rl)=0.00075; twall=0.00519; tbeam=0.00285; tspec=0.00759
         Nseg  =   4
 MODELS: P elastc(ikk)=14; deut elastic=13; inelastc=206; Pauli Supresion= 4
 NUCLEAR METHOD= 1;   NUCLEAR_MODEL= 1
 DIS MODEL=111

    E1    TH    Q2 COS_K         SMR     NUC          INT-SMR
    EP     X    W2 QE-PK  INELA  Q-ELA  ELAST   TOTAL  MODEL

  10.589 23.826  5.82    1.19    2.68    0.55    0.00    3.24  0.834
   3.227  0.422  8.87    1.26   -1.05    0.58    0.00   -0.47 3.099E+00

  10.589 23.826  5.81    1.20    2.77    0.56    0.00    3.33  0.834
   3.219  0.420  8.90    1.27   -0.95    0.59    0.00   -0.36 3.120E+00

  10.589 23.826  5.80    1.21    2.84    0.56    0.00    3.41  0.834
   3.211  0.419  8.93    1.28   -0.86    0.60    0.00   -0.26 3.141E+00

  10.589 23.826  5.78    1.22    2.92    0.57    0.00    3.49  0.834
   3.203  0.417  8.96    1.30   -0.76    0.60    0.00   -0.15 3.162E+00

  10.589 23.826  5.77    1.23    3.00    0.58    0.00    3.58  0.834
   3.195  0.416  8.99    1.31   -0.67    0.61    0.00   -0.05 3.183E+00

  10.589 23.826  5.75    1.25    3.08    0.58    0.00    3.66  0.835
   3.187  0.414  9.02    1.32   -0.57    0.62    0.00    0.05 3.204E+00

  10.589 23.826  5.74    1.26    3.15    0.59    0.00    3.74  0.835
   3.179  0.413  9.05    1.34   -0.48    0.63    0.00    0.15 3.225E+00

  10.589 23.826  5.72    1.27    3.23    0.60    0.00    3.83  0.835
   3.171  0.411  9.08    1.35   -0.38    0.64    0.00    0.26 3.246E+00

  10.589 23.826  5.71    1.28    3.31    0.61    0.00    3.92  0.835
   3.163  0.410  9.11    1.36   -0.28    0.64    0.00    0.36 3.267E+00

  10.589 23.826  5.69    1.29    3.39    0.61    0.00    4.01  0.835
   3.155  0.408  9.14    1.38   -0.18    0.65    0.00    0.47 3.288E+00

  10.589 23.826  5.68    1.31    3.47    0.62    0.00    4.10  0.835
   3.147  0.407  9.17    1.39   -0.08    0.66    0.00    0.58 3.309E+00

  10.589 23.826  5.67    1.32    3.56    0.63    0.00    4.19  0.836
   3.139  0.405  9.20    1.40    0.02    0.67    0.00    0.69 3.330E+00

  10.589 23.826  5.65    1.33    3.65    0.64    0.00    4.29  0.836
   3.131  0.404  9.22    1.42    0.13    0.68    0.00    0.81 3.352E+00

  10.589 23.826  5.64    1.35    3.73    0.65    0.00    4.38  0.836
   3.123  0.402  9.25    1.43    0.23    0.69    0.00    0.92 3.373E+00

  10.589 23.826  5.62    1.36    3.79    0.65    0.00    4.45  0.836
   3.115  0.401  9.28    1.45    0.31    0.69    0.00    1.01 3.394E+00

  10.589 23.826  5.61    1.37    3.88    0.66    0.00    4.54  0.836
   3.107  0.399  9.31    1.46    0.41    0.70    0.00    1.12 3.416E+00

  10.589 23.826  5.59    1.39    3.96    0.67    0.00    4.63  0.836
   3.099  0.398  9.34    1.48    0.52    0.71    0.00    1.23 3.437E+00

  10.589 23.826  5.58    1.40    4.04    0.68    0.00    4.73  0.836
   3.091  0.396  9.37    1.49    0.62    0.72    0.00    1.34 3.458E+00

  10.589 23.826  5.56    1.41    4.12    0.69    0.00    4.81  0.837
   3.083  0.395  9.40    1.51    0.71    0.73    0.00    1.45 3.480E+00

  10.589 23.826  5.55    1.43    4.20    0.70    0.00    4.90  0.837
   3.075  0.394  9.43    1.52    0.81    0.74    0.00    1.56 3.501E+00

  10.589 23.826  5.54    1.44    4.30    0.71    0.00    5.01  0.837
   3.067  0.392  9.46    1.54    0.93    0.75    0.00    1.68 3.523E+00

  10.589 23.826  5.52    1.46    4.38    0.72    0.00    5.10  0.837
   3.059  0.391  9.49    1.55    1.03    0.76    0.00    1.79 3.544E+00

  10.589 23.826  5.51    1.47    4.46    0.72    0.00    5.19  0.834
   3.051  0.389  9.52    1.57    1.13    0.77    0.00    1.90 3.566E+00

  10.589 23.826  5.49    1.49    4.54    0.73    0.00    5.28  0.837
   3.043  0.388  9.55    1.59    1.23    0.78    0.00    2.01 3.588E+00

  10.589 23.826  5.48    1.50    4.62    0.74    0.00    5.37  0.837
   3.035  0.386  9.58    1.60    1.32    0.79    0.00    2.12 3.609E+00

  10.589 23.826  5.46    1.52    4.70    0.75    0.00    5.45  0.838
