 ***x   Q2   Theta   Eprime   Sig_Born   Sig_Rad   Rad_cor
  0.661560833       9.13961697       29.9724998       3.22700000      0.193673164      0.175365165      0.90546959638595581     
  0.659204364       9.11695862       29.9724998       3.21900010      0.197346002      0.178898692      0.90652298927307129     
  0.656853020       9.09430027       29.9724998       3.21099997      0.201061696      0.182478845      0.90757638216018677     
  0.654506922       9.07164383       29.9724998       3.20300007      0.204820126      0.186105132      0.90862715244293213     
  0.652165651       9.04898453       29.9724998       3.19499993      0.208621591      0.189816475      0.90986013412475586     
  0.649829686       9.02632713       29.9724998       3.18700004      0.212465912      0.193495974      0.91071540117263794     
  0.647498667       9.00366879       29.9724998       3.17899990      0.216353372      0.197261393      0.91175556182861328     
  0.645172715       8.98101139       29.9724998       3.17100000      0.220283851      0.201072082      0.91278630495071411     
  0.642851770       8.95835400       29.9724998       3.16300011      0.224257499      0.204934523      0.91383576393127441     
  0.640535712       8.93569565       29.9724998       3.15499997      0.228274405      0.208845884      0.91488963365554810     
  0.638224721       8.91303730       29.9724998       3.14700007      0.232334584      0.212800533      0.91592276096343994     
  0.635918677       8.89037991       29.9724998       3.13899994      0.236438155      0.216810063      0.91698426008224487     
  0.633617699       8.86772251       29.9724998       3.13100004      0.240584925      0.220885813      0.91811990737915039     
  0.631321490       8.84506416       29.9724998       3.12299991      0.244775236      0.224983752      0.91914427280426025     
  0.629030168       8.82240582       29.9724998       3.11500001      0.249008849      0.229125917      0.92015171051025391     
  0.626743972       8.79974937       29.9724998       3.10700011      0.253285915      0.233323619      0.92118668556213379     
  0.624462485       8.77709103       29.9724998       3.09899998      0.257606596      0.237580121      0.92225944995880127     
  0.622185826       8.75443268       29.9724998       3.09100008      0.261970669      0.241889685      0.92334645986557007     
  0.619914114       8.73177433       29.9724998       3.08299994      0.266378433      0.246223703      0.92433798313140869     
  0.617647290       8.70911789       29.9724998       3.07500005      0.270829618      0.250624865      0.92539680004119873     
  0.615385115       8.68645859       29.9724998       3.06699991      0.275324494      0.255069226      0.92643129825592041     
  0.613127887       8.66380119       29.9724998       3.05900002      0.279862851      0.259581536      0.92753124237060547     
  0.610875428       8.64114380       29.9724998       3.05100012      0.284444809      0.264135003      0.92859840393066406     
  0.608627677       8.61848545       29.9724998       3.04299998      0.289070517      0.268738836      0.92966532707214355     
  0.606384814       8.59582806       29.9724998       3.03500009      0.293739706      0.273382097      0.93069505691528320     
  0.604146600       8.57316971       29.9724998       3.02699995      0.298452675      0.278098792      0.93180197477340698     
  0.601913154       8.55051231       29.9724998       3.01900005      0.303209126      0.282862514      0.93289577960968018     
  0.599684298       8.52785397       29.9724998       3.01099992      0.308009326      0.287676275      0.93398559093475342     
  0.597460330       8.50519657       29.9724998       3.00300002      0.312853038      0.292540878      0.93507444858551025     
  0.595240891       8.48253822       29.9724998       2.99499989      0.317740500      0.297453105      0.93615108728408813     
  0.593026280       8.45988083       29.9724998       2.98699999      0.322671473      0.302423596      0.93724924325942993     
  0.590816319       8.43722343       29.9724998       2.97900009      0.327645987      0.307438672      0.93832576274871826     
  0.588610768       8.41456413       29.9724998       2.97099996      0.332664251      0.312507629      0.93940854072570801     
  0.586410105       8.39190674       29.9724998       2.96300006      0.337725937      0.317632526      0.94050377607345581     
  0.584213853       8.36924839       29.9724998       2.95499992      0.342831343      0.322827011      0.94164961576461792     
  0.665015876       9.18734932       30.0524998       3.22700000      0.186535507      0.168707147      0.90442377328872681     
  0.662647128       9.16457367       30.0524998       3.21900010      0.190121308      0.172128841      0.90536320209503174     
  0.660283566       9.14179707       30.0524998       3.21099997      0.193749756      0.175617144      0.90641218423843384     
  0.657925189       9.11902142       30.0524998       3.20300007      0.197420716      0.179152310      0.90746456384658813     
  0.655571699       9.09624386       30.0524998       3.19499993      0.201134473      0.182734936      0.90852123498916626     
  0.653223515       9.07346821       30.0524998       3.18700004      0.204890952      0.186398163      0.90974324941635132     
  0.650880277       9.05069160       30.0524998       3.17899990      0.208690360      0.190036222      0.91061329841613770     
  0.648542225       9.02791595       30.0524998       3.17100000      0.212532580      0.193757743      0.91166138648986816     
  0.646209180       9.00514030       30.0524998       3.16300011      0.216417775      0.197521046      0.91268402338027954     
  0.643881023       8.98236370       30.0524998       3.15499997      0.220346138      0.201336488      0.91372823715209961     
  0.641557992       8.95958710       30.0524998       3.14700007      0.224317417      0.205210820      0.91482341289520264     
  0.639239848       8.93681049       30.0524998       3.13899994      0.228332117      0.209113628      0.91583096981048584     
  0.636926770       8.91403484       30.0524998       3.13100004      0.232389823      0.213075265      0.91688722372055054     
  0.634618700       8.89125919       30.0524998       3.12299991      0.236490905      0.217104658      0.91802537441253662     
  0.632315397       8.86848259       30.0524998       3.11500001      0.240635157      0.221157148      0.91905587911605835     
  0.630017221       8.84570694       30.0524998       3.10700011      0.244822666      0.225245208      0.92003411054611206     
  0.627723813       8.82293034       30.0524998       3.09899998      0.249053836      0.229406312      0.92111134529113770     
  0.625435293       8.80015373       30.0524998       3.09100008      0.253328204      0.233611748      0.92217028141021729     
  0.623151660       8.77737713       30.0524998       3.08299994      0.257646114      0.237874150      0.92325919866561890     
  0.620873034       8.75460243       30.0524998       3.07500005      0.262007385      0.242166996      0.92427545785903931     
  0.618599057       8.73182487       30.0524998       3.06699991      0.266412258      0.246522456      0.92534202337265015     
  0.616330028       8.70904922       30.0524998       3.05900002      0.270860493      0.250914931      0.92636221647262573     
  0.614065826       8.68627357       30.0524998       3.05100012      0.275352269      0.255380660      0.92746889591217041     
