EXTERNAL/TSAI:  VERSION OF 8/8/96

Marathon                                                                
H3_kin9_1st                                                             
                                                                        
Hall A 2018: 25 cm Tritium target                                       
Nominal values - not exact                                              

----*----1----*----2----*----3----*----4----*----5----*----6----*----7--
                                                                        

TARGET (iZ,iA) = (  1,  3);   avgA =   3.000; amuM=  3.016; avgM=  2.809
 targ=TRITIUM; ttarg(rl)=0.00045; twall=0.00481; tbeam=0.00291; tspec=0.00759
         Nseg  =   4
 MODELS: P elastc(ikk)=14; deut elastic=13; inelastc=206; Pauli Supresion= 4
 NUCLEAR METHOD= 1;   NUCLEAR_MODEL= 1
 DIS MODEL=111

    E1    TH    Q2 COS_K         SMR     NUC          INT-SMR
    EP     X    W2 QE-PK  INELA  Q-ELA  ELAST   TOTAL  MODEL
   2.955  0.442  8.87    1.24   -1.33    0.57    0.00   -0.76 1.713E+00

  10.589 26.084  6.96    0.86   -0.52    0.36    0.00   -0.16  0.797
   3.227  0.504  7.73    0.90   -4.74    0.38    0.00   -4.37 1.212E+00

  10.589 26.084  6.94    0.87   -0.44    0.36    0.00   -0.08  0.797
   3.219  0.502  7.77    0.91   -4.65    0.38    0.00   -4.27 1.225E+00

  10.589 26.084  6.93    0.88   -0.36    0.36    0.00   -0.00  0.797
   3.211  0.500  7.80    0.92   -4.56    0.39    0.00   -4.17 1.237E+00

  10.589 26.084  6.91    0.88   -0.29    0.37    0.00    0.08  0.798
   3.203  0.498  7.83    0.93   -4.46    0.39    0.00   -4.07 1.250E+00

  10.589 26.084  6.89    0.89   -0.21    0.37    0.00    0.16  0.798
   3.195  0.497  7.86    0.94   -4.37    0.39    0.00   -3.97 1.263E+00

  10.589 26.084  6.87    0.90   -0.13    0.38    0.00    0.24  0.799
   3.187  0.495  7.90    0.94   -4.27    0.40    0.00   -3.87 1.276E+00

  10.589 26.084  6.86    0.91   -0.05    0.38    0.00    0.33  0.799
   3.179  0.493  7.93    0.95   -4.17    0.40    0.00   -3.77 1.288E+00

  10.589 26.084  6.84    0.91    0.03    0.38    0.00    0.42  0.800
   3.171  0.491  7.96    0.96   -4.07    0.41    0.00   -3.66 1.301E+00

  10.589 26.084  6.82    0.92    0.10    0.39    0.00    0.49  0.800
   3.163  0.490  7.99    0.97   -3.99    0.41    0.00   -3.58 1.314E+00

  10.589 26.084  6.81    0.93    0.18    0.39    0.00    0.57  0.801
   3.155  0.488  8.03    0.98   -3.89    0.42    0.00   -3.47 1.327E+00

  10.589 26.084  6.79    0.94    0.25    0.40    0.00    0.65  0.801
   3.147  0.486  8.06    0.99   -3.80    0.42    0.00   -3.38 1.340E+00

  10.589 26.084  6.77    0.95    0.33    0.40    0.00    0.73  0.802
   3.139  0.484  8.09    1.00   -3.71    0.42    0.00   -3.28 1.354E+00

  10.589 26.084  6.75    0.95    0.41    0.41    0.00    0.82  0.802
   3.131  0.483  8.12    1.00   -3.61    0.43    0.00   -3.18 1.367E+00

  10.589 26.084  6.74    0.96    0.49    0.41    0.00    0.90  0.803
