EXTERNAL/TSAI:  VERSION OF 8/8/96

Marathon                                                                
D2_kin5                                                                 
                                                                        
Hall A 2018: 25 cm Deuterium target                                     
Nominal values - not exact                                              

----*----1----*----2----*----3----*----4----*----5----*----6----*----7--
                                                                        

TARGET (iZ,iA) = (  1,  2);   avgA =   2.000; amuM=  2.013; avgM=  1.875
 targ=TRITIUM; ttarg(rl)=0.00114; twall=0.00445; tbeam=0.00298; tspec=0.00759
         Nseg  =   4
 MODELS: P elastc(ikk)=14; deut elastic=13; inelastc=206; Pauli Supresion= 4
 NUCLEAR METHOD= 1;   NUCLEAR_MODEL= 1
 DIS MODEL=111

    E1    TH    Q2 COS_K         SMR     NUC          INT-SMR
    EP     X    W2 QE-PK  INELA  Q-ELA  ELAST   TOTAL  MODEL

 Deut Elastic Model: ia,iamec,rsc,rscmec (1,2,3,4)=  3
 TJON DEUT ELASTIC FILESS TO BE OPEN=rscctj.tjon_input   rscqtj.tjon_input   rscmtj.tjon_input   
   2.955  0.302 10.87    2.27    6.56    1.50    0.02    8.08 4.425E+00

  10.589 21.527  4.77    1.47    5.74    0.89    0.01    6.63  0.959
   3.227  0.345  9.93    1.59    3.00    0.95    0.01    3.96 3.746E+00

  10.589 21.527  4.76    1.48    5.81    0.90    0.01    6.72  0.960
   3.219  0.344  9.96    1.61    3.09    0.97    0.01    4.07 3.763E+00

  10.589 21.527  4.74    1.50    5.89    0.91    0.01    6.81  0.959
   3.211  0.343  9.98    1.62    3.19    0.98    0.01    4.17 3.780E+00

  10.589 21.527  4.73    1.51    5.97    0.92    0.01    6.90  0.960
   3.203  0.341 10.01    1.64    3.29    0.99    0.01    4.29 3.797E+00

  10.589 21.527  4.72    1.53    6.05    0.93    0.01    6.99  0.961
   3.195  0.340 10.04    1.65    3.38    1.00    0.01    4.40 3.814E+00

  10.589 21.527  4.71    1.54    6.13    0.94    0.01    7.08  0.960
   3.187  0.339 10.06    1.67    3.48    1.02    0.01    4.51 3.831E+00

  10.589 21.527  4.70    1.56    6.21    0.95    0.01    7.18  0.960
   3.179  0.338 10.09    1.69    3.58    1.03    0.01    4.62 3.848E+00

  10.589 21.527  4.68    1.57    6.29    0.97    0.01    7.27  0.960
   3.171  0.337 10.12    1.70    3.68    1.04    0.01    4.73 3.865E+00

  10.589 21.527  4.67    1.59    6.37    0.98    0.01    7.36  0.962
   3.163  0.335 10.14    1.72    3.77    1.06    0.01    4.84 3.882E+00

  10.589 21.527  4.66    1.60    6.45    0.99    0.01    7.45  0.961
   3.155  0.334 10.17    1.74    3.87    1.07    0.01    4.95 3.900E+00

  10.589 21.527  4.65    1.62    6.53    1.00    0.01    7.55  0.961
   3.147  0.333 10.20    1.76    3.97    1.08    0.01    5.07 3.917E+00

  10.589 21.527  4.64    1.63    6.61    1.02    0.01    7.64  0.963
   3.139  0.332 10.22    1.77    4.07    1.10    0.01    5.18 3.934E+00

  10.589 21.527  4.63    1.65    6.69    1.03    0.01    7.73  0.962
   3.131  0.330 10.25    1.79    4.17    1.11    0.01    5.29 3.951E+00

  10.589 21.527  4.61    1.66    6.77    1.04    0.01    7.82  0.962
   3.123  0.329 10.28    1.81    4.27    1.12    0.01    5.40 3.968E+00

  10.589 21.527  4.60    1.68    6.85    1.04    0.01    7.90  0.947
   3.115  0.328 10.30    1.83    4.36    1.14    0.01    5.51 3.986E+00

  10.589 21.527  4.59    1.70    6.93    1.07    0.01    8.02  0.963
   3.107  0.327 10.33    1.85    4.47    1.15    0.01    5.63 4.003E+00

  10.589 21.527  4.58    1.71    7.01    1.08    0.01    8.11  0.964
   3.099  0.326 10.36    1.86    4.57    1.17    0.01    5.75 4.020E+00

  10.589 21.527  4.57    1.73    7.10    1.10    0.01    8.21  0.963
   3.091  0.325 10.38    1.88    4.67    1.18    0.01    5.86 4.038E+00

  10.589 21.527  4.55    1.75    7.18    1.11    0.01    8.30  0.963
   3.083  0.323 10.41    1.90    4.76    1.20    0.01    5.98 4.055E+00

  10.589 21.527  4.54    1.76    7.26    1.13    0.01    8.40  0.963
   3.075  0.322 10.44    1.92    4.86    1.21    0.01    6.09 4.072E+00

  10.589 21.527  4.53    1.78    7.34    1.14    0.01    8.49  0.964
   3.067  0.321 10.47    1.94    4.97    1.23    0.01    6.21 4.090E+00

  10.589 21.527  4.52    1.80    7.43    1.16    0.01    8.60  0.964
   3.059  0.320 10.49    1.96    5.07    1.25    0.01    6.33 4.107E+00

  10.589 21.527  4.51    1.82    7.51    1.17    0.01    8.69  0.965
   3.051  0.319 10.52    1.98    5.17    1.26    0.01    6.45 4.124E+00

  10.589 21.527  4.50    1.84    7.59    1.19    0.01    8.79  0.966
   3.043  0.317 10.55    2.00    5.27    1.28    0.01    6.56 4.142E+00

  10.589 21.527  4.48    1.85    7.67    1.20    0.01    8.89  0.964
   3.035  0.316 10.57    2.02    5.37    1.29    0.01    6.68 4.159E+00

  10.589 21.527  4.47    1.87    7.76    1.22    0.02    8.99  0.964
   3.027  0.315 10.60    2.04    5.48    1.31    0.02    6.80 4.177E+00

  10.589 21.527  4.46    1.89    7.84    1.23    0.02    9.09  0.966
   3.019  0.314 10.63    2.06    5.58    1.33    0.02    6.93 4.194E+00

  10.589 21.527  4.45    1.91    7.93    1.25    0.02    9.19  0.966
   3.011  0.313 10.65    2.09    5.68    1.35    0.02    7.05 4.212E+00

  10.589 21.527  4.44    1.93    8.01    1.27    0.02    9.29  0.965
   3.003  0.312 10.68    2.11    5.79    1.36    0.02    7.17 4.229E+00

  10.589 21.527  4.42    1.95    8.10    1.28    0.02    9.39  0.963
   2.995  0.310 10.71    2.13    5.89    1.38    0.02    7.29 4.247E+00

  10.589 21.527  4.41    1.97    8.18    1.30    0.02    9.50  0.966
   2.987  0.309 10.73    2.15    6.00    1.40    0.02    7.42 4.264E+00

