EXTERNAL/TSAI:  VERSION OF 8/8/96

Marathon                                                                
H3_kin5                                                                 
                                                                        
Hall A 2018: 25 cm Tritium target                                       
Nominal values - not exact                                              

----*----1----*----2----*----3----*----4----*----5----*----6----*----7--
                                                                        

TARGET (iZ,iA) = (  1,  3);   avgA =   3.000; amuM=  3.016; avgM=  2.809
 targ=TRITIUM; ttarg(rl)=0.00045; twall=0.00481; tbeam=0.00291; tspec=0.00759
         Nseg  =   4
 MODELS: P elastc(ikk)=14; deut elastic=13; inelastc=206; Pauli Supresion= 4
 NUCLEAR METHOD= 1;   NUCLEAR_MODEL= 1
 DIS MODEL=111

    E1    TH    Q2 COS_K         SMR     NUC          INT-SMR
    EP     X    W2 QE-PK  INELA  Q-ELA  ELAST   TOTAL  MODEL

   3.227  0.345  9.93    1.45    2.18    0.78    0.01    2.97 5.148E+00

  10.589 21.527  4.76    1.36    5.32    0.75    0.01    6.08  0.857
   3.219  0.344  9.96    1.46    2.27    0.79    0.01    3.07 5.173E+00

  10.589 21.527  4.74    1.37    5.40    0.76    0.01    6.16  0.858
   3.211  0.343  9.98    1.48    2.37    0.80    0.01    3.18 5.198E+00

  10.589 21.527  4.73    1.39    5.47    0.76    0.01    6.25  0.858
   3.203  0.341 10.01    1.49    2.46    0.81    0.01    3.28 5.224E+00

  10.589 21.527  4.72    1.40    5.55    0.77    0.01    6.33  0.859
   3.195  0.340 10.04    1.50    2.55    0.82    0.01    3.38 5.249E+00

  10.589 21.527  4.71    1.41    5.62    0.78    0.01    6.42  0.859
   3.187  0.339 10.06    1.52    2.64    0.83    0.01    3.48 5.274E+00

  10.589 21.527  4.70    1.42    5.70    0.79    0.01    6.51  0.859
   3.179  0.338 10.09    1.53    2.74    0.84    0.01    3.59 5.299E+00

  10.589 21.527  4.68    1.44    5.78    0.80    0.01    6.59  0.860
   3.171  0.337 10.12    1.54    2.83    0.85    0.01    3.69 5.324E+00

  10.589 21.527  4.67    1.45    5.85    0.81    0.01    6.68  0.860
   3.163  0.335 10.14    1.56    2.93    0.86    0.01    3.80 5.349E+00

  10.589 21.527  4.66    1.46    5.93    0.82    0.01    6.77  0.860
   3.155  0.334 10.17    1.57    3.02    0.87    0.01    3.91 5.375E+00

  10.589 21.527  4.65    1.48    6.01    0.83    0.01    6.85  0.861
   3.147  0.333 10.20    1.59    3.11    0.88    0.01    4.01 5.400E+00

  10.589 21.527  4.64    1.49    6.09    0.84    0.01    6.94  0.861
   3.139  0.332 10.22    1.60    3.21    0.89    0.01    4.12 5.425E+00

  10.589 21.527  4.63    1.50    6.17    0.85    0.01    7.04  0.862
   3.131  0.330 10.25    1.62    3.31    0.90    0.01    4.22 5.451E+00

  10.589 21.527  4.61    1.52    6.25    0.86    0.01    7.13  0.862
   3.123  0.329 10.28    1.63    3.41    0.92    0.01    4.34 5.476E+00

  10.589 21.527  4.60    1.53    6.33    0.88    0.01    7.22  0.862
   3.115  0.328 10.30    1.65    3.50    0.93    0.01    4.45 5.501E+00

  10.589 21.527  4.59    1.55    6.41    0.89    0.02    7.31  0.863
   3.107  0.327 10.33    1.67    3.60    0.94    0.02    4.56 5.527E+00

  10.589 21.527  4.58    1.56    6.49    0.90    0.02    7.41  0.863
   3.099  0.326 10.36    1.68    3.70    0.95    0.02    4.67 5.552E+00

  10.589 21.527  4.57    1.57    6.57    0.91    0.02    7.50  0.863
   3.091  0.325 10.38    1.70    3.80    0.96    0.02    4.78 5.578E+00

  10.589 21.527  4.55    1.59    6.65    0.92    0.02    7.59  0.864
   3.083  0.323 10.41    1.71    3.89    0.98    0.02    4.89 5.604E+00

  10.589 21.527  4.54    1.60    6.73    0.93    0.02    7.68  0.864
   3.075  0.322 10.44    1.73    3.99    0.99    0.02    5.00 5.629E+00

  10.589 21.527  4.53    1.62    6.81    0.94    0.02    7.77  0.864
   3.067  0.321 10.47    1.75    4.09    1.00    0.02    5.10 5.655E+00

  10.589 21.527  4.52    1.63    6.88    0.96    0.02    7.86  0.865
   3.059  0.320 10.49    1.76    4.18    1.01    0.02    5.21 5.681E+00

  10.589 21.527  4.51    1.65    6.96    0.97    0.02    7.95  0.865
   3.051  0.319 10.52    1.78    4.28    1.03    0.02    5.32 5.706E+00

  10.589 21.527  4.50    1.66    7.03    0.98    0.02    8.03  0.865
   3.043  0.317 10.55    1.80    4.36    1.04    0.02    5.42 5.732E+00

  10.589 21.527  4.48    1.68    7.12    0.99    0.02    8.13  0.866
   3.035  0.316 10.57    1.82    4.47    1.05    0.02    5.54 5.758E+00

  10.589 21.527  4.47    1.70    7.20    1.00    0.02    8.22  0.866
   3.027  0.315 10.60    1.83    4.57    1.07    0.02    5.65 5.784E+00

  10.589 21.527  4.46    1.71    7.28    1.02    0.02    8.32  0.866
   3.019  0.314 10.63    1.85    4.66    1.08    0.02    5.76 5.810E+00

  10.589 21.527  4.45    1.73    7.38    1.03    0.02    8.43  0.866
   3.011  0.313 10.65    1.87    4.78    1.09    0.02    5.89 5.836E+00

  10.589 21.527  4.44    1.74    7.44    1.04    0.02    8.51  0.867
   3.003  0.312 10.68    1.89    4.87    1.11    0.02    6.00 5.862E+00

  10.589 21.527  4.42    1.76    7.53    1.06    0.02    8.61  0.867
   2.995  0.310 10.71    1.91    4.97    1.12    0.02    6.11 5.888E+00

