EXTERNAL/TSAI:  VERSION OF 8/8/96

Marathon                                                                
H3_kin11_2nd                                                            
                                                                        
Hall A 2018: 25 cm Tritium target                                       
Nominal values - not exact                                              

----*----1----*----2----*----3----*----4----*----5----*----6----*----7--
                                                                        

TARGET (iZ,iA) = (  1,  3);   avgA =   3.000; amuM=  3.016; avgM=  2.809
 targ=TRITIUM; ttarg(rl)=0.00045; twall=0.00481; tbeam=0.00291; tspec=0.00759
         Nseg  =   4
 MODELS: P elastc(ikk)=14; deut elastic=13; inelastc=206; Pauli Supresion= 4
 NUCLEAR METHOD= 1;   NUCLEAR_MODEL= 1
 DIS MODEL=111

    E1    TH    Q2 COS_K         SMR     NUC          INT-SMR
    EP     X    W2 QE-PK  INELA  Q-ELA  ELAST   TOTAL  MODEL

  10.589 28.056  8.03    0.74   -2.85    0.30    0.00   -2.55  0.789
   3.227  0.581  6.66    0.77   -7.51    0.32    0.00   -7.19 5.728E-01

  10.589 28.056  8.01    0.75   -2.78    0.30    0.00   -2.48  0.788
   3.219  0.579  6.70    0.78   -7.42    0.32    0.00   -7.11 5.809E-01

  10.589 28.056  7.99    0.75   -2.70    0.30    0.00   -2.40  0.785
   3.211  0.577  6.73    0.79   -7.32    0.32    0.00   -7.01 5.892E-01

  10.589 28.056  7.97    0.76   -2.62    0.30    0.00   -2.32  0.788
   3.203  0.575  6.77    0.79   -7.23    0.32    0.00   -6.91 5.974E-01

  10.589 28.056  7.95    0.76   -2.54    0.31    0.00   -2.23  0.787
   3.195  0.573  6.80    0.80   -7.13    0.32    0.00   -6.81 6.058E-01

  10.589 28.056  7.93    0.77   -2.46    0.31    0.00   -2.15  0.787
   3.187  0.571  6.84    0.80   -7.04    0.33    0.00   -6.71 6.142E-01

  10.589 28.056  7.91    0.78   -2.39    0.31    0.00   -2.08  0.786
   3.179  0.569  6.87    0.81   -6.95    0.33    0.00   -6.62 6.227E-01

  10.589 28.056  7.89    0.78   -2.31    0.31    0.00   -2.00  0.786
   3.171  0.567  6.91    0.82   -6.85    0.33    0.00   -6.52 6.313E-01

  10.589 28.056  7.87    0.79   -2.23    0.31    0.00   -1.91  0.786
