EXTERNAL/TSAI:  VERSION OF 8/8/96

Marathon                                                                
He3_kin9_2nd                                                            
                                                                        
Hall A 2018: 25 cm He3 target                                           
Nominal values - not exact                                              

----*----1----*----2----*----3----*----4----*----5----*----6----*----7--
                                                                        

TARGET (iZ,iA) = (  2,  3);   avgA =   3.000; amuM=  3.016; avgM=  2.809
 targ=TRITIUM; ttarg(rl)=0.00075; twall=0.00519; tbeam=0.00285; tspec=0.00759
         Nseg  =   4
 MODELS: P elastc(ikk)=14; deut elastic=13; inelastc=206; Pauli Supresion= 4
 NUCLEAR METHOD= 1;   NUCLEAR_MODEL= 1
 DIS MODEL=111

    E1    TH    Q2 COS_K         SMR     NUC          INT-SMR
    EP     X    W2 QE-PK  INELA  Q-ELA  ELAST   TOTAL  MODEL

  10.589 26.014  6.92    0.93   -0.08    0.40    0.00    0.31  0.824
   3.227  0.501  7.77    0.98   -4.39    0.42    0.00   -3.97 1.529E+00

  10.589 26.014  6.91    0.94   -0.00    0.40    0.00    0.40  0.824
   3.219  0.499  7.80    0.99   -4.29    0.43    0.00   -3.86 1.544E+00

  10.589 26.014  6.89    0.95    0.08    0.40    0.00    0.48  0.824
   3.211  0.498  7.84    1.00   -4.19    0.43    0.00   -3.76 1.559E+00

  10.589 26.014  6.87    0.96    0.16    0.41    0.00    0.56  0.824
   3.203  0.496  7.87    1.01   -4.09    0.43    0.00   -3.66 1.574E+00

  10.589 26.014  6.86    0.97    0.23    0.41    0.00    0.65  0.823
   3.195  0.494  7.90    1.02   -4.00    0.44    0.00   -3.56 1.589E+00

  10.589 26.014  6.84    0.98    0.32    0.42    0.00    0.74  0.823
   3.187  0.492  7.93    1.03   -3.89    0.44    0.00   -3.44 1.604E+00

  10.589 26.014  6.82    0.99    0.41    0.42    0.00    0.83  0.824
   3.179  0.491  7.96    1.04   -3.79    0.45    0.00   -3.34 1.619E+00

  10.589 26.014  6.80    1.00    0.47    0.43    0.00    0.90  0.824
   3.171  0.489  8.00    1.05   -3.70    0.45    0.00   -3.25 1.634E+00

  10.589 26.014  6.79    1.01    0.55    0.43    0.00    0.98  0.823
