EXTERNAL/TSAI:  VERSION OF 8/8/96

Marathon                                                                
He3_kin11_2nd                                                           
                                                                        
Hall A 2018: 25 cm He3 target                                           
Nominal values - not exact                                              

----*----1----*----2----*----3----*----4----*----5----*----6----*----7--
                                                                        

TARGET (iZ,iA) = (  2,  3);   avgA =   3.000; amuM=  3.016; avgM=  2.809
 targ=TRITIUM; ttarg(rl)=0.00075; twall=0.00519; tbeam=0.00285; tspec=0.00759
         Nseg  =   4
 MODELS: P elastc(ikk)=14; deut elastic=13; inelastc=206; Pauli Supresion= 4
 NUCLEAR METHOD= 1;   NUCLEAR_MODEL= 1
 DIS MODEL=111

    E1    TH    Q2 COS_K         SMR     NUC          INT-SMR
    EP     X    W2 QE-PK  INELA  Q-ELA  ELAST   TOTAL  MODEL

  10.589 28.056  8.03    0.77   -2.59    0.32    0.00   -2.26  0.834
   3.227  0.581  6.66    0.81   -7.38    0.35    0.00   -7.03 7.223E-01

  10.589 28.056  8.01    0.78   -2.52    0.33    0.00   -2.19  0.833
   3.219  0.579  6.70    0.81   -7.29    0.35    0.00   -6.94 7.321E-01

  10.589 28.056  7.99    0.78   -2.43    0.33    0.00   -2.10  0.828
   3.211  0.577  6.73    0.82   -7.19    0.35    0.00   -6.84 7.420E-01

  10.589 28.056  7.97    0.79   -2.35    0.33    0.00   -2.02  0.831
   3.203  0.575  6.77    0.83   -7.09    0.35    0.00   -6.73 7.519E-01

  10.589 28.056  7.95    0.80   -2.27    0.33    0.00   -1.93  0.830
   3.195  0.573  6.80    0.83   -6.98    0.35    0.00   -6.63 7.620E-01

  10.589 28.056  7.93    0.80   -2.19    0.34    0.00   -1.85  0.829
   3.187  0.571  6.84    0.84   -6.89    0.36    0.00   -6.53 7.721E-01

  10.589 28.056  7.91    0.81   -2.11    0.34    0.00   -1.77  0.828
   3.179  0.569  6.87    0.85   -6.79    0.36    0.00   -6.43 7.822E-01

  10.589 28.056  7.89    0.82   -2.03    0.34    0.00   -1.69  0.827
   3.171  0.567  6.91    0.86   -6.69    0.36    0.00   -6.33 7.925E-01

  10.589 28.056  7.87    0.83   -1.95    0.34    0.00   -1.60  0.826
   3.163  0.565  6.94    0.86   -6.59    0.37    0.00   -6.22 8.028E-01

  10.589 28.056  7.85    0.83   -1.87    0.35    0.00   -1.53  0.825
   3.155  0.563  6.98    0.87   -6.50    0.37    0.00   -6.13 8.132E-01

  10.589 28.056  7.83    0.84   -1.79    0.35    0.00   -1.44  0.825
   3.147  0.561  7.01    0.88   -6.39    0.37    0.00   -6.02 8.236E-01

  10.589 28.056  7.81    0.85   -1.70    0.35    0.00   -1.35  0.824
   3.139  0.559  7.05    0.89   -6.29    0.38    0.00   -5.92 8.342E-01

  10.589 28.056  7.79    0.86   -1.62    0.36    0.00   -1.27  0.823
   3.131  0.557  7.08    0.90   -6.20    0.38    0.00   -5.82 8.448E-01

  10.589 28.056  7.77    0.86   -1.55    0.36    0.00   -1.19  0.823
   3.123  0.555  7.12    0.91   -6.10    0.38    0.00   -5.72 8.554E-01

  10.589 28.056  7.75    0.87   -1.46    0.36    0.00   -1.10  0.822
   3.115  0.553  7.15    0.91   -6.00    0.39    0.00   -5.61 8.662E-01

  10.589 28.056  7.73    0.88   -1.38    0.37    0.00   -1.02  0.822
   3.107  0.551  7.19    0.92   -5.90    0.39    0.00   -5.51 8.770E-01

  10.589 28.056  7.71    0.89   -1.30    0.37    0.00   -0.93  0.821
   3.099  0.549  7.22    0.93   -5.80    0.39    0.00   -5.40 8.878E-01

  10.589 28.056  7.69    0.90   -1.22    0.37    0.00   -0.84  0.821
   3.091  0.547  7.26    0.94   -5.70    0.40    0.00   -5.30 8.988E-01

  10.589 28.056  7.67    0.91   -1.13    0.38    0.00   -0.75  0.821
   3.083  0.545  7.29    0.95   -5.59    0.40    0.00   -5.19 9.098E-01

  10.589 28.056  7.65    0.91   -1.04    0.38    0.00   -0.66  0.821
   3.075  0.543  7.33    0.96   -5.48    0.40    0.00   -5.08 9.209E-01

  10.589 28.056  7.63    0.92   -0.96    0.38    0.00   -0.57  0.820
   3.067  0.541  7.36    0.97   -5.38    0.41    0.00   -4.97 9.320E-01

  10.589 28.056  7.61    0.93   -0.88    0.39    0.00   -0.49  0.820
   3.059  0.539  7.40    0.98   -5.28    0.41    0.00   -4.87 9.432E-01

  10.589 28.056  7.59    0.94   -0.80    0.39    0.00   -0.40  0.820
   3.051  0.537  7.43    0.99   -5.18    0.42    0.00   -4.76 9.545E-01

  10.589 28.056  7.57    0.95   -0.71    0.40    0.00   -0.32  0.819
   3.043  0.535  7.47    1.00   -5.08    0.42    0.00   -4.66 9.659E-01

  10.589 28.056  7.55    0.96   -0.62    0.40    0.00   -0.22  0.819
   3.035  0.533  7.50    1.01   -4.97    0.43    0.00   -4.54 9.773E-01

  10.589 28.056  7.53    0.96   -0.55    0.41    0.00   -0.14  0.819
   3.027  0.531  7.54    1.01   -4.87    0.43    0.00   -4.44 9.888E-01

  10.589 28.056  7.51    0.98   -0.46    0.41    0.00   -0.05  0.819
   3.019  0.529  7.57    1.03   -4.77    0.43    0.00   -4.34 1.000E+00

  10.589 28.056  7.49    0.99   -0.38    0.41    0.00    0.04  0.818
   3.011  0.527  7.61    1.04   -4.67    0.44    0.00   -4.23 1.012E+00

  10.589 28.056  7.47    1.00   -0.29    0.42    0.00    0.13  0.818
   3.003  0.525  7.64    1.05   -4.57    0.44    0.00   -4.12 1.024E+00

  10.589 28.056  7.45    1.01   -0.21    0.42    0.00    0.22  0.818
   2.995  0.523  7.68    1.06   -4.46    0.45    0.00   -4.01 1.035E+00

  10.589 28.056  7.43    1.02   -0.12    0.43    0.00    0.31  0.818
   2.987  0.521  7.71    1.07   -4.35    0.45    0.00   -3.90 1.047E+00

  10.589 28.056  7.41    1.03   -0.04    0.43    0.00    0.40  0.818
   2.979  0.519  7.75    1.08   -4.25    0.46    0.00   -3.79 1.059E+00

  10.589 28.056  7.39    1.04    0.05    0.44    0.00    0.49  0.818
   2.971  0.517  7.78    1.09   -4.15    0.46    0.00   -3.68 1.071E+00

  10.589 28.056  7.37    1.05    0.14    0.44    0.00    0.58  0.818
   2.963  0.515  7.82    1.10   -4.04    0.47    0.00   -3.57 1.083E+00

  10.589 28.056  7.35    1.06    0.23    0.45    0.00    0.67  0.818
   2.955  0.513  7.85    1.11   -3.93    0.48    0.00   -3.46 1.095E+00

  10.589 28.136  8.08    0.76   -2.68    0.32    0.00   -2.36  0.835
   3.227  0.585  6.62    0.80   -7.49    0.34    0.00   -7.15 6.997E-01

  10.589 28.136  8.06    0.77   -2.60    0.33    0.00   -2.28  0.834
   3.219  0.582  6.65    0.81   -7.40    0.35    0.00   -7.05 7.094E-01

  10.589 28.136  8.04    0.78   -2.53    0.33    0.00   -2.20  0.833
   3.211  0.580  6.69    0.81   -7.31    0.35    0.00   -6.96 7.191E-01

  10.589 28.136  8.02    0.78   -2.45    0.33    0.00   -2.12  0.828
   3.203  0.578  6.72    0.82   -7.20    0.35    0.00   -6.85 7.289E-01

  10.589 28.136  8.00    0.79   -2.37    0.33    0.00   -2.03  0.831
   3.195  0.576  6.76    0.83   -7.10    0.35    0.00   -6.75 7.387E-01

  10.589 28.136  7.98    0.80   -2.28    0.33    0.00   -1.95  0.830
   3.187  0.574  6.79    0.84   -7.00    0.36    0.00   -6.65 7.487E-01

  10.589 28.136  7.96    0.81   -2.20    0.34    0.00   -1.87  0.829
   3.179  0.572  6.83    0.84   -6.90    0.36    0.00   -6.54 7.586E-01

  10.589 28.136  7.94    0.81   -2.12    0.34    0.00   -1.78  0.828
   3.171  0.570  6.87    0.85   -6.80    0.36    0.00   -6.44 7.687E-01

  10.589 28.136  7.92    0.82   -2.05    0.34    0.00   -1.70  0.827
   3.163  0.568  6.90    0.86   -6.71    0.36    0.00   -6.35 7.789E-01

  10.589 28.136  7.90    0.83   -1.96    0.35    0.00   -1.62  0.826
   3.155  0.566  6.94    0.87   -6.61    0.37    0.00   -6.24 7.891E-01

  10.589 28.136  7.88    0.83   -1.88    0.35    0.00   -1.53  0.825
   3.147  0.564  6.97    0.87   -6.51    0.37    0.00   -6.14 7.993E-01

  10.589 28.136  7.86    0.84   -1.80    0.35    0.00   -1.45  0.825
   3.139  0.562  7.01    0.88   -6.41    0.37    0.00   -6.04 8.097E-01

  10.589 28.136  7.84    0.85   -1.72    0.35    0.00   -1.36  0.824
   3.131  0.560  7.04    0.89   -6.31    0.38    0.00   -5.93 8.201E-01

  10.589 28.136  7.82    0.86   -1.64    0.36    0.00   -1.28  0.823
   3.123  0.558  7.08    0.90   -6.21    0.38    0.00   -5.83 8.306E-01

  10.589 28.136  7.80    0.87   -1.56    0.36    0.00   -1.20  0.823
   3.115  0.556  7.11    0.91   -6.11    0.38    0.00   -5.73 8.411E-01

  10.589 28.136  7.78    0.87   -1.48    0.36    0.00   -1.11  0.822
   3.107  0.554  7.15    0.92   -6.01    0.39    0.00   -5.62 8.518E-01

  10.589 28.136  7.76    0.88   -1.40    0.37    0.00   -1.03  0.822
   3.099  0.552  7.18    0.92   -5.91    0.39    0.00   -5.52 8.625E-01

  10.589 28.136  7.74    0.89   -1.31    0.37    0.00   -0.94  0.821
   3.091  0.550  7.22    0.93   -5.81    0.39    0.00   -5.42 8.732E-01

  10.589 28.136  7.72    0.90   -1.23    0.37    0.00   -0.86  0.821
   3.083  0.548  7.25    0.94   -5.71    0.40    0.00   -5.31 8.841E-01

  10.589 28.136  7.70    0.91   -1.14    0.38    0.00   -0.77  0.821
   3.075  0.546  7.29    0.95   -5.60    0.40    0.00   -5.20 8.950E-01

  10.589 28.136  7.68    0.92   -1.06    0.38    0.00   -0.68  0.820
   3.067  0.544  7.32    0.96   -5.50    0.40    0.00   -5.09 9.060E-01

  10.589 28.136  7.66    0.92   -0.97    0.39    0.00   -0.58  0.820
   3.059  0.542  7.36    0.97   -5.39    0.41    0.00   -4.98 9.170E-01

  10.589 28.136  7.64    0.93   -0.89    0.39    0.00   -0.50  0.820
   3.051  0.540  7.39    0.98   -5.29    0.41    0.00   -4.88 9.281E-01

  10.589 28.136  7.62    0.94   -0.81    0.39    0.00   -0.41  0.819
   3.043  0.538  7.43    0.99   -5.19    0.42    0.00   -4.78 9.393E-01

  10.589 28.136  7.60    0.95   -0.73    0.40    0.00   -0.33  0.819
   3.035  0.536  7.46    1.00   -5.09    0.42    0.00   -4.67 9.505E-01

  10.589 28.136  7.58    0.96   -0.63    0.40    0.00   -0.23  0.819
   3.027  0.534  7.50    1.01   -4.98    0.43    0.00   -4.55 9.618E-01

  10.589 28.136  7.56    0.97   -0.56    0.41    0.00   -0.15  0.819
   3.019  0.532  7.53    1.02   -4.89    0.43    0.00   -4.45 9.732E-01

  10.589 28.136  7.54    0.98   -0.47    0.41    0.00   -0.06  0.818
   3.011  0.530  7.57    1.03   -4.78    0.44    0.00   -4.34 9.847E-01

  10.589 28.136  7.52    0.99   -0.39    0.41    0.00    0.03  0.818
   3.003  0.528  7.60    1.04   -4.68    0.44    0.00   -4.24 9.962E-01

  10.589 28.136  7.50    1.00   -0.30    0.42    0.00    0.12  0.818
