EXTERNAL/TSAI:  VERSION OF 8/8/96

Marathon                                                                
H3_kin9_2nd                                                             
                                                                        
Hall A 2018: 25 cm Tritium target                                       
Nominal values - not exact                                              

----*----1----*----2----*----3----*----4----*----5----*----6----*----7--
                                                                        

TARGET (iZ,iA) = (  1,  3);   avgA =   3.000; amuM=  3.016; avgM=  2.809
 targ=TRITIUM; ttarg(rl)=0.00045; twall=0.00481; tbeam=0.00291; tspec=0.00759
         Nseg  =   4
 MODELS: P elastc(ikk)=14; deut elastic=13; inelastc=206; Pauli Supresion= 4
 NUCLEAR METHOD= 1;   NUCLEAR_MODEL= 1
 DIS MODEL=111

    E1    TH    Q2 COS_K         SMR     NUC          INT-SMR
    EP     X    W2 QE-PK  INELA  Q-ELA  ELAST   TOTAL  MODEL

  10.589 26.014  6.92    0.87   -0.44    0.36    0.00   -0.08  0.797
   3.227  0.501  7.77    0.91   -4.65    0.38    0.00   -4.26 1.243E+00

  10.589 26.014  6.91    0.87   -0.36    0.36    0.00    0.01  0.798
   3.219  0.499  7.80    0.92   -4.55    0.38    0.00   -4.16 1.255E+00

  10.589 26.014  6.89    0.88   -0.28    0.37    0.00    0.09  0.798
   3.211  0.498  7.84    0.93   -4.46    0.39    0.00   -4.07 1.268E+00

  10.589 26.014  6.87    0.89   -0.20    0.37    0.00    0.17  0.799
   3.203  0.496  7.87    0.93   -4.36    0.39    0.00   -3.97 1.281E+00

  10.589 26.014  6.86    0.90   -0.12    0.37    0.00    0.25  0.799
   3.195  0.494  7.90    0.94   -4.27    0.40    0.00   -3.87 1.294E+00

  10.589 26.014  6.84    0.90   -0.04    0.38    0.00    0.34  0.800
   3.187  0.492  7.93    0.95   -4.16    0.40    0.00   -3.76 1.307E+00

  10.589 26.014  6.82    0.91    0.04    0.38    0.00    0.43  0.800
   3.179  0.491  7.96    0.96   -4.06    0.41    0.00   -3.66 1.320E+00

  10.589 26.014  6.80    0.92    0.11    0.39    0.00    0.49  0.801
   3.171  0.489  8.00    0.97   -3.98    0.41    0.00   -3.57 1.333E+00

  10.589 26.014  6.79    0.93    0.18    0.39    0.00    0.58  0.801
   3.163  0.487  8.03    0.98   -3.89    0.41    0.00   -3.47 1.346E+00

  10.589 26.014  6.77    0.94    0.26    0.40    0.00    0.65  0.801
   3.155  0.485  8.06    0.98   -3.80    0.42    0.00   -3.38 1.359E+00

  10.589 26.014  6.75    0.94    0.33    0.40    0.00    0.73  0.802
   3.147  0.484  8.09    0.99   -3.70    0.42    0.00   -3.28 1.373E+00

  10.589 26.014  6.74    0.95    0.41    0.40    0.00    0.82  0.802
   3.139  0.482  8.13    1.00   -3.60    0.43    0.00   -3.17 1.386E+00

  10.589 26.014  6.72    0.96    0.49    0.41    0.00    0.90  0.803
   3.131  0.480  8.16    1.01   -3.51    0.43    0.00   -3.08 1.399E+00

  10.589 26.014  6.70    0.97    0.57    0.41    0.00    0.98  0.804
   3.123  0.478  8.19    1.02   -3.42    0.44    0.00   -2.98 1.413E+00

  10.589 26.014  6.68    0.98    0.65    0.42    0.00    1.07  0.804
   3.115  0.477  8.22    1.03   -3.32    0.44    0.00   -2.88 1.426E+00

  10.589 26.014  6.67    0.99    0.74    0.42    0.00    1.17  0.805
   3.107  0.475  8.25    1.04   -3.21    0.45    0.00   -2.76 1.440E+00

  10.589 26.014  6.65    0.99    0.82    0.43    0.00    1.25  0.805
   3.099  0.473  8.29    1.05   -3.11    0.45    0.00   -2.66 1.453E+00

  10.589 26.014  6.63    1.00    0.88    0.43    0.00    1.32  0.806
   3.091  0.471  8.32    1.06   -3.03    0.46    0.00   -2.57 1.467E+00

  10.589 26.014  6.62    1.01    0.96    0.44    0.00    1.40  0.808
   3.083  0.470  8.35    1.07   -2.93    0.47    0.00   -2.47 1.481E+00

  10.589 26.014  6.60    1.02    1.05    0.44    0.00    1.49  0.807
   3.075  0.468  8.38    1.08   -2.83    0.47    0.00   -2.36 1.494E+00

  10.589 26.014  6.58    1.03    1.12    0.45    0.00    1.57  0.808
   3.067  0.466  8.42    1.09   -2.74    0.48    0.00   -2.26 1.508E+00

  10.589 26.014  6.56    1.04    1.20    0.46    0.00    1.66  0.808
   3.059  0.465  8.45    1.10   -2.64    0.48    0.00   -2.16 1.522E+00

  10.589 26.014  6.55    1.05    1.28    0.46    0.00    1.75  0.809
   3.051  0.463  8.48    1.11   -2.54    0.49    0.00   -2.05 1.536E+00

  10.589 26.014  6.53    1.06    1.37    0.47    0.00    1.83  0.810
   3.043  0.461  8.51    1.12   -2.44    0.49    0.00   -1.95 1.550E+00

  10.589 26.014  6.51    1.07    1.45    0.47    0.00    1.92  0.810
   3.035  0.459  8.54    1.13   -2.35    0.50    0.00   -1.84 1.564E+00

  10.589 26.014  6.49    1.08    1.53    0.48    0.00    2.01  0.811
   3.027  0.458  8.58    1.14   -2.25    0.51    0.00   -1.74 1.578E+00

  10.589 26.014  6.48    1.09    1.61    0.48    0.00    2.09  0.812
   3.019  0.456  8.61    1.15   -2.15    0.51    0.00   -1.63 1.593E+00

  10.589 26.014  6.46    1.10    1.69    0.49    0.00    2.19  0.812
   3.011  0.454  8.64    1.16   -2.04    0.52    0.00   -1.52 1.607E+00

  10.589 26.014  6.44    1.11    1.78    0.50    0.00    2.27  0.811
   3.003  0.453  8.67    1.17   -1.95    0.52    0.00   -1.42 1.621E+00

  10.589 26.014  6.43    1.12    1.86    0.50    0.00    2.36  0.813
   2.995  0.451  8.70    1.18   -1.85    0.53    0.00   -1.31 1.635E+00

  10.589 26.014  6.41    1.13    1.94    0.51    0.00    2.45  0.814
   2.987  0.449  8.74    1.20   -1.75    0.54    0.00   -1.21 1.650E+00

  10.589 26.014  6.39    1.14    2.02    0.52    0.00    2.53  0.815
   2.979  0.448  8.77    1.21   -1.65    0.55    0.00   -1.10 1.664E+00

  10.589 26.014  6.37    1.15    2.09    0.52    0.00    2.62  0.816
   2.971  0.446  8.80    1.22   -1.56    0.55    0.00   -1.00 1.679E+00

  10.589 26.014  6.36    1.16    2.19    0.53    0.00    2.72  0.816
   2.963  0.444  8.83    1.23   -1.45    0.56    0.00   -0.88 1.693E+00

  10.589 26.014  6.34    1.17    2.27    0.54    0.00    2.81  0.817
   2.955  0.443  8.87    1.24   -1.35    0.57    0.00   -0.78 1.708E+00

  10.589 26.094  6.97    0.86   -0.53    0.36    0.00   -0.18  0.797
   3.227  0.504  7.73    0.90   -4.76    0.38    0.00   -4.38 1.208E+00

  10.589 26.094  6.95    0.87   -0.46    0.36    0.00   -0.10  0.797
   3.219  0.502  7.76    0.91   -4.67    0.38    0.00   -4.29 1.220E+00

  10.589 26.094  6.93    0.87   -0.38    0.36    0.00   -0.01  0.797
   3.211  0.501  7.79    0.92   -4.57    0.38    0.00   -4.18 1.233E+00

  10.589 26.094  6.91    0.88   -0.30    0.37    0.00    0.07  0.798
   3.203  0.499  7.83    0.93   -4.48    0.39    0.00   -4.09 1.246E+00

  10.589 26.094  6.90    0.89   -0.22    0.37    0.00    0.15  0.798
   3.195  0.497  7.86    0.94   -4.38    0.39    0.00   -3.99 1.258E+00

  10.589 26.094  6.88    0.90   -0.15    0.37    0.00    0.23  0.799
   3.187  0.495  7.89    0.94   -4.29    0.40    0.00   -3.89 1.271E+00

  10.589 26.094  6.86    0.90   -0.06    0.38    0.00    0.32  0.799
   3.179  0.494  7.92    0.95   -4.19    0.40    0.00   -3.79 1.284E+00

  10.589 26.094  6.85    0.91    0.02    0.38    0.00    0.40  0.800
   3.171  0.492  7.96    0.96   -4.08    0.41    0.00   -3.68 1.297E+00

  10.589 26.094  6.83    0.92    0.09    0.39    0.00    0.47  0.800
   3.163  0.490  7.99    0.97   -4.00    0.41    0.00   -3.59 1.310E+00

  10.589 26.094  6.81    0.93    0.17    0.39    0.00    0.56  0.801
   3.155  0.488  8.02    0.98   -3.90    0.41    0.00   -3.49 1.323E+00

  10.589 26.094  6.79    0.94    0.24    0.40    0.00    0.64  0.801
   3.147  0.486  8.05    0.99   -3.81    0.42    0.00   -3.39 1.336E+00

  10.589 26.094  6.78    0.95    0.32    0.40    0.00    0.72  0.801
   3.139  0.485  8.08    1.00   -3.72    0.42    0.00   -3.30 1.349E+00

  10.589 26.094  6.76    0.95    0.40    0.40    0.00    0.80  0.802
   3.131  0.483  8.12    1.00   -3.62    0.43    0.00   -3.19 1.362E+00

  10.589 26.094  6.74    0.96    0.47    0.41    0.00    0.88  0.803
   3.123  0.481  8.15    1.01   -3.53    0.43    0.00   -3.09 1.375E+00

  10.589 26.094  6.72    0.97    0.55    0.41    0.00    0.96  0.803
   3.115  0.479  8.18    1.02   -3.44    0.44    0.00   -3.00 1.389E+00

  10.589 26.094  6.71    0.98    0.63    0.42    0.00    1.05  0.804
   3.107  0.478  8.21    1.03   -3.34    0.44    0.00   -2.89 1.402E+00

  10.589 26.094  6.69    0.99    0.73    0.42    0.00    1.15  0.804
   3.099  0.476  8.25    1.04   -3.22    0.45    0.00   -2.77 1.415E+00

  10.589 26.094  6.67    1.00    0.80    0.43    0.00    1.23  0.805
   3.091  0.474  8.28    1.05   -3.13    0.45    0.00   -2.67 1.429E+00

  10.589 26.094  6.66    1.01    0.87    0.43    0.00    1.30  0.805
   3.083  0.472  8.31    1.06   -3.05    0.46    0.00   -2.59 1.442E+00

  10.589 26.094  6.64    1.01    0.95    0.44    0.00    1.39  0.807
   3.075  0.471  8.34    1.07   -2.95    0.47    0.00   -2.48 1.456E+00

  10.589 26.094  6.62    1.02    1.03    0.44    0.00    1.48  0.807
   3.067  0.469  8.38    1.08   -2.85    0.47    0.00   -2.38 1.470E+00

  10.589 26.094  6.60    1.03    1.11    0.45    0.00    1.56  0.807
   3.059  0.467  8.41    1.09   -2.76    0.48    0.00   -2.28 1.483E+00

  10.589 26.094  6.59    1.04    1.19    0.46    0.00    1.64  0.808
   3.051  0.466  8.44    1.10   -2.66    0.48    0.00   -2.18 1.497E+00

