EXTERNAL/TSAI:  VERSION OF 8/8/96

Marathon                                                                
He3_kin7_2nd                                                            
                                                                        
Hall A 2018: 25 cm He3 target                                           
Nominal values - not exact                                              

----*----1----*----2----*----3----*----4----*----5----*----6----*----7--
                                                                        

TARGET (iZ,iA) = (  2,  3);   avgA =   3.000; amuM=  3.016; avgM=  2.809
 targ=TRITIUM; ttarg(rl)=0.00075; twall=0.00519; tbeam=0.00285; tspec=0.00759
         Nseg  =   4
 MODELS: P elastc(ikk)=14; deut elastic=13; inelastc=206; Pauli Supresion= 4
 NUCLEAR METHOD= 1;   NUCLEAR_MODEL= 1
 DIS MODEL=111

    E1    TH    Q2 COS_K         SMR     NUC          INT-SMR
    EP     X    W2 QE-PK  INELA  Q-ELA  ELAST   TOTAL  MODEL
   3.227  0.425  8.83    1.25   -1.18    0.58    0.00   -0.60 3.020E+00

  10.589 23.911  5.85    1.19    2.65    0.55    0.00    3.20  0.834
   3.219  0.423  8.86    1.26   -1.09    0.58    0.00   -0.50 3.040E+00

  10.589 23.911  5.84    1.20    2.73    0.56    0.00    3.29  0.834
   3.211  0.422  8.89    1.27   -1.00    0.59    0.00   -0.40 3.061E+00

  10.589 23.911  5.82    1.21    2.81    0.56    0.00    3.38  0.834
   3.203  0.420  8.92    1.28   -0.89    0.60    0.00   -0.30 3.082E+00

  10.589 23.911  5.81    1.22    2.89    0.57    0.00    3.46  0.834
   3.195  0.419  8.95    1.30   -0.80    0.60    0.00   -0.19 3.102E+00

  10.589 23.911  5.79    1.23    2.97    0.58    0.00    3.55  0.834
   3.187  0.417  8.98    1.31   -0.70    0.61    0.00   -0.09 3.123E+00

  10.589 23.911  5.78    1.24    3.05    0.58    0.00    3.63  0.834
   3.179  0.416  9.01    1.32   -0.60    0.62    0.00    0.02 3.144E+00

  10.589 23.911  5.76    1.26    3.12    0.59    0.00    3.72  0.834
   3.171  0.414  9.04    1.33   -0.51    0.63    0.00    0.12 3.165E+00

  10.589 23.911  5.75    1.27    3.20    0.60    0.00    3.80  0.835
   3.163  0.413  9.07    1.35   -0.42    0.63    0.00    0.22 3.185E+00

  10.589 23.911  5.73    1.28    3.28    0.61    0.00    3.88  0.835
   3.155  0.411  9.10    1.36   -0.32    0.64    0.00    0.32 3.206E+00

  10.589 23.911  5.72    1.29    3.36    0.61    0.00    3.97  0.835
   3.147  0.410  9.13    1.38   -0.22    0.65    0.00    0.43 3.227E+00

  10.589 23.911  5.71    1.31    3.44    0.62    0.00    4.06  0.835
   3.139  0.408  9.16    1.39   -0.12    0.66    0.00    0.54 3.248E+00

  10.589 23.911  5.69    1.32    3.53    0.63    0.00    4.16  0.835
   3.131  0.407  9.18    1.40   -0.01    0.67    0.00    0.66 3.269E+00

  10.589 23.911  5.68    1.33    3.62    0.64    0.00    4.26  0.835
   3.123  0.405  9.21    1.42    0.10    0.68    0.00    0.78 3.290E+00

  10.589 23.911  5.66    1.35    3.70    0.64    0.00    4.35  0.836
   3.115  0.404  9.24    1.43    0.19    0.68    0.00    0.88 3.311E+00

  10.589 23.911  5.65    1.36    3.76    0.65    0.00    4.42  0.836
   3.107  0.402  9.27    1.45    0.28    0.69    0.00    0.97 3.332E+00

  10.589 23.911  5.63    1.37    3.85    0.66    0.00    4.51  0.836
   3.099  0.401  9.30    1.46    0.38    0.70    0.00    1.08 3.354E+00

  10.589 23.911  5.62    1.38    3.93    0.67    0.00    4.60  0.836
   3.091  0.399  9.33    1.47    0.48    0.71    0.00    1.19 3.375E+00

  10.589 23.911  5.60    1.40    4.01    0.68    0.00    4.69  0.836
   3.083  0.398  9.36    1.49    0.58    0.72    0.00    1.31 3.396E+00

  10.589 23.911  5.59    1.41    4.09    0.69    0.00    4.78  0.836
   3.075  0.396  9.39    1.51    0.68    0.73    0.00    1.41 3.417E+00

  10.589 23.911  5.57    1.43    4.17    0.70    0.00    4.87  0.836
   3.067  0.395  9.42    1.52    0.78    0.74    0.00    1.52 3.439E+00

  10.589 23.911  5.56    1.44    4.27    0.71    0.00    4.98  0.837
   3.059  0.393  9.45    1.54    0.90    0.75    0.00    1.65 3.460E+00

  10.589 23.911  5.55    1.46    4.35    0.71    0.00    5.07  0.837
   3.051  0.392  9.48    1.55    1.00    0.76    0.00    1.76 3.481E+00

  10.589 23.911  5.53    1.47    4.43    0.72    0.00    5.16  0.834
   3.043  0.391  9.51    1.57    1.10    0.77    0.00    1.87 3.503E+00

  10.589 23.911  5.52    1.49    4.51    0.73    0.00    5.25  0.834
   3.035  0.389  9.54    1.59    1.19    0.77    0.00    1.97 3.524E+00

  10.589 23.911  5.50    1.50    4.59    0.74    0.00    5.34  0.837
   3.027  0.388  9.57    1.60    1.29    0.79    0.00    2.09 3.546E+00

  10.589 23.911  5.49    1.52    4.67    0.75    0.00    5.43  0.837
   3.019  0.386  9.60    1.62    1.39    0.80    0.00    2.19 3.567E+00

  10.589 23.911  5.47    1.53    4.76    0.76    0.00    5.53  0.837
   3.011  0.385  9.63    1.64    1.50    0.81    0.00    2.31 3.589E+00

  10.589 23.911  5.46    1.55    4.84    0.77    0.00    5.62  0.838
   3.003  0.383  9.66    1.65    1.60    0.82    0.00    2.43 3.611E+00

  10.589 23.911  5.44    1.56    4.93    0.78    0.00    5.72  0.838
   2.995  0.382  9.69    1.67    1.71    0.83    0.00    2.54 3.632E+00

