EXTERNAL/TSAI:  VERSION OF 8/8/96

Marathon                                                                
He3_kin13_2nd                                                           
                                                                        
Hall A 2018: 25 cm He3 target                                           
Nominal values - not exact                                              

----*----1----*----2----*----3----*----4----*----5----*----6----*----7--
                                                                        

TARGET (iZ,iA) = (  2,  3);   avgA =   3.000; amuM=  3.016; avgM=  2.809
 targ=TRITIUM; ttarg(rl)=0.00075; twall=0.00519; tbeam=0.00285; tspec=0.00759
         Nseg  =   4
 MODELS: P elastc(ikk)=14; deut elastic=13; inelastc=206; Pauli Supresion= 4
 NUCLEAR METHOD= 1;   NUCLEAR_MODEL= 1
 DIS MODEL=111

    E1    TH    Q2 COS_K         SMR     NUC          INT-SMR
    EP     X    W2 QE-PK  INELA  Q-ELA  ELAST   TOTAL  MODEL
  10.589 29.972  8.37    0.89   -2.03    0.37    0.00   -1.66  0.823
   2.955  0.584  6.84    0.93   -6.62    0.39    0.00   -6.22 5.602E-01

  10.589 30.052  9.19    0.66   -5.04    0.32    0.00   -4.72  0.902
   3.227  0.665  5.51    0.70  -10.28    0.34    0.00   -9.94 3.070E-01

  10.589 30.052  9.16    0.67   -4.95    0.32    0.00   -4.63  0.898
   3.219  0.663  5.55    0.70  -10.18    0.34    0.00   -9.83 3.128E-01

  10.589 30.052  9.14    0.67   -4.87    0.32    0.00   -4.55  0.894
   3.211  0.660  5.58    0.70  -10.08    0.34    0.00   -9.74 3.187E-01

  10.589 30.052  9.12    0.68   -4.78    0.32    0.00   -4.46  0.890
   3.203  0.658  5.62    0.71   -9.97    0.34    0.00   -9.63 3.246E-01

  10.589 30.052  9.10    0.68   -4.70    0.32    0.00   -4.38  0.886
   3.195  0.656  5.66    0.71   -9.87    0.34    0.00   -9.53 3.307E-01

  10.589 30.052  9.07    0.69   -4.62    0.32    0.00   -4.29  0.883
   3.187  0.653  5.70    0.72   -9.77    0.34    0.00   -9.43 3.368E-01

  10.589 30.052  9.05    0.69   -4.53    0.32    0.00   -4.21  0.879
   3.179  0.651  5.73    0.73   -9.66    0.34    0.00   -9.32 3.429E-01

  10.589 30.052  9.03    0.70   -4.45    0.32    0.00   -4.12  0.876
   3.171  0.649  5.77    0.73   -9.56    0.34    0.00   -9.22 3.491E-01

  10.589 30.052  9.01    0.70   -4.36    0.32    0.00   -4.03  0.873
   3.163  0.646  5.81    0.74   -9.45    0.34    0.00   -9.11 3.554E-01

  10.589 30.052  8.98    0.71   -4.27    0.32    0.00   -3.95  0.870
   3.155  0.644  5.85    0.74   -9.35    0.34    0.00   -9.01 3.618E-01

  10.589 30.052  8.96    0.72   -4.19    0.32    0.00   -3.86  0.867
   3.147  0.642  5.89    0.75   -9.25    0.34    0.00   -8.90 3.683E-01

  10.589 30.052  8.94    0.72   -4.10    0.32    0.00   -3.78  0.864
   3.139  0.639  5.92    0.75   -9.14    0.34    0.00   -8.80 3.748E-01

  10.589 30.052  8.91    0.73   -4.02    0.33    0.00   -3.70  0.861
   3.131  0.637  5.96    0.76   -9.04    0.35    0.00   -8.70 3.813E-01

  10.589 30.052  8.89    0.73   -3.93    0.33    0.00   -3.61  0.858
   3.123  0.635  6.00    0.77   -8.94    0.35    0.00   -8.59 3.880E-01

  10.589 30.052  8.87    0.74   -3.84    0.33    0.00   -3.51  0.856
   3.115  0.632  6.04    0.77   -8.82    0.35    0.00   -8.47 3.947E-01

  10.589 30.052  8.85    0.75   -3.76    0.33    0.00   -3.43  0.853
   3.107  0.630  6.08    0.78   -8.73    0.35    0.00   -8.38 4.015E-01

  10.589 30.052  8.82    0.75   -3.68    0.33    0.00   -3.35  0.851
   3.099  0.628  6.11    0.79   -8.62    0.35    0.00   -8.27 4.083E-01

  10.589 30.052  8.80    0.76   -3.59    0.33    0.00   -3.26  0.849
   3.091  0.625  6.15    0.79   -8.52    0.35    0.00   -8.17 4.153E-01

  10.589 30.052  8.78    0.76   -3.51    0.33    0.00   -3.18  0.847
   3.083  0.623  6.19    0.80   -8.41    0.35    0.00   -8.06 4.223E-01

  10.589 30.052  8.75    0.77   -3.42    0.33    0.00   -3.08  0.845
   3.075  0.621  6.23    0.80   -8.31    0.35    0.00   -7.95 4.293E-01

  10.589 30.052  8.73    0.78   -3.34    0.34    0.00   -3.00  0.843
   3.067  0.619  6.26    0.81   -8.21    0.36    0.00   -7.85 4.365E-01

  10.589 30.052  8.71    0.78   -3.25    0.34    0.00   -2.91  0.841
   3.059  0.616  6.30    0.82   -8.10    0.36    0.00   -7.74 4.437E-01

  10.589 30.052  8.69    0.79   -3.16    0.34    0.00   -2.82  0.839
   3.051  0.614  6.34    0.83   -8.00    0.36    0.00   -7.64 4.509E-01

  10.589 30.052  8.66    0.80   -3.08    0.34    0.00   -2.74  0.838
   3.043  0.612  6.38    0.83   -7.89    0.36    0.00   -7.53 4.583E-01

  10.589 30.052  8.64    0.81   -2.99    0.34    0.00   -2.65  0.836
   3.035  0.610  6.42    0.84   -7.79    0.36    0.00   -7.43 4.657E-01

  10.589 30.052  8.62    0.81   -2.91    0.35    0.00   -2.56  0.834
   3.027  0.607  6.45    0.85   -7.68    0.37    0.00   -7.31 4.732E-01

  10.589 30.052  8.60    0.82   -2.82    0.35    0.00   -2.47  0.833
   3.019  0.605  6.49    0.86   -7.58    0.37    0.00   -7.21 4.807E-01

  10.589 30.052  8.57    0.83   -2.74    0.35    0.00   -2.38  0.832
   3.011  0.603  6.53    0.87   -7.47    0.37    0.00   -7.10 4.884E-01

  10.589 30.052  8.55    0.84   -2.63    0.35    0.00   -2.28  0.830
   3.003  0.601  6.57    0.87   -7.35    0.37    0.00   -6.98 4.960E-01

  10.589 30.052  8.53    0.84   -2.55    0.36    0.00   -2.19  0.829
   2.995  0.598  6.60    0.88   -7.25    0.38    0.00   -6.87 5.038E-01

  10.589 30.052  8.50    0.85   -2.47    0.36    0.00   -2.12  0.825
   2.987  0.596  6.64    0.89   -7.16    0.38    0.00   -6.78 5.116E-01

  10.589 30.052  8.48    0.86   -2.39    0.36    0.00   -2.03  0.827
   2.979  0.594  6.68    0.90   -7.05    0.38    0.00   -6.67 5.195E-01

  10.589 30.052  8.46    0.87   -2.30    0.36    0.00   -1.93  0.825
   2.971  0.592  6.72    0.91   -6.94    0.39    0.00   -6.55 5.275E-01

  10.589 30.052  8.44    0.88   -2.21    0.37    0.00   -1.84  0.824
   2.963  0.589  6.76    0.92   -6.83    0.39    0.00   -6.44 5.356E-01

  10.589 30.052  8.41    0.88   -2.12    0.37    0.00   -1.75  0.823
   2.955  0.587  6.79    0.93   -6.73    0.39    0.00   -6.33 5.437E-01

