EXTERNAL/TSAI:  VERSION OF 8/8/96

Marathon                                                                
H3_kin11_1st                                                            
                                                                        
Hall A 2018: 25 cm Tritium target                                       
Nominal values - not exact                                              

----*----1----*----2----*----3----*----4----*----5----*----6----*----7--
                                                                        

TARGET (iZ,iA) = (  1,  3);   avgA =   3.000; amuM=  3.016; avgM=  2.809
 targ=TRITIUM; ttarg(rl)=0.00045; twall=0.00481; tbeam=0.00291; tspec=0.00759
         Nseg  =   4
 MODELS: P elastc(ikk)=14; deut elastic=13; inelastc=206; Pauli Supresion= 4
 NUCLEAR METHOD= 1;   NUCLEAR_MODEL= 1
 DIS MODEL=111

    E1    TH    Q2 COS_K         SMR     NUC          INT-SMR
    EP     X    W2 QE-PK  INELA  Q-ELA  ELAST   TOTAL  MODEL

  10.589 28.049  8.03    0.74   -2.84    0.30    0.00   -2.55  0.789
   3.227  0.581  6.67    0.77   -7.51    0.32    0.00   -7.19 5.745E-01

  10.589 28.049  8.01    0.75   -2.77    0.30    0.00   -2.47  0.788
   3.219  0.579  6.70    0.78   -7.41    0.32    0.00   -7.10 5.826E-01

  10.589 28.049  7.99    0.75   -2.69    0.30    0.00   -2.39  0.785
   3.211  0.577  6.74    0.79   -7.31    0.32    0.00   -7.00 5.909E-01

  10.589 28.049  7.97    0.76   -2.61    0.30    0.00   -2.31  0.788
   3.203  0.575  6.77    0.79   -7.22    0.32    0.00   -6.90 5.992E-01

  10.589 28.049  7.95    0.76   -2.53    0.31    0.00   -2.22  0.787
   3.195  0.573  6.81    0.80   -7.12    0.32    0.00   -6.80 6.075E-01

  10.589 28.049  7.93    0.77   -2.45    0.31    0.00   -2.14  0.787
   3.187  0.571  6.84    0.81   -7.02    0.33    0.00   -6.70 6.160E-01

  10.589 28.049  7.91    0.78   -2.38    0.31    0.00   -2.07  0.786
   3.179  0.569  6.88    0.81   -6.94    0.33    0.00   -6.61 6.245E-01

  10.589 28.049  7.89    0.78   -2.30    0.31    0.00   -1.99  0.786
   3.171  0.567  6.91    0.82   -6.84    0.33    0.00   -6.51 6.331E-01

  10.589 28.049  7.87    0.79   -2.22    0.31    0.00   -1.90  0.786
   3.163  0.565  6.95    0.83   -6.74    0.33    0.00   -6.41 6.417E-01

  10.589 28.049  7.85    0.80   -2.15    0.32    0.00   -1.83  0.785
   3.155  0.563  6.98    0.83   -6.66    0.34    0.00   -6.32 6.504E-01

  10.589 28.049  7.83    0.80   -2.07    0.32    0.00   -1.75  0.785
   3.147  0.561  7.02    0.84   -6.56    0.34    0.00   -6.22 6.592E-01

  10.589 28.049  7.81    0.81   -1.99    0.32    0.00   -1.66  0.785
   3.139  0.558  7.05    0.85   -6.46    0.34    0.00   -6.12 6.680E-01

  10.589 28.049  7.79    0.81   -1.91    0.33    0.00   -1.58  0.785
   3.131  0.556  7.09    0.85   -6.36    0.34    0.00   -6.02 6.769E-01

  10.589 28.049  7.77    0.82   -1.83    0.33    0.00   -1.51  0.785
   3.123  0.554  7.12    0.86   -6.27    0.35    0.00   -5.92 6.859E-01

  10.589 28.049  7.75    0.83   -1.75    0.33    0.00   -1.42  0.785
   3.115  0.552  7.16    0.87   -6.17    0.35    0.00   -5.82 6.949E-01

  10.589 28.049  7.73    0.84   -1.68    0.33    0.00   -1.34  0.785
   3.107  0.550  7.19    0.88   -6.08    0.35    0.00   -5.72 7.040E-01

  10.589 28.049  7.71    0.84   -1.59    0.34    0.00   -1.26  0.785
   3.099  0.548  7.23    0.88   -5.98    0.36    0.00   -5.62 7.131E-01

  10.589 28.049  7.69    0.85   -1.51    0.34    0.00   -1.17  0.786
