EXTERNAL/TSAI:  VERSION OF 8/8/96

Marathon                                                                
D2_kin9_1st                                                             
                                                                        
Hall A 2018: 25 cm Deuterium target                                     
Nominal values - not exact                                              

----*----1----*----2----*----3----*----4----*----5----*----6----*----7--
                                                                        

TARGET (iZ,iA) = (  1,  2);   avgA =   2.000; amuM=  2.013; avgM=  1.875
 targ=TRITIUM; ttarg(rl)=0.00114; twall=0.00445; tbeam=0.00298; tspec=0.00759
         Nseg  =   4
 MODELS: P elastc(ikk)=14; deut elastic=13; inelastc=206; Pauli Supresion= 4
 NUCLEAR METHOD= 1;   NUCLEAR_MODEL= 1
 DIS MODEL=111

    E1    TH    Q2 COS_K         SMR     NUC          INT-SMR
    EP     X    W2 QE-PK  INELA  Q-ELA  ELAST   TOTAL  MODEL

 Deut Elastic Model: ia,iamec,rsc,rscmec (1,2,3,4)=  3
 TJON DEUT ELASTIC FILESS TO BE OPEN=rscctj.tjon_input   rscqtj.tjon_input   rscmtj.tjon_input   
   2.963  0.444  8.84    1.30   -0.74    0.68    0.00   -0.06 1.266E+00

  10.589 26.004  6.34    1.23    2.70    0.64    0.00    3.35  0.938
   2.955  0.442  8.87    1.31   -0.64    0.69    0.00    0.05 1.276E+00

  10.589 26.084  6.96    0.88   -0.16    0.42    0.00    0.26  0.922
   3.227  0.504  7.73    0.93   -4.15    0.45    0.00   -3.69 9.174E-01

  10.589 26.084  6.94    0.89   -0.08    0.43    0.00    0.34  0.925
   3.219  0.502  7.77    0.94   -4.05    0.46    0.00   -3.59 9.265E-01

  10.589 26.084  6.93    0.90   -0.00    0.43    0.00    0.43  0.924
   3.211  0.500  7.80    0.95   -3.95    0.46    0.00   -3.49 9.356E-01

  10.589 26.084  6.91    0.91    0.08    0.43    0.00    0.51  0.924
   3.203  0.498  7.83    0.96   -3.85    0.47    0.00   -3.38 9.447E-01

  10.589 26.084  6.89    0.91    0.15    0.44    0.00    0.59  0.925
   3.195  0.497  7.86    0.97   -3.76    0.47    0.00   -3.28 9.539E-01

  10.589 26.084  6.87    0.92    0.23    0.44    0.00    0.68  0.926
   3.187  0.495  7.90    0.98   -3.66    0.48    0.00   -3.18 9.631E-01

  10.589 26.084  6.86    0.93    0.32    0.45    0.00    0.77  0.926
   3.179  0.493  7.93    0.99   -3.56    0.48    0.00   -3.07 9.724E-01

  10.589 26.084  6.84    0.94    0.39    0.45    0.00    0.85  0.925
   3.171  0.491  7.96    1.00   -3.46    0.49    0.00   -2.97 9.817E-01

  10.589 26.084  6.82    0.95    0.48    0.46    0.00    0.94  0.926
   3.163  0.490  7.99    1.01   -3.36    0.49    0.00   -2.87 9.910E-01

  10.589 26.084  6.81    0.96    0.56    0.46    0.00    1.02  0.926
   3.155  0.488  8.03    1.02   -3.27    0.50    0.00   -2.76 1.000E+00

  10.589 26.084  6.79    0.97    0.63    0.47    0.00    1.10  0.927
   3.147  0.486  8.06    1.03   -3.17    0.51    0.00   -2.66 1.010E+00

  10.589 26.084  6.77    0.98    0.71    0.48    0.00    1.19  0.927
   3.139  0.484  8.09    1.04   -3.07    0.51    0.00   -2.56 1.019E+00

  10.589 26.084  6.75    0.99    0.80    0.48    0.00    1.28  0.927
   3.131  0.483  8.12    1.05   -2.97    0.52    0.00   -2.45 1.029E+00

  10.589 26.084  6.74    0.99    0.87    0.49    0.00    1.36  0.928
   3.123  0.481  8.15    1.06   -2.87    0.52    0.00   -2.35 1.038E+00

  10.589 26.084  6.72    1.00    0.95    0.49    0.00    1.44  0.928
   3.115  0.479  8.19    1.07   -2.78    0.53    0.00   -2.25 1.048E+00

  10.589 26.084  6.70    1.01    1.03    0.50    0.00    1.53  0.931
   3.107  0.477  8.22    1.08   -2.68    0.54    0.00   -2.14 1.057E+00

  10.589 26.084  6.68    1.02    1.11    0.50    0.00    1.62  0.930
   3.099  0.476  8.25    1.09   -2.58    0.54    0.00   -2.04 1.067E+00

  10.589 26.084  6.67    1.03    1.19    0.51    0.00    1.70  0.930
   3.091  0.474  8.28    1.10   -2.48    0.55    0.00   -1.93 1.077E+00

  10.589 26.084  6.65    1.04    1.27    0.52    0.00    1.79  0.931
   3.083  0.472  8.32    1.11   -2.38    0.56    0.00   -1.83 1.086E+00

  10.589 26.084  6.63    1.05    1.36    0.52    0.00    1.88  0.931
   3.075  0.470  8.35    1.12   -2.28    0.56    0.00   -1.72 1.096E+00

  10.589 26.084  6.62    1.06    1.44    0.53    0.00    1.97  0.931
   3.067  0.469  8.38    1.13   -2.18    0.57    0.00   -1.61 1.106E+00

  10.589 26.084  6.60    1.07    1.53    0.54    0.00    2.07  0.932
   3.059  0.467  8.41    1.14   -2.08    0.58    0.00   -1.50 1.116E+00

  10.589 26.084  6.58    1.08    1.60    0.54    0.00    2.15  0.932
   3.051  0.465  8.44    1.15   -1.98    0.58    0.00   -1.39 1.126E+00

  10.589 26.084  6.56    1.10    1.68    0.55    0.00    2.23  0.932
   3.043  0.464  8.48    1.17   -1.88    0.59    0.00   -1.29 1.135E+00

  10.589 26.084  6.55    1.11    1.76    0.56    0.00    2.32  0.933
   3.035  0.462  8.51    1.18   -1.79    0.60    0.00   -1.19 1.145E+00

  10.589 26.084  6.53    1.12    1.85    0.56    0.00    2.41  0.934
   3.027  0.460  8.54    1.19   -1.68    0.61    0.00   -1.07 1.155E+00

  10.589 26.084  6.51    1.13    1.93    0.57    0.00    2.51  0.934
   3.019  0.458  8.57    1.20   -1.58    0.61    0.00   -0.96 1.165E+00

  10.589 26.084  6.49    1.14    2.02    0.58    0.00    2.60  0.934
   3.011  0.457  8.61    1.21   -1.48    0.62    0.00   -0.85 1.175E+00

  10.589 26.084  6.48    1.15    2.10    0.59    0.00    2.69  0.935
   3.003  0.455  8.64    1.23   -1.37    0.63    0.00   -0.74 1.185E+00

  10.589 26.084  6.46    1.16    2.18    0.59    0.00    2.78  0.935
   2.995  0.453  8.67    1.24   -1.28    0.64    0.00   -0.63 1.196E+00

  10.589 26.084  6.44    1.17    2.27    0.60    0.00    2.88  0.937
   2.987  0.452  8.70    1.25   -1.16    0.65    0.00   -0.51 1.206E+00

  10.589 26.084  6.43    1.18    2.36    0.61    0.00    2.97  0.936
   2.979  0.450  8.74    1.26   -1.06    0.66    0.00   -0.40 1.216E+00

  10.589 26.084  6.41    1.20    2.43    0.62    0.00    3.05  0.937
   2.971  0.448  8.77    1.28   -0.97    0.66    0.00   -0.30 1.226E+00

  10.589 26.084  6.39    1.21    2.51    0.63    0.00    3.14  0.937
   2.963  0.447  8.80    1.29   -0.87    0.67    0.00   -0.19 1.236E+00

  10.589 26.084  6.37    1.22    2.60    0.63    0.00    3.24  0.937
   2.955  0.445  8.83    1.30   -0.76    0.68    0.00   -0.07 1.247E+00

  10.589 26.164  7.00    0.88   -0.26    0.42    0.00    0.16  0.922
   3.227  0.507  7.69    0.93   -4.26    0.45    0.00   -3.81 8.923E-01

  10.589 26.164  6.99    0.88   -0.18    0.42    0.00    0.24  0.923
   3.219  0.505  7.73    0.93   -4.17    0.45    0.00   -3.72 9.012E-01

  10.589 26.164  6.97    0.89   -0.10    0.43    0.00    0.32  0.923
   3.211  0.503  7.76    0.94   -4.07    0.46    0.00   -3.61 9.102E-01

  10.589 26.164  6.95    0.90   -0.02    0.43    0.00    0.41  0.923
   3.203  0.501  7.79    0.95   -3.97    0.46    0.00   -3.51 9.192E-01

  10.589 26.164  6.93    0.91    0.05    0.43    0.00    0.49  0.924
   3.195  0.500  7.82    0.96   -3.88    0.47    0.00   -3.41 9.283E-01

  10.589 26.164  6.92    0.92    0.14    0.44    0.00    0.58  0.924
   3.187  0.498  7.85    0.97   -3.78    0.47    0.00   -3.30 9.374E-01

  10.589 26.164  6.90    0.92    0.22    0.44    0.00    0.66  0.925
   3.179  0.496  7.89    0.98   -3.68    0.48    0.00   -3.20 9.465E-01

  10.589 26.164  6.88    0.93    0.30    0.45    0.00    0.75  0.925
   3.171  0.494  7.92    0.99   -3.58    0.48    0.00   -3.09 9.557E-01

  10.589 26.164  6.86    0.94    0.38    0.45    0.00    0.83  0.924
   3.163  0.493  7.95    1.00   -3.48    0.49    0.00   -2.99 9.649E-01

  10.589 26.164  6.85    0.95    0.45    0.46    0.00    0.92  0.926
   3.155  0.491  7.98    1.01   -3.39    0.49    0.00   -2.89 9.741E-01

  10.589 26.164  6.83    0.96    0.54    0.47    0.00    1.00  0.926
   3.147  0.489  8.02    1.02   -3.29    0.50    0.00   -2.78 9.834E-01

  10.589 26.164  6.81    0.97    0.62    0.47    0.00    1.09  0.926
   3.139  0.487  8.05    1.03   -3.18    0.51    0.00   -2.68 9.927E-01

  10.589 26.164  6.79    0.98    0.69    0.48    0.00    1.17  0.927
   3.131  0.485  8.08    1.04   -3.09    0.51    0.00   -2.58 1.002E+00

  10.589 26.164  6.78    0.99    0.78    0.48    0.00    1.26  0.927
   3.123  0.484  8.11    1.05   -2.99    0.52    0.00   -2.47 1.011E+00

  10.589 26.164  6.76    1.00    0.86    0.49    0.00    1.35  0.928
   3.115  0.482  8.15    1.06   -2.89    0.52    0.00   -2.37 1.021E+00

  10.589 26.164  6.74    1.01    0.93    0.49    0.00    1.43  0.928
   3.107  0.480  8.18    1.07   -2.80    0.53    0.00   -2.27 1.030E+00

  10.589 26.164  6.72    1.02    1.01    0.50    0.00    1.52  0.931
   3.099  0.478  8.21    1.08   -2.70    0.54    0.00   -2.16 1.040E+00

  10.589 26.164  6.71    1.02    1.09    0.51    0.00    1.60  0.930
   3.091  0.477  8.24    1.09   -2.60    0.54    0.00   -2.06 1.049E+00

  10.589 26.164  6.69    1.03    1.18    0.51    0.00    1.69  0.930
   3.083  0.475  8.28    1.10   -2.50    0.55    0.00   -1.95 1.059E+00

  10.589 26.164  6.67    1.04    1.26    0.52    0.00    1.78  0.930
   3.075  0.473  8.31    1.11   -2.40    0.56    0.00   -1.84 1.069E+00

  10.589 26.164  6.66    1.05    1.34    0.52    0.00    1.86  0.931
   3.067  0.472  8.34    1.12   -2.30    0.56    0.00   -1.74 1.078E+00

  10.589 26.164  6.64    1.06    1.43    0.53    0.00    1.96  0.931
   3.059  0.470  8.37    1.13   -2.20    0.57    0.00   -1.63 1.088E+00

  10.589 26.164  6.62    1.08    1.51    0.54    0.00    2.05  0.932
   3.051  0.468  8.41    1.14   -2.10    0.58    0.00   -1.52 1.098E+00

  10.589 26.164  6.60    1.09    1.59    0.54    0.00    2.13  0.932
   3.043  0.466  8.44    1.16   -2.00    0.58    0.00   -1.41 1.107E+00

  10.589 26.164  6.59    1.10    1.67    0.55    0.00    2.22  0.932
   3.035  0.465  8.47    1.17   -1.90    0.59    0.00   -1.31 1.117E+00

  10.589 26.164  6.57    1.11    1.74    0.56    0.00    2.30  0.933
   3.027  0.463  8.50    1.18   -1.81    0.60    0.00   -1.20 1.127E+00

  10.589 26.164  6.55    1.12    1.83    0.57    0.00    2.40  0.934
   3.019  0.461  8.53    1.19   -1.70    0.61    0.00   -1.09 1.137E+00

  10.589 26.164  6.53    1.13    1.92    0.57    0.00    2.49  0.933
   3.011  0.459  8.57    1.20   -1.60    0.61    0.00   -0.98 1.147E+00

  10.589 26.164  6.52    1.14    2.00    0.58    0.00    2.58  0.934
   3.003  0.458  8.60    1.22   -1.49    0.62    0.00   -0.87 1.157E+00

  10.589 26.164  6.50    1.15    2.08    0.59    0.00    2.67  0.934
   2.995  0.456  8.63    1.23   -1.39    0.63    0.00   -0.76 1.167E+00

  10.589 26.164  6.48    1.16    2.16    0.59    0.00    2.76  0.934
   2.987  0.454  8.66    1.24   -1.29    0.64    0.00   -0.65 1.177E+00

  10.589 26.164  6.46    1.17    2.25    0.60    0.00    2.86  0.936
   2.979  0.453  8.70    1.25   -1.18    0.65    0.00   -0.53 1.187E+00

  10.589 26.164  6.45    1.19    2.34    0.61    0.00    2.96  0.935
   2.971  0.451  8.73    1.27   -1.07    0.66    0.00   -0.42 1.197E+00

  10.589 26.164  6.43    1.19    2.42    0.62    0.00    3.04  0.936
   2.963  0.449  8.76    1.28   -0.98    0.67    0.00   -0.31 1.207E+00

  10.589 26.164  6.41    1.21    2.50    0.63    0.00    3.13  0.937
   2.955  0.448  8.79    1.29   -0.88    0.67    0.00   -0.21 1.217E+00

