EXTERNAL/TSAI:  VERSION OF 8/8/96

Marathon                                                                
D2_kin15                                                                
                                                                        
Hall A 2018: 25 cm Deuterium target                                     
Nominal values - not exact                                              

----*----1----*----2----*----3----*----4----*----5----*----6----*----7--
                                                                        

TARGET (iZ,iA) = (  1,  2);   avgA =   2.000; amuM=  2.013; avgM=  1.875
 targ=TRITIUM; ttarg(rl)=0.00114; twall=0.00445; tbeam=0.00298; tspec=0.00759
         Nseg  =   4
 MODELS: P elastc(ikk)=14; deut elastic=13; inelastc=206; Pauli Supresion= 4
 NUCLEAR METHOD= 1;   NUCLEAR_MODEL= 1
 DIS MODEL=111

    E1    TH    Q2 COS_K         SMR     NUC          INT-SMR
    EP     X    W2 QE-PK  INELA  Q-ELA  ELAST   TOTAL  MODEL

 Deut Elastic Model: ia,iamec,rsc,rscmec (1,2,3,4)=  3
 TJON DEUT ELASTIC FILESS TO BE OPEN=rscctj.tjon_input   rscqtj.tjon_input   rscmtj.tjon_input   
  10.589 31.795 10.26    0.62   -7.14    0.36    0.00   -6.78  0.943
   3.227  0.742  4.44    0.66  -12.47    0.39    0.00  -12.08 7.626E-02

  10.589 31.795 10.23    0.62   -7.05    0.36    0.00   -6.69  0.942
   3.219  0.740  4.48    0.66  -12.37    0.39    0.00  -11.98 7.823E-02

  10.589 31.795 10.20    0.62   -6.96    0.35    0.00   -6.61  0.939
   3.211  0.737  4.52    0.66  -12.26    0.38    0.00  -11.87 8.025E-02

  10.589 31.795 10.18    0.62   -6.87    0.35    0.00   -6.51  0.939
   3.203  0.734  4.56    0.66  -12.14    0.38    0.00  -11.76 8.229E-02

  10.589 31.795 10.15    0.62   -6.77    0.35    0.00   -6.42  0.935
   3.195  0.732  4.60    0.66  -12.03    0.38    0.00  -11.65 8.438E-02

  10.589 31.795 10.13    0.63   -6.69    0.35    0.00   -6.34  0.933
   3.187  0.729  4.64    0.66  -11.92    0.38    0.00  -11.54 8.649E-02

  10.589 31.795 10.10    0.63   -6.59    0.35    0.00   -6.25  0.932
   3.179  0.727  4.68    0.67  -11.81    0.38    0.00  -11.43 8.865E-02

  10.589 31.795 10.08    0.63   -6.51    0.35    0.00   -6.16  0.931
   3.171  0.724  4.72    0.67  -11.71    0.38    0.00  -11.33 9.084E-02

  10.589 31.795 10.05    0.63   -6.42    0.35    0.00   -6.07  0.929
   3.163  0.721  4.76    0.67  -11.59    0.37    0.00  -11.22 9.307E-02

  10.589 31.795 10.03    0.64   -6.33    0.34    0.00   -5.98  0.927
   3.155  0.719  4.80    0.67  -11.49    0.37    0.00  -11.11 9.533E-02

  10.589 31.795 10.00    0.64   -6.24    0.34    0.00   -5.89  0.926
   3.147  0.716  4.84    0.68  -11.38    0.37    0.00  -11.00 9.763E-02

  10.589 31.795  9.98    0.64   -6.15    0.34    0.00   -5.80  0.926
   3.139  0.714  4.88    0.68  -11.27    0.37    0.00  -10.89 9.996E-02

  10.589 31.795  9.95    0.65   -6.05    0.34    0.00   -5.71  0.924
   3.131  0.711  4.93    0.68  -11.15    0.37    0.00  -10.78 1.023E-01

  10.589 31.795  9.93    0.65   -5.97    0.34    0.00   -5.63  0.924
   3.123  0.708  4.97    0.69  -11.05    0.37    0.00  -10.68 1.047E-01

  10.589 31.795  9.90    0.65   -5.88    0.34    0.00   -5.53  0.922
   3.115  0.706  5.01    0.69  -10.94    0.37    0.00  -10.57 1.072E-01

  10.589 31.795  9.87    0.66   -5.78    0.34    0.00   -5.44  0.922
   3.107  0.703  5.05    0.69  -10.83    0.37    0.00  -10.46 1.097E-01

  10.589 31.795  9.85    0.66   -5.69    0.34    0.00   -5.35  0.920
   3.099  0.701  5.09    0.70  -10.72    0.37    0.00  -10.35 1.122E-01

  10.589 31.795  9.82    0.66   -5.61    0.34    0.00   -5.27  0.920
   3.091  0.698  5.13    0.70  -10.62    0.37    0.00  -10.25 1.148E-01

  10.589 31.795  9.80    0.67   -5.52    0.34    0.00   -5.18  0.919
   3.083  0.696  5.17    0.71  -10.51    0.37    0.00  -10.14 1.174E-01

  10.589 31.795  9.77    0.67   -5.43    0.34    0.00   -5.08  0.918
   3.075  0.693  5.21    0.71  -10.39    0.37    0.00  -10.02 1.200E-01

  10.589 31.795  9.75    0.68   -5.34    0.34    0.00   -5.00  0.916
   3.067  0.691  5.25    0.71  -10.29    0.37    0.00   -9.92 1.227E-01

  10.589 31.795  9.72    0.68   -5.25    0.34    0.00   -4.91  0.916
   3.059  0.688  5.29    0.72  -10.18    0.37    0.00   -9.81 1.254E-01

  10.589 31.795  9.70    0.69   -5.16    0.34    0.00   -4.82  0.916
   3.051  0.685  5.33    0.72  -10.07    0.37    0.00   -9.70 1.282E-01

  10.589 31.795  9.67    0.69   -5.07    0.35    0.00   -4.73  0.915
   3.043  0.683  5.37    0.73   -9.96    0.37    0.00   -9.59 1.310E-01

  10.589 31.795  9.65    0.70   -4.99    0.35    0.00   -4.64  0.914
   3.035  0.680  5.41    0.73   -9.86    0.37    0.00   -9.48 1.338E-01

  10.589 31.795  9.62    0.70   -4.89    0.35    0.00   -4.55  0.913
   3.027  0.678  5.45    0.74   -9.74    0.37    0.00   -9.37 1.367E-01

  10.589 31.795  9.59    0.71   -4.80    0.35    0.00   -4.45  0.913
   3.019  0.675  5.49    0.74   -9.63    0.38    0.00   -9.25 1.396E-01

  10.589 31.795  9.57    0.71   -4.72    0.35    0.00   -4.36  0.914
   3.011  0.673  5.53    0.75   -9.53    0.38    0.00   -9.15 1.425E-01

  10.589 31.795  9.54    0.72   -4.63    0.35    0.00   -4.28  0.912
   3.003  0.670  5.57    0.75   -9.42    0.38    0.00   -9.04 1.455E-01

  10.589 31.795  9.52    0.72   -4.54    0.35    0.00   -4.18  0.913
   2.995  0.668  5.61    0.76   -9.31    0.38    0.00   -8.93 1.486E-01

  10.589 31.795  9.49    0.73   -4.45    0.35    0.00   -4.09  0.911
   2.987  0.665  5.65    0.77   -9.20    0.38    0.00   -8.82 1.516E-01

  10.589 31.795  9.47    0.73   -4.33    0.36    0.00   -3.98  0.911
   2.979  0.663  5.69    0.77   -9.07    0.38    0.00   -8.69 1.548E-01

  10.589 31.795  9.44    0.74   -4.26    0.36    0.00   -3.91  0.912
