EXTERNAL/TSAI:  VERSION OF 8/8/96

Marathon                                                                
Carbon kin1                                                             
                                                                        
Hall A 2018: carbon target                                              
Nominal values - not exact                                              

----*----1----*----2----*----3----*----4----*----5----*----6----*----7--
                                                                        

TARGET (iZ,iA) = (  6, 12);   avgA =  12.000; amuM= 12.002; avgM= 11.180
 targ=ordinar; ttarg(rl)=0.00207; twall=0.00001; tbeam=0.00057; tspec=0.00832
         Nseg  =   4
 MODELS: P elastc(ikk)=14; deut elastic=13; inelastc=206; Pauli Supresion= 4
 NUCLEAR METHOD= 1;   NUCLEAR_MODEL= 1
 DIS MODEL= 1

    E1    TH    Q2 COS_K         SMR     NUC          INT-SMR
    EP     X    W2 QE-PK  INELA  Q-ELA  ELAST   TOTAL  MODEL

   2.976  0.188 12.49    4.05   14.60    2.65    0.10   17.35 8.810E+01

  10.590 16.872  2.71    3.77   14.60    2.50    0.09   17.19  0.777
   2.976  0.190 12.46    3.99   14.42    2.60    0.09   17.11 8.582E+01

  10.590 16.972  2.75    3.72   14.44    2.46    0.09   16.98  0.778
   2.976  0.192 12.42    3.93   14.24    2.56    0.09   16.88 8.360E+01

  10.590 17.072  2.78    3.66   14.28    2.42    0.08   16.78  0.779
   2.976  0.194 12.39    3.87   14.06    2.51    0.08   16.65 8.144E+01

  10.590 17.172  2.81    3.61   14.12    2.37    0.08   16.57  0.781
   2.976  0.197 12.36    3.81   13.88    2.47    0.08   16.42 7.934E+01

  10.590 17.272  2.84    3.56   13.97    2.33    0.07   16.38  0.782
   2.976  0.199 12.33    3.75   13.70    2.43    0.07   16.20 7.729E+01

  10.590 17.372  2.88    3.50   13.81    2.29    0.07   16.17  0.783
   2.976  0.201 12.29    3.70   13.52    2.38    0.07   15.97 7.530E+01

  10.590 17.472  2.91    3.45   13.68    2.25    0.06   16.00  0.784
   2.976  0.204 12.26    3.64   13.37    2.34    0.06   15.77 7.337E+01

  10.590 17.572  2.94    3.40   13.50    2.22    0.06   15.77  0.786
   2.976  0.206 12.23    3.59   13.17    2.30    0.06   15.53 7.149E+01

  10.590 17.672  2.97    3.35   13.35    2.18    0.05   15.58  0.787
   2.976  0.208 12.19    3.54   13.00    2.26    0.05   15.31 6.966E+01

  10.590 17.772  3.01    3.31   13.24    2.14    0.05   15.43  0.788
