                                           ************ internal ***************  +++++++ internal  + external ++++++++
    E        Ep      Th       s_born       s_rad        s_elas       s_dis        s_rad        s_elas       s_dis
   10.5890   2.9903  20.3732  0.80433E+01  0.88950E+01  0.33529E-02  0.87871E+01  0.87390E+01  0.33661E-02  0.86227E+01
   10.5890   3.0305  20.6935  0.72577E+01  0.79475E+01  0.22543E-02  0.78615E+01  0.77911E+01  0.22622E-02  0.76985E+01
   10.5890   3.0763  21.1230  0.63231E+01  0.68429E+01  0.13351E-02  0.67787E+01  0.66902E+01  0.13391E-02  0.66211E+01
   10.5890   3.0952  21.6801  0.53757E+01  0.57578E+01  0.77015E-03  0.57102E+01  0.56159E+01  0.77217E-03  0.55646E+01
   10.5890   3.0987  22.3140  0.44989E+01  0.47732E+01  0.43276E-03  0.47380E+01  0.46453E+01  0.43378E-03  0.46073E+01
   10.5890   3.1092  22.8780  0.38078E+01  0.40035E+01  0.24536E-03  0.39770E+01  0.38879E+01  0.24586E-03  0.38594E+01
   10.5890   3.1515  23.2166  0.33445E+01  0.34848E+01  0.14441E-03  0.34644E+01  0.33766E+01  0.14464E-03  0.33546E+01
   10.5890   3.1937  23.4658  0.30015E+01  0.31036E+01  0.90721E-04  0.30871E+01  0.30014E+01  0.90827E-04  0.29837E+01
