!iexp    x       qsq      rat     drat(frac)  norm(frac)
  1.  0.2370    2.098    0.8496    0.0288    0.0050
  1.  0.1870    1.880    0.8804    0.0288    0.0050
  1.  0.1440    1.644    0.8918    0.0308    0.0050
  1.  0.1080    1.388    0.9533    0.0308    0.0050
  1.  0.0770    1.114    0.9424    0.0317    0.0050
  1.  0.6410    4.153    0.7132    0.0218    0.0050
  1.  0.5790    4.042    0.7385    0.0308    0.0050
  1.  0.5530    3.992    0.7703    0.0873    0.0050
  1.  0.4710    3.804    0.7867    0.0278    0.0050
  1.  0.3980    3.594    0.7886    0.0268    0.0050
  1.  0.3320    3.357    0.7961    0.0288    0.0050
  1.  0.2730    3.092    0.8496    0.0288    0.0050
  1.  0.2240    2.819    0.8705    0.0308    0.0050
  1.  0.1790    2.509    0.8883    0.0317    0.0050
  1.  0.1420    2.189    0.9196    0.0317    0.0050
  1.  0.1080    1.834    0.9012    0.0308    0.0050
  1.  0.0840    1.542    0.9236    0.0337    0.0050
  1.  0.6950    5.185    0.6240    0.0526    0.0050
  1.  0.6000    4.979    0.7043    0.0377    0.0050
  1.  0.5320    4.801    0.7385    0.0278    0.0050
  1.  0.4540    4.553    0.7624    0.0298    0.0050
  1.  0.3870    4.294    0.8134    0.0308    0.0050
  1.  0.3280    4.014    0.8248    0.0268    0.0050
  1.  0.2740    3.699    0.8363    0.0317    0.0050
  1.  0.2270    3.373    0.8784    0.0317    0.0050
  1.  0.1850    3.013    0.8432    0.0327    0.0050
  1.  0.1470    2.631    0.9017    0.0337    0.0050
  1.  0.1200    2.305    0.9082    0.0337    0.0050
  1.  0.0960    1.968    0.9206    0.0357    0.0050
  1.  0.7460    6.880    0.6577    0.0754    0.0050
  1.  0.6920    6.734    0.6557    0.0466    0.0050
  1.  0.6620    6.647    0.6721    0.2738    0.0050
  1.  0.5990    6.441    0.7182    0.0387    0.0050
  1.  0.5280    6.174    0.7574    0.0357    0.0050
  1.  0.4650    5.894    0.7504    0.0317    0.0050
  1.  0.4040    5.569    0.8000    0.0317    0.0050
  1.  0.3470    5.215    0.8363    0.0308    0.0050
  1.  0.2970    4.845    0.8620    0.0308    0.0050
  1.  0.2510    4.446    0.8655    0.0337    0.0050
  1.  0.2080    4.003    0.8978    0.0327    0.0050
  1.  0.1780    3.649    0.8948    0.0337    0.0050
  1.  0.1500    3.265    0.9181    0.0347    0.0050
  1.  0.1220    2.851    0.9335    0.0347    0.0050
  1.  0.0990    2.438    0.8492    0.0367    0.0050
  1.  0.0770    2.009    0.8893    0.0407    0.0050
  1.  0.7690    8.082    0.7132    0.0565    0.0050
  1.  0.7140    7.906    0.7504    0.0407    0.0050
  1.  0.6450    7.656    0.7202    0.0298    0.0050
  1.  0.5710    7.348    0.7232    0.0288    0.0050
  1.  0.5080    7.037    0.7371    0.0288    0.0050
