    x       xi       Q2       W2      Ratio       Stat	        Sys        Iso
 0.6250   0.5717   3.3730   2.9042  0.9351E+00  0.8561E-02  0.9822E-02  0.8982E+00
 0.6500   0.5917   3.4390   2.7321  0.9312E+00  0.6275E-02  0.9832E-02  0.8944E+00
 0.6750   0.6115   3.5024   2.5667  0.9420E+00  0.6665E-02  0.9997E-02  0.8906E+00
 0.7000   0.6311   3.5634   2.4075  0.9440E+00  0.9810E-02  0.1007E-01  0.8868E+00
 0.7250   0.6504   3.6222   2.2543  0.9477E+00  0.7246E-02  0.1016E-01  0.8828E+00
 0.7500   0.6695   3.6788   2.1066  0.9285E+00  0.1063E-01  0.1000E-01  0.8789E+00
 0.7750   0.6884   3.7334   1.9643  0.9377E+00  0.8052E-02  0.1015E-01  0.8755E+00
 0.8000   0.7070   3.7861   1.8269  0.9494E+00  0.1227E-01  0.1033E-01  0.8732E+00
 0.8250   0.7254   3.8370   1.6943  0.9631E+00  0.1310E-01  0.1053E-01  0.8721E+00
 0.8500   0.7435   3.8861   1.5661  0.9763E+00  0.1001E-01  0.1073E-01  0.8723E+00
 0.8750   0.7615   3.9336   1.4423  0.9986E+00  0.7657E-02  0.1103E-01  0.8736E+00
 0.9000   0.7791   3.9795   1.3225  0.1066E+01  0.8444E-02  0.1183E-01  0.8761E+00
 0.9250   0.7966   4.0240   1.2066  0.1151E+01  0.1951E-01  0.1283E-01  0.8798E+00
