    x       xi       Q2       W2      Ratio       Stat	        Sys        Iso
 0.4500   0.4150   1.9506   3.2645  0.9823E+00  0.4718E-02  0.9946E-02  0.9233E+00
 0.4750   0.4352   1.9927   3.0828  0.9741E+00  0.8233E-02  0.9916E-02  0.9198E+00
 0.5000   0.4551   2.0320   2.9124  0.9579E+00  0.5797E-02  0.9802E-02  0.9163E+00
 0.5250   0.4747   2.0691   2.7524  0.9683E+00  0.5948E-02  0.9962E-02  0.9128E+00
 0.5500   0.4939   2.1039   2.6017  0.9712E+00  0.6124E-02  0.1004E-01  0.9092E+00
 0.5750   0.5127   2.1367   2.4597  0.9769E+00  0.8889E-02  0.1016E-01  0.9056E+00
 0.6000   0.5312   2.1677   2.3255  0.9611E+00  0.6374E-02  0.1004E-01  0.9019E+00
 0.6250   0.5494   2.1971   2.1986  0.9671E+00  0.9363E-02  0.1016E-01  0.8982E+00
 0.6500   0.5672   2.2249   2.0784  0.9666E+00  0.9645E-02  0.1021E-01  0.8944E+00
 0.6750   0.5847   2.2513   1.9643  0.9761E+00  0.6189E-02  0.1036E-01  0.8906E+00
 0.7000   0.6019   2.2763   1.8559  0.9721E+00  0.5397E-02  0.1037E-01  0.8868E+00
 0.7250   0.6188   2.3002   1.7528  0.9766E+00  0.8115E-02  0.1047E-01  0.8828E+00
 0.7500   0.6353   2.3229   1.6546  0.9457E+00  0.8021E-02  0.1019E-01  0.8789E+00
 0.7750   0.6515   2.3445   1.5610  0.9240E+00  0.8025E-02  0.1001E-01  0.8755E+00
 0.8250   0.6830   2.3849   1.3862  0.9481E+00  0.8382E-02  0.1037E-01  0.8721E+00
 0.8500   0.6982   2.4038   1.3046  0.1036E+01  0.9263E-02  0.1139E-01  0.8723E+00
 0.8750   0.7132   2.4219   1.2263  0.1163E+01  0.1044E-01  0.1285E-01  0.8736E+00
