    x       xi       Q2       W2      Ratio       Stat	        Sys        Iso
 0.3250   0.3151   2.8682   6.8374  0.9808E+00  0.6218E-02  0.9665E-02  0.9400E+00
 0.3500   0.3384   3.0456   6.5365  0.9766E+00  0.5874E-02  0.9676E-02  0.9367E+00
 0.3750   0.3616   3.2182   6.2440  0.9782E+00  0.5732E-02  0.9746E-02  0.9334E+00
 0.4000   0.3846   3.3860   5.9594  0.9668E+00  0.4566E-02  0.9684E-02  0.9301E+00
 0.4250   0.4075   3.5494   5.6824  0.9716E+00  0.5858E-02  0.9785E-02  0.9267E+00
 0.4500   0.4302   3.7084   5.4128  0.9704E+00  0.5461E-02  0.9825E-02  0.9233E+00
 0.4750   0.4528   3.8632   5.1502  0.9684E+00  0.4508E-02  0.9857E-02  0.9198E+00
 0.5000   0.4752   4.0141   4.8945  0.9632E+00  0.5916E-02  0.9857E-02  0.9163E+00
 0.5250   0.4975   4.1611   4.6452  0.9597E+00  0.5292E-02  0.9873E-02  0.9128E+00
 0.5500   0.5196   4.3044   4.4022  0.9645E+00  0.6400E-02  0.9975E-02  0.9092E+00
 0.5750   0.5416   4.4442   4.1652  0.9673E+00  0.5301E-02  0.1006E-01  0.9056E+00
 0.6000   0.5634   4.5805   3.9340  0.9657E+00  0.4364E-02  0.1009E-01  0.9019E+00
 0.6250   0.5850   4.7136   3.7085  0.9481E+00  0.6337E-02  0.9959E-02  0.8982E+00
 0.6500   0.6065   4.8434   3.4883  0.9623E+00  0.5424E-02  0.1016E-01  0.8944E+00
 0.6750   0.6279   4.9702   3.2734  0.9568E+00  0.5735E-02  0.1015E-01  0.8906E+00
 0.7000   0.6490   5.0940   3.0635  0.9469E+00  0.7349E-02  0.1010E-01  0.8868E+00
 0.7250   0.6701   5.2149   2.8584  0.9336E+00  0.5197E-02  0.1001E-01  0.8828E+00
 0.7500   0.6909   5.3331   2.6581  0.9379E+00  0.5806E-02  0.1011E-01  0.8789E+00
 0.7750   0.7116   5.4486   2.4622  0.9393E+00  0.7165E-02  0.1017E-01  0.8755E+00
 0.8000   0.7321   5.5615   2.2707  0.9381E+00  0.7709E-02  0.1021E-01  0.8732E+00
 0.8250   0.7525   5.6720   2.0835  0.9647E+00  0.8624E-02  0.1055E-01  0.8721E+00
 0.8500   0.7727   5.7800   1.9003  0.9926E+00  0.9882E-02  0.1091E-01  0.8723E+00
 0.8750   0.7927   5.8857   1.7212  0.1028E+01  0.1581E-01  0.1136E-01  0.8736E+00
 0.9000   0.8126   5.9891   1.5458  0.1068E+01  0.1252E-01  0.1185E-01  0.8761E+00
 0.9250   0.8324   6.0903   1.3742  0.1106E+01  0.1174E-01  0.1233E-01  0.8798E+00
 0.9500   0.8519   6.1894   1.2061  0.1160E+01  0.2413E-01  0.1300E-01  0.8846E+00
