    x       xi       Q2       W2      Ratio       Stat	        Sys        Iso
 0.5250   0.4836   2.6139   3.2453  0.9808E+00  0.8683E-02  0.1009E-01  0.9128E+00
 0.5500   0.5039   2.6697   3.0647  0.9745E+00  0.8789E-02  0.1008E-01  0.9092E+00
 0.5750   0.5240   2.7228   2.8929  0.9652E+00  0.6306E-02  0.1003E-01  0.9056E+00
 0.6000   0.5437   2.7734   2.7293  0.9644E+00  0.6510E-02  0.1008E-01  0.9019E+00
 0.6250   0.5632   2.8216   2.5733  0.9768E+00  0.6828E-02  0.1026E-01  0.8982E+00
 0.6500   0.5823   2.8676   2.4245  0.9750E+00  0.9967E-02  0.1029E-01  0.8944E+00
 0.6750   0.6012   2.9116   2.2822  0.9491E+00  0.7176E-02  0.1007E-01  0.8906E+00
 0.7000   0.6198   2.9537   2.1462  0.9468E+00  0.1057E-01  0.1010E-01  0.8868E+00
 0.7250   0.6382   2.9939   2.0160  0.9619E+00  0.1105E-01  0.1031E-01  0.8828E+00
 0.7500   0.6562   3.0325   1.8912  0.9546E+00  0.8281E-02  0.1029E-01  0.8789E+00
 0.7750   0.6740   3.0695   1.7715  0.9833E+00  0.6726E-02  0.1065E-01  0.8755E+00
 0.8000   0.6915   3.1050   1.6566  0.9774E+00  0.6872E-02  0.1064E-01  0.8732E+00
 0.8250   0.7088   3.1391   1.5462  0.9634E+00  0.6953E-02  0.1054E-01  0.8721E+00
 0.8500   0.7257   3.1719   1.4401  0.9906E+00  0.8458E-02  0.1089E-01  0.8723E+00
 0.9000   0.7589   3.2339   1.2397  0.1116E+01  0.9638E-02  0.1239E-01  0.8761E+00
