 ***x   Q2   Theta   Eprime   Sig_Born
  0.34999634325579709        3.2662512478496617        50.000000000000000       0.79290000000000005        3.0908070179281721     
  0.38328303008410058        3.5307150265253435        50.000000000000000       0.85709999999999997        2.5980999610141668     
  0.41664325282877313        3.7889997449515933        50.000000000000000       0.91979999999999995        2.1694507718885747     
  0.44993796976404027        4.0402815284284879        50.000000000000000       0.98080000000000001        1.8000334411160119     
  0.48324206524229057        4.2853842516559499        50.000000000000000        1.0403000000000000        1.4824402459508457     
  0.51663998595136995        4.5251317893339049        50.000000000000000        1.0985000000000000        1.2104501257191163     
  0.54992841653503011        4.7582883294124656        50.000000000000000        1.1551000000000000       0.98035074134715039     
  0.58325116100769170        4.9860896839415183        50.000000000000000        1.2103999999999999       0.78632722613325390     
  0.61664307750028402        5.2089477902710257        50.000000000000000        1.2645000000000000       0.62394265042737529     
  0.64995175563671959        5.4260387737010642        50.000000000000000        1.3171999999999999       0.48994982387477737     
  0.68327330375033901        5.6381865089315566        50.000000000000000        1.3687000000000000       0.38021220446984882     
  0.71664756878819613        5.8458029333124664        50.000000000000000        1.4191000000000000       0.29129638305267719     
  0.74991372024323433        6.0480641721438682        50.000000000000000        1.4681999999999999       0.22055455833245968     
  0.78324772716199997        6.2462060374756483        50.000000000000000        1.5163000000000000       0.16489749862962058     
  0.81662812414751440        6.4402285293078068        50.000000000000000        1.5633999999999999       0.12190197573465229     
  0.84995913319627925        6.6297197102903827        50.000000000000000        1.6093999999999999        8.9120185843222441E-002
  0.88321234565369100        6.8146795804233768        50.000000000000000        1.6543000000000001        6.4242228947100521E-002
  0.91666420076681432        6.9967558891066330        50.000000000000000        1.6984999999999999        4.5420051510275200E-002
  0.94991299356674685        7.1738889495903457        50.000000000000000        1.7415000000000000        3.1703876539362096E-002
  0.98324131680941651        7.3477265112743604        50.000000000000000        1.7837000000000001        2.1889465372475176E-002
   1.0166314285014382        7.5182685741586797        50.000000000000000        1.8250999999999999        1.4970927034774411E-002
   1.0498983480055153        7.6846912635433764        50.000000000000000        1.8654999999999999        1.0093348563426779E-002
   1.0831821760574267        7.8478184541283769        50.000000000000000        1.9051000000000000        6.6176421149002733E-003
   1.1166358371968217        8.0084740206136047        50.000000000000000        1.9440999999999999        4.1753045414573480E-003
   1.1498950178355567        8.1650102135992100        50.000000000000000        1.9821000000000000        2.5525850933237866E-003
   1.1831976662060277        8.3186628451350817        50.000000000000000        2.0194000000000001        1.5211157024166339E-003
   1.2166182053222061        8.4698438525711790        50.000000000000000        2.0560999999999998        8.8155935756676664E-004
   1.2498624729563472        8.6173174238576191        50.000000000000000        2.0918999999999999        5.1765962397711256E-004
   1.2831873448983999        8.7623193710442866        50.000000000000000        2.1271000000000000        3.1151105187662858E-004
   1.3165785401632688        8.9048496941311814        50.000000000000000        2.1617000000000002        1.9183310906267957E-004
   1.3499218579666874        9.0444964557683409        50.000000000000000        2.1956000000000002        1.2132661245447373E-004
   1.3831961261653742        9.1812596559557633        50.000000000000000        2.2288000000000001        8.2620420921878046E-005
   1.4165855550981796        9.3159631693933775        50.000000000000000        2.2614999999999998        5.7539245461699468E-005
   1.4498690236501341        9.4477831213812564        50.000000000000000        2.2934999999999999        4.0649216183964078E-005
   1.5165684563071331        9.7048320277576199        50.000000000000000        2.3559000000000001        2.1024501129537126E-005
