 x    Q2    WSQ   XS_data   XS_stat_err  XS_sys_err    XS_f1f217    XS_ineft
   0.12700   0.79100   6.30000    187100.00000         0.02500         0.01400        186.94145        186.98768
   0.08900   0.65700   7.61000    162900.00000         0.02400         0.01500        165.00205        165.46134
   0.45300   1.87000   3.13000     87020.00000         0.02800         0.01100         92.96887         91.58979
   0.34700   1.74100   4.15000     99680.00000         0.02600         0.01100        101.43076        101.28404
   0.21400   1.46900   6.29000     96630.00000         0.02700         0.01300         97.39555         97.52382
   0.12000   1.11500   9.06000     84070.00000         0.02900         0.01400         84.74232         86.03391
   0.53900   2.76200   3.24000     33420.00000         0.02000         0.00900         34.61074         33.99126
   0.48900   2.69300   3.70000     37290.00000         0.02000         0.00800         39.27515         38.59703
   0.44000   2.61600   4.21000     41870.00000         0.02000         0.00800         42.98930         42.56679
   0.37400   2.48900   5.04000     46750.00000         0.02400         0.00800         46.19917         46.97445
   0.29700   2.29700   6.32000     49510.00000         0.02500         0.01100         50.06394         50.01067
   0.23700   2.09800   7.64000     50840.00000         0.02500         0.01100         50.98198         50.50223
   0.18700   1.88000   9.08000     49690.00000         0.02500         0.01200         49.68256         49.77994
   0.14400   1.64400  10.64000     47750.00000         0.02600         0.01300         48.31537         48.72762
   0.10800   1.38800  12.33000     48130.00000         0.02600         0.01400         46.77548         48.07126
   0.07700   1.11400  14.15000     47940.00000         0.02600         0.01600         46.66713         48.55071
   0.63900   4.14900   3.23000      9703.00000         0.02500         0.01300          9.95171          9.56482
   0.58000   4.04400   3.81000     12210.00000         0.02700         0.01000         12.67795         12.22139
   0.55300   3.99100   4.11000     13240.00000         0.06000         0.00900         13.91899         13.50676
   0.47100   3.80400   5.15000     17630.00000         0.02400         0.00800         17.71292         17.41709
   0.39800   3.59400   6.32000     20650.00000         0.02400         0.00700         21.00994         20.66837
   0.33200   3.35700   7.63000     22830.00000         0.02400         0.00800         23.21574         23.06471
   0.27300   3.09200   9.11000     24670.00000         0.02500         0.00800         25.17038         24.58807
   0.22400   2.81900  10.63000     25510.00000         0.02500         0.01100         25.54850         25.38049
   0.17900   2.50900  12.35000     25460.00000         0.02600         0.01200         26.19054         25.84937
   0.14200   2.18900  14.13000     26250.00000         0.02600         0.01300         26.24105         26.25960
   0.10800   1.83400  16.10000     27110.00000         0.02500         0.01400         26.08891         27.00978
   0.08400   1.54200  17.73000     27060.00000         0.02600         0.01600         26.21982         28.12380
   0.69200   5.18000   3.19000      4346.00000         0.03700         0.01700          4.42508          4.29467
   0.60100   4.98100   4.19000      7161.00000         0.03000         0.01100          6.98681          6.81373
   0.53200   4.80000   5.11000      9002.00000         0.02500         0.00900          9.20532          9.05278
   0.45400   4.55300   6.36000     11890.00000         0.02500         0.00700         11.95216         11.67521
   0.38700   4.29400   7.67000     13850.00000         0.02600         0.00700         14.04002         13.80230
   0.32800   4.01400   9.09000     15890.00000         0.02600         0.00700         15.41065         15.44498
   0.27400   3.69900  10.69000     16370.00000         0.02700         0.00800         16.90866         16.66061
   0.22700   3.37300  12.34000     17970.00000         0.02700         0.00800         17.57420         17.46416
   0.18500   3.01300  14.16000     18280.00000         0.02700         0.01100         18.36951         18.08712
   0.14700   2.63100  16.09000     18610.00000         0.02700         0.01200         19.14388         18.69861
   0.12000   2.30500  17.74000     19100.00000         0.02800         0.01300         19.10576         19.34244
   0.09600   1.96800  19.45000     19900.00000         0.02800         0.01600         19.33211         20.27976
   0.74600   6.87900   3.23000      1531.00000         0.06000         0.02400          1.49076          1.48356
   0.69000   6.72900   3.90000      2109.00000         0.04300         0.01800          2.19980          2.14618
   0.66200   6.64700   4.27000      2283.00000         0.20700         0.01600          2.60143          2.54830
   0.59900   6.44100   5.20000      3728.00000         0.03000         0.01200          3.70967          3.61819
   0.52800   6.17400   6.39000      4976.00000         0.02800         0.01000          5.11393          4.99555
   0.46500   5.89400   7.65000      6415.00000         0.02600         0.00800          6.43588          6.33210
   0.40400   5.56900   9.11000      7766.00000         0.02600         0.00700          7.68390          7.65441
   0.34700   5.21500  10.70000      8977.00000         0.02600         0.00700          8.64658          8.80262
   0.29700   4.84500  12.36000      9928.00000         0.02600         0.00700          9.58589          9.71567
   0.25100   4.44600  14.15000     10520.00000         0.02700         0.00700         10.28651         10.45509
   0.20800   4.00300  16.14000     11280.00000         0.02700         0.00800         11.01562         11.09601
   0.17800   3.64900  17.73000     11560.00000         0.02700         0.01100         11.74966         11.55371
   0.15000   3.26500  19.45000     12280.00000         0.02700         0.01200         12.43760         12.06760
   0.12200   2.85100  21.31000     12950.00000         0.02700         0.01300         12.92071         12.72087
   0.09900   2.43800  23.17000     13030.00000         0.03100         0.01600         13.26378         13.57312
   0.07700   2.00900  25.09000     14790.00000         0.03300         0.01600         13.59667         14.82534
   0.77100   8.08800   3.29000       783.60000         0.05300         0.02800          0.80785          0.80138
   0.71100   7.89700   4.08000      1304.00000         0.03500         0.02000          1.26139          1.24422
   0.64500   7.65600   5.10000      1978.00000         0.02700         0.01500          1.96684          1.93109
   0.57100   7.34800   6.39000      2874.00000         0.02400         0.01200          2.93458          2.89195
   0.50800   7.03700   7.69000      3829.00000         0.02400         0.01000          3.91487          3.85906
   0.44700   6.69100   9.14000      4860.00000         0.02400         0.00800          4.85371          4.85506
   0.39300   6.32800  10.67000      5660.00000         0.02400         0.00700          5.70335          5.76706
   0.34100   5.93100  12.33000      6620.00000         0.02500         0.00700          6.36253          6.59283
   0.29300   5.49800  14.14000      7151.00000         0.02500         0.00700          7.07883          7.31463
   0.24800   5.03200  16.10000      7901.00000         0.02500         0.00700          7.63067          7.93389
   0.21500   4.63400  17.77000      8432.00000         0.02500         0.00800          8.14449          8.38148
   0.18500   4.21900  19.51000      9538.00000         0.02500         0.00800          8.80257          8.81584
   0.15700   3.80400  21.25000      9117.00000         0.02600         0.01100          9.47257          9.26191
   0.13100   3.35500  23.13000      9968.00000         0.02600         0.01200         10.06871          9.80996
   0.10700   2.88800  25.09000     10510.00000         0.02500         0.01500         10.54868         10.52314
   0.08300   2.38600  27.19000     11450.00000         0.02700         0.01600         11.04754         11.57325
   0.33700   1.17100   3.18000     62040.00000         0.01000         0.00700         62.20757         63.08027
   0.29300   1.10200   3.54000     62970.00000         0.00900         0.00700         63.45895         64.47616
   0.26000   1.04300   3.85000     63460.00000         0.01000         0.00700         64.20622         64.77775
   0.23500   0.99400   4.12000     64240.00000         0.01300         0.00800         63.85694         64.58309
   0.18800   0.88400   4.70000     62970.00000         0.01300         0.00800         62.39838         63.77153
   0.15000   0.77300   5.28000     61840.00000         0.01300         0.00900         61.88648         62.85368
   0.11800   0.66300   5.85000     60120.00000         0.01400         0.01000         61.73964         62.31316
   0.52200   2.51500   3.19000     11960.00000         0.01100         0.00800         12.01425         11.76483
   0.48500   2.44300   3.47000     12550.00000         0.01300         0.00800         13.16381         13.04074
