 x    Q2    WSQ   F2d_data   F2d_stat_err  F2d_sys_err    F2d_f1f217    F2d_ineft
   0.27500   0.90500   3.26626      0.26169      0.02300      0.01100          0.51715          0.26464
   0.22300   0.86900   3.90822      0.27658      0.02300      0.01100          0.56253          0.27886
   0.17600   0.82400   4.73817      0.28495      0.02200      0.01100          0.55979          0.28515
   0.15300   0.79400   5.27590      0.28688      0.02300      0.01100          0.56134          0.28543
   0.11900   0.73700   6.33663      0.28484      0.02500      0.01300          0.56298          0.28145
   0.09000   0.66600   7.61435      0.27439      0.02500      0.01300          0.54350          0.27204
   0.06700   0.58600   9.04062      0.25588      0.02400      0.01500          0.51757          0.25818
   0.41700   1.68500   3.23612      0.19828      0.02000      0.00900          0.38984          0.19798
   0.36500   1.64700   3.74568      0.22649      0.02000      0.00900          0.44970          0.22432
   0.31400   1.60100   4.37808      0.24937      0.02100      0.00900          0.48620          0.24853
   0.27100   1.55200   5.05529      0.26875      0.02100      0.00900          0.51552          0.26707
   0.20900   1.45500   6.38708      0.29341      0.02600      0.00900          0.56977          0.28868
   0.16800   1.36300   7.63045      0.30559      0.02600      0.00800          0.59229          0.29788
   0.13200   1.25600   9.13951      0.30726      0.02600      0.00900          0.59524          0.30096
   0.10400   1.14100  10.71051      0.30117      0.02500      0.01000          0.59467          0.29856
   0.08100   1.01900  12.44160      0.30495      0.02500      0.01400          0.58255          0.29196
   0.50300   2.37700   3.22900      0.14116      0.02000      0.01200          0.28584          0.14428
   0.45000   2.33400   3.73302      0.16714      0.02000      0.01100          0.34544          0.17169
   0.39700   2.28200   4.34647      0.19747      0.02000      0.01000          0.39367          0.19996
   0.34800   2.22200   5.04341      0.22336      0.02000      0.01000          0.43784          0.22625
   0.28300   2.11900   6.24899      0.25459      0.02300      0.01000          0.50861          0.25941
   0.22600   1.99500   7.71279      0.29103      0.02400      0.00900          0.56345          0.28452
   0.18500   1.87200   9.12727      0.30606      0.02500      0.00900          0.58877          0.29849
   0.15000   1.73800  10.72902      0.31390      0.02500      0.00800          0.60883          0.30636
   0.12200   1.59400  12.35193      0.31621      0.02500      0.00800          0.61156          0.30878
   0.09800   1.44000  14.13423      0.32056      0.02500      0.01000          0.60463          0.30708
   0.07700   1.27500  16.16380      0.31897      0.02500      0.01300          0.58791          0.30155
   0.06300   1.13600  17.77610      0.30884      0.02500      0.01700          0.56795          0.29445
   0.59700   3.50100   3.24368      0.08659      0.02600      0.02000          0.17286          0.08751
   0.54200   3.44500   3.79144      0.10926      0.02200      0.01700          0.22366          0.11209
   0.49000   3.38300   4.40144      0.13666      0.02000      0.01600          0.27151          0.13821
   0.44200   3.31400   5.06409      0.16153      0.02000      0.01400          0.32272          0.16446
   0.37200   3.19100   6.26731      0.20132      0.02300      0.01300          0.40729          0.20500
   0.30900   3.04700   7.69420      0.24340      0.02500      0.01200          0.47624          0.24169
   0.23900   2.81900   9.85633      0.28035      0.02300      0.01100          0.54968          0.27898
   0.18300   2.56900  12.34961      0.30387      0.02500      0.01000          0.59728          0.30250
   0.15200   2.38200  14.16941      0.32340      0.02500      0.00900          0.61783          0.31151
   0.12600   2.18800  16.05743      0.32423      0.02400      0.00900          0.62406          0.31594
   0.10700   2.01700  17.71382      0.32854      0.02500      0.00900          0.62193          0.31680
   0.09000   1.84500  19.53535      0.32732      0.02500      0.01000          0.61290          0.31547
   0.07500   1.65800  21.32902      0.33283      0.02500      0.01300          0.59575          0.31180
   0.32200   1.10500   3.20703      0.24564      0.02200      0.01300          0.48611          0.24790
   0.26900   1.05200   3.73914      0.26365      0.02200      0.01400          0.53859          0.26823
   0.24000   1.01600   4.09769      0.27708      0.02600      0.01400          0.55371          0.27681
   0.17700   0.91200   5.12090      0.29002      0.02500      0.01500          0.56282          0.28770
   0.12700   0.79100   6.31770      0.29122      0.02500      0.01500          0.56999          0.28498
   0.08900   0.65700   7.60538      0.27477      0.02400      0.01800          0.54156          0.27108
