 x    Q2    WSQ   F2p_data   F2p_stat_err  F2p_sys_err  F2p_f1f217   F2p_ineft
   0.45000   2.01000   3.33702      0.20909      0.00502      0.00188          0.21273          0.20637
   0.45000   2.29000   3.67924      0.21195      0.00191      0.00127          0.21509          0.21328
   0.45000   2.44000   3.86258      0.20619      0.00247      0.00144          0.21161          0.21233
   0.45000   2.65000   4.11924      0.20516      0.00308      0.00185          0.20544          0.20992
   0.45000   3.39000   5.02369      0.20162      0.00161      0.00121          0.19754          0.20382
   0.45000   3.75000   5.46369      0.19865      0.00258      0.00159          0.19668          0.20086
   0.45000   4.72000   6.64924      0.19361      0.00136      0.00174          0.19358          0.19406
   0.45000   5.28000   7.33369      0.18814      0.00226      0.00207          0.19107          0.19090
   0.45000   5.68000   7.82258      0.18673      0.00224      0.00168          0.18903          0.18892
   0.45000   6.07000   8.29924      0.18297      0.00531      0.00238          0.18641          0.18720
   0.45000   6.55000   8.88591      0.18012      0.00162      0.00162          0.18293          0.18530
   0.45000   7.09000   9.54591      0.17827      0.00143      0.00196          0.17967          0.18343
   0.45000   7.84000  10.46258      0.18042      0.00505      0.00289          0.17678          0.18121
   0.45000   8.44000  11.19591      0.17174      0.00206      0.00240          0.17466          0.17968
   0.45000   9.44000  12.41813      0.17108      0.00137      0.00240          0.17144          0.17754
   0.45000  10.80000  14.08035      0.16788      0.00151      0.00302          0.16757          0.17522
   0.45000  11.60000  15.05813      0.16601      0.00266      0.00349          0.16551          0.17410
   0.45000  12.58000  16.25591      0.16341      0.00212      0.00359          0.16318          0.17291
   0.45000  15.01000  19.22591      0.15683      0.01051      0.01051          0.15809          0.17062
   0.45000  16.36000  20.87591      0.16378      0.00704      0.00983          0.15562          0.16963
   0.55000   2.47000   2.90126      0.15246      0.00122      0.00107          0.18462          0.18557
   0.55000   2.77000   3.14672      0.14767      0.00251      0.00118          0.14589          0.14661
   0.55000   3.47000   3.71945      0.13889      0.00153      0.00167          0.13923          0.14097
   0.55000   3.74000   3.94035      0.13957      0.00419      0.00126          0.13527          0.13819
   0.55000   4.04000   4.18581      0.13213      0.00106      0.00106          0.13134          0.13538
   0.55000   4.80000   4.80763      0.12866      0.00347      0.00129          0.12620          0.12989
   0.55000   5.32000   5.23308      0.12449      0.00224      0.00137          0.12415          0.12659
   0.55000   5.73000   5.56854      0.12172      0.00158      0.00134          0.12256          0.12425
   0.55000   6.24000   5.98581      0.11955      0.00132      0.00120          0.12037          0.12165
   0.55000   7.45000   6.97581      0.11388      0.00080      0.00102          0.11386          0.11663
   0.55000   8.37000   7.72854      0.11197      0.00134      0.00146          0.10774          0.11365
   0.55000   9.39000   8.56308      0.10837      0.00108      0.00163          0.10253          0.11094
   0.55000  10.60000   9.55308      0.10423      0.00094      0.00146          0.10207          0.10836
   0.55000  11.87000  10.59217      0.10221      0.00092      0.00174          0.10219          0.10618
   0.55000  12.84000  11.38581      0.10066      0.00111      0.00191          0.10013          0.10479
   0.55000  13.69000  12.08126      0.09781      0.00117      0.00205          0.09846          0.10373
   0.55000  14.65000  12.86672      0.09733      0.00117      0.00204          0.09668          0.10268
   0.55000  15.57000  13.61945      0.09778      0.00323      0.00303          0.09509          0.10179
   0.55000  16.71000  14.55217      0.11092      0.01686      0.00821          0.09324          0.10082
   0.55000  17.89000  15.51763      0.08557      0.00334      0.00471          0.09145          0.09995
   0.55000  19.47000  16.81035      0.08893      0.00276      0.00445          0.08924          0.09894
   0.65000   4.29000   3.19035      0.08284      0.00075      0.00075          0.07999          0.08067
   0.65000   5.05000   3.59959      0.08061      0.00234      0.00105          0.07558          0.07617
   0.65000   5.71000   3.95497      0.07099      0.00128      0.00078          0.07160          0.07250
   0.65000   6.29000   4.26728      0.06950      0.00070      0.00076          0.06841          0.06961
   0.65000   6.81000   4.54728      0.06728      0.00067      0.00081          0.06609          0.06753
   0.65000   7.24000   4.77882      0.05886      0.00453      0.00200          0.06436          0.06597
   0.65000   7.89000   5.12882      0.06348      0.00051      0.00057          0.06181          0.06387
   0.65000   8.63000   5.52728      0.06127      0.00055      0.00061          0.05885          0.06180
   0.65000   9.52000   6.00651      0.05772      0.00075      0.00081          0.05526          0.05969
   0.65000  10.60000   6.58805      0.05660      0.00051      0.00079          0.05104          0.05756
   0.65000  11.49000   7.06728      0.05412      0.00065      0.00103          0.04791          0.05608
   0.65000  13.15000   7.96112      0.05258      0.00053      0.00084          0.04331          0.05385
   0.65000  14.46000   8.66651      0.05074      0.00081      0.00117          0.04408          0.05243
   0.65000  15.56000   9.25882      0.04928      0.00054      0.00113          0.04552          0.05143
   0.65000  16.64000   9.84035      0.04650      0.00070      0.00107          0.04679          0.05057
   0.65000  18.32000  10.74497      0.04490      0.00126      0.00220          0.04542          0.04943
   0.65000  20.62000  11.98343      0.04222      0.00160      0.00220          0.04301          0.04818
   0.65000  22.21000  12.83959      0.04451      0.00093      0.00218          0.04150          0.04747
   0.75000   6.05000   2.89702      0.03503      0.00077      0.00056          0.03985          0.04435
   0.75000   6.66000   3.10035      0.03382      0.00047      0.00041          0.03289          0.03614
   0.75000   7.29000   3.31035      0.03166      0.00032      0.00054          0.03081          0.03100
   0.75000   8.04000   3.56035      0.02849      0.00048      0.00048          0.02938          0.02950
   0.75000   8.88000   3.84035      0.02798      0.00025      0.00036          0.02740          0.02780
   0.75000  10.24000   4.29369      0.02606      0.00034      0.00039          0.02416          0.02544
   0.75000  11.59000   4.74369      0.02397      0.00026      0.00034          0.02174          0.02381
   0.75000  13.08000   5.24035      0.02228      0.00025      0.00040          0.01990          0.02238
   0.75000  14.46000   5.70035      0.02065      0.00027      0.00039          0.01889          0.02133
   0.75000  15.71000   6.11702      0.02033      0.00055      0.00045          0.01854          0.02053
   0.75000  17.03000   6.55702      0.01862      0.00022      0.00045          0.01878          0.01982
   0.75000  18.42000   7.02035      0.01873      0.00036      0.00052          0.01982          0.01918
   0.75000  19.92000   7.52035      0.01588      0.00060      0.00084          0.02207          0.01860
   0.75000  21.58000   8.07369      0.01644      0.00064      0.00100          0.02617          0.01805
   0.75000  24.46000   9.03369      0.01550      0.00054      0.00085          0.02877          0.01729
   0.75000  26.69000   9.77702      0.01438      0.00049      0.00095          0.02069          0.01681
   0.85000  10.11000   2.66447      0.00854      0.00023      0.00045          0.00781          0.00864
   0.85000  11.07000   2.83388      0.00743      0.00025      0.00033          0.00789          0.00946
   0.85000  12.18000   3.02977      0.00680      0.00015      0.00022          0.00775          0.00888
   0.85000  13.97000   3.34565      0.00618      0.00014      0.00020          0.00709          0.00639
   0.85000  15.45000   3.60683      0.00578      0.00008      0.00016          0.00684          0.00586
   0.85000  16.61000   3.81153      0.00542      0.00015      0.00017          0.00671          0.00550
   0.85000  18.48000   4.14153      0.00481      0.00007      0.00015          0.00682          0.00501
   0.85000  19.95000   4.40094      0.00473      0.00012      0.00018          0.00741          0.00473
   0.85000  23.39000   5.00800      0.00375      0.00013      0.00028          0.01166          0.00425
   0.85000  29.17000   6.02800      0.00277      0.00011      0.00022          0.05760          0.00373
