 x    Q2    WSQ   F2d_data   F2d_stat_err  F2d_sys_err    F2d_ff217    F2d_ineft
   0.14000   8.93000  55.73607      0.33680      0.00810      0.00500          0.56824          0.32896
   0.14000  11.37000  70.72464      0.32240      0.00650      0.00460          0.54575          0.33020
   0.18000   2.67000  13.04369      0.33130      0.00920      0.01170          0.61141          0.30396
   0.18000   3.48000  16.73369      0.30990      0.00610      0.00790          0.61351          0.30628
   0.18000   4.47000  21.24369      0.31430      0.00610      0.00600          0.59811          0.30805
   0.18000   5.47000  25.79924      0.30300      0.00640      0.00470          0.57547          0.30922
   0.18000   6.86000  32.13147      0.30570      0.00560      0.00420          0.55014          0.31031
   0.18000   8.88000  41.33369      0.29910      0.00830      0.00400          0.54514          0.31131
   0.18000  11.31000  52.40369      0.30160      0.00770      0.00450          0.55827          0.31205
   0.22500   2.90000  10.86924      0.29610      0.02630      0.00960          0.57175          0.28562
   0.22500   3.51000  12.97035      0.29500      0.00710      0.00750          0.56706          0.28587
   0.22500   4.49000  16.34591      0.28240      0.00610      0.00570          0.54931          0.28612
   0.22500   5.46000  19.68702      0.28680      0.00660      0.00480          0.52851          0.28629
   0.22500   6.87000  24.54369      0.28070      0.00560      0.00390          0.50650          0.28645
   0.22500   8.85000  31.36369      0.27850      0.00740      0.00350          0.50655          0.28659
   0.22500  11.35000  39.97480      0.28370      0.00760      0.00370          0.53376          0.28670
   0.27500   3.75000  10.76672      0.26790      0.01170      0.00740          0.52080          0.25887
   0.27500   4.47000  12.66490      0.26950      0.00790      0.00580          0.50777          0.25782
   0.27500   5.47000  15.30126      0.26020      0.00740      0.00450          0.48811          0.25678
   0.27500   6.89000  19.04490      0.24890      0.00590      0.00340          0.46855          0.25579
   0.27500   8.81000  24.10672      0.24700      0.00830      0.00280          0.46944          0.25494
   0.27500  11.42000  30.98763      0.23700      0.00780      0.00280          0.49650          0.25422
   0.35000   4.61000   9.44178      0.21270      0.00810      0.00950          0.41765          0.21125
   0.35000   5.45000  11.00178      0.22170      0.00690      0.00760          0.40471          0.20887
   0.35000   6.96000  13.80607      0.21600      0.00490      0.00470          0.38946          0.20595
   0.35000   8.81000  17.24178      0.20160      0.00570      0.00280          0.38990          0.20368
   0.35000  11.32000  21.90321      0.18310      0.00730      0.00190          0.40837          0.20174
   0.50000   5.72000   6.60035      0.11480      0.01000      0.01170          0.23771          0.11746
   0.50000   6.92000   7.80035      0.12630      0.00470      0.01000          0.22716          0.11314
   0.50000   8.88000   9.76035      0.10530      0.00390      0.00600          0.21733          0.10847
   0.50000  11.27000  12.15035      0.10270      0.00440      0.00450          0.21528          0.10492
