 x    Q2    WSQ   XS_data   XS_stat_err  XS_sys_err    XS_f1f217    XS_ineft
   0.27400   0.90400   3.27000   1203000.00000         0.02400         0.01000       1171.64453       1139.94705
   0.22400   0.87000   3.90000   1096000.00000         0.02300         0.01000       1089.75895       1069.15355
   0.17700   0.82400   4.72000    932200.00000         0.02300         0.01000        916.87269        912.60551
   0.15300   0.79400   5.28000    852000.00000         0.02700         0.01000        845.46487        821.95367
   0.11900   0.73700   6.33000    697600.00000         0.02900         0.01200        713.58208        685.17151
   0.09000   0.66600   7.61000    582200.00000         0.02700         0.01200        572.96093        565.41225
   0.06700   0.58600   9.07000    475300.00000         0.02600         0.01300        465.11978        471.94724
   0.41700   1.68500   3.24000    428100.00000         0.02100         0.00800        420.42508        404.57099
   0.36500   1.64700   3.74000    441300.00000         0.02100         0.00800        440.51315        431.71622
   0.31500   1.60100   4.37000    422300.00000         0.02200         0.00800        413.10622        421.13732
   0.27100   1.55200   5.05000    402300.00000         0.02200         0.00900        399.16549        401.01564
   0.20900   1.45500   6.38000    353600.00000         0.03000         0.00900        366.03079        352.87044
   0.16800   1.36300   7.64000    320600.00000         0.03000         0.00800        319.39831        310.81245
   0.13200   1.25600   9.11000    268500.00000         0.03000         0.00800        270.00590        270.73449
   0.10400   1.14100  10.69000    240200.00000         0.02700         0.00900        243.44782        237.76740
   0.08100   1.01900  12.36000    217900.00000         0.02900         0.01100        217.32987        212.09375
   0.50300   2.37700   3.23000    193100.00000         0.02100         0.01100        187.74285        188.16284
   0.45000   2.33400   3.74000    209300.00000         0.02100         0.01000        211.46745        212.88647
   0.39600   2.28100   4.35000    225100.00000         0.02100         0.01000        217.62226        222.13727
   0.34700   2.22100   5.05000    223100.00000         0.02100         0.01000        219.66942        224.64713
   0.28200   2.11600   6.28000    217900.00000         0.02500         0.00900        218.93804        216.01397
   0.22600   1.99500   7.71000    201200.00000         0.02900         0.00900        203.20513        198.69885
   0.18500   1.87200   9.15000    177800.00000         0.02900         0.00800        181.48769        180.68771
   0.15000   1.73800  10.72000    166700.00000         0.02800         0.00800        166.07292        163.23830
   0.12200   1.59400  12.40000    149600.00000         0.02900         0.00800        150.11833        147.89346
   0.09800   1.44000  14.20000    137500.00000         0.02900         0.00800        138.08473        135.11368
   0.07700   1.27500  16.13000    131700.00000         0.02800         0.00900        128.28922        125.13489
   0.06300   1.13600  17.75000    121100.00000         0.02900         0.01100        122.57321        119.39003
   0.59600   3.50000   3.25000     68670.00000         0.02600         0.01900         67.21620         66.17663
   0.54200   3.44600   3.79000     78400.00000         0.02300         0.01700         79.19121         80.49971
   0.49000   3.38300   4.40000     90290.00000         0.02200         0.01500         85.61735         90.60957
   0.44100   3.31300   5.08000    100300.00000         0.02100         0.01400         95.24965         98.65250
   0.37200   3.19100   6.28000    104300.00000         0.02700         0.01300        104.37456        105.43934
   0.30900   3.04700   7.70000    105800.00000         0.02800         0.01200        107.15180        106.18730
   0.23900   2.81800   9.87000    100200.00000         0.02500         0.01100         99.59779        100.76003
   0.18300   2.56900  12.38000     92690.00000         0.03000         0.00900         92.15318         91.60598
   0.15200   2.38200  14.21000     88150.00000         0.02900         0.00800         86.00229         85.42186
   0.12600   2.18800  16.11000     83740.00000         0.02800         0.00800         81.10413         79.95295
   0.10700   2.01700  17.80000     77560.00000         0.02800         0.00700         77.41301         76.01680
   0.09000   1.84500  19.48000     77280.00000         0.02800         0.00800         74.82919         73.01484
   0.07500   1.65800  21.31000     73920.00000         0.02900         0.00800         72.67765         70.76008
   0.32000   1.10400   3.23000    285500.00000         0.02400         0.01300        290.59094        280.95335
   0.27000   1.05300   3.73000    278600.00000         0.02300         0.01400        290.92759        283.89855
   0.24000   1.01600   4.10000    265900.00000         0.03000         0.01400        276.78058        270.90004
   0.17700   0.91200   5.12000    237900.00000         0.02800         0.01500        240.99684        236.48664
   0.12700   0.79100   6.30000    203800.00000         0.02800         0.01400        208.76075        202.18956
   0.08900   0.65700   7.61000    173200.00000         0.02700         0.01500        174.11046        175.01027
   0.45400   1.87100   3.13000    114700.00000         0.03300         0.01100        111.21949        110.95376
   0.34800   1.74100   4.15000    118200.00000         0.03000         0.01200        121.01479        121.38448
   0.21400   1.46900   6.29000    113200.00000         0.03200         0.01300        115.19776        111.25285
   0.12000   1.11500   9.06000     94490.00000         0.03400         0.01500         91.67232         92.78335
   0.53900   2.76200   3.24000     43190.00000         0.02000         0.00900         42.16422         42.21379
   0.48900   2.69300   3.70000     48060.00000         0.02000         0.00800         48.60104         49.48055
   0.44000   2.61600   4.21000     52280.00000         0.02100         0.00800         52.16440         53.84235
   0.37600   2.49400   5.01000     56700.00000         0.02700         0.00900         56.70132         58.14063
   0.29700   2.29700   6.32000     59720.00000         0.02800         0.01100         60.66895         59.91824
   0.23700   2.09800   7.64000     59580.00000         0.02900         0.01200         59.80281         58.61638
   0.18700   1.88000   9.08000     56160.00000         0.03000         0.01200         55.85799         56.06875
   0.14400   1.64400  10.64000     53280.00000         0.03000         0.01300         53.55053         53.38597
   0.10800   1.38800  12.33000     50240.00000         0.03000         0.01400         51.47684         51.42058
   0.07700   1.11400  14.15000     50600.00000         0.03100         0.01600         50.90597         50.99711
   0.63800   4.14800   3.23000     13430.00000         0.02600         0.01300         12.75228         12.78392
   0.58000   4.04500   3.81000     16050.00000         0.02900         0.01000         16.26176         16.56689
   0.55300   3.99100   4.11000     16820.00000         0.06800         0.00900         17.61490         18.12890
   0.47100   3.80400   5.15000     22290.00000         0.02800         0.00800         22.26529         22.82971
   0.39800   3.59400   6.32000     26050.00000         0.02800         0.00800         26.21541         26.24324
   0.33200   3.35700   7.63000     28530.00000         0.03000         0.00800         28.34308         28.31648
   0.27300   3.09200   9.11000     28890.00000         0.03000         0.00900         29.07382         29.20724
   0.22400   2.81900  10.63000     29140.00000         0.03100         0.01100         29.14090         29.28271
   0.17900   2.50900  12.35000     28510.00000         0.03100         0.01200         28.95632         28.98257
   0.14200   2.18900  14.13000     28390.00000         0.03100         0.01300         28.70774         28.70699
   0.10800   1.83400  16.10000     29900.00000         0.03100         0.01400         28.86590         28.86209
   0.08400   1.54200  17.73000     29140.00000         0.03200         0.01600         29.54293         29.63048
   0.69200   5.18000   3.19000      6402.00000         0.05000         0.01700          5.85690          6.00747
   0.60100   4.98200   4.19000      9728.00000         0.03400         0.01100          9.13910          9.38954
   0.53000   4.79600   5.13000     12130.00000         0.02700         0.00900         12.01057         12.30144
   0.45400   4.55300   6.36000     15510.00000         0.02900         0.00800         15.24832         15.29216
   0.38700   4.29400   7.67000     16940.00000         0.03000         0.00700         17.46581         17.49210
   0.32800   4.01400   9.09000     19170.00000         0.02700         0.00800         18.73152         18.95319
   0.27400   3.69900  10.69000     19460.00000         0.03000         0.00800         19.65311         19.81111
   0.22700   3.37300  12.34000     20350.00000         0.03100         0.00900         20.07094         20.18924
   0.18500   3.01300  14.16000     21560.00000         0.03100         0.01100         20.26039         20.34759
   0.14700   2.63100  16.09000     20520.00000         0.03200         0.01200         20.51195         20.51250
   0.12000   2.30500  17.74000     20920.00000         0.03200         0.01300         20.82781         20.83418
   0.09600   1.96800  19.45000     21500.00000         0.03200         0.01600         21.52606         21.50894
   0.74300   6.87300   3.26000      2159.00000         0.06300         0.02400          2.08121          2.11592
   0.69000   6.72900   3.90000      3119.00000         0.03900         0.01800          3.03464          3.05853
