 exp   x    Q2    WSQ   F2Dp_data   F2Dp_err  F2Dp_norm  F2Dp_f1f217   F2Dp_ineft   F2d_f1f217   F2p_f1f217      F2d_ineft   F2p_ineft
1.0   0.12200   1.59400  12.35193      0.91660      0.02780      0.00500          1.76781          0.92186          0.61156          0.34594          0.30878          0.33495
1.0   0.09800   1.44000  14.13423      0.93690      0.02780      0.00500          1.76475          0.93674          0.60463          0.34261          0.30708          0.32782
1.0   0.07700   1.27500  16.16380      0.92360      0.02680      0.00500          1.74688          0.95005          0.58791          0.33655          0.30155          0.31741
1.0   0.06300   1.13600  17.77610      0.94980      0.02780      0.00500          1.72375          0.95901          0.56795          0.32948          0.29445          0.30704
1.0   0.59900   3.50300   3.22544      0.73660      0.01690      0.00500          1.55245          0.78898          0.17127          0.11032          0.08668          0.10986
1.0   0.54200   3.44500   3.79144      0.75740      0.01590      0.00500          1.55542          0.76794          0.22366          0.14380          0.11209          0.14597
1.0   0.49000   3.38300   4.40144      0.76040      0.01590      0.00500          1.58307          0.77639          0.27151          0.17151          0.13821          0.17801
1.0   0.44200   3.31500   5.06535      0.74500      0.01490      0.00500          1.58649          0.78448          0.32271          0.20341          0.16445          0.20963
1.0   0.37100   3.19000   6.28874      0.79060      0.02380      0.00500          1.60038          0.80399          0.40856          0.25529          0.20558          0.25570
1.0   0.30900   3.04700   7.69420      0.82780      0.02580      0.00500          1.61842          0.82643          0.47624          0.29427          0.24169          0.29244
1.0   0.23900   2.81900   9.85633      0.85960      0.01880      0.00500          1.68866          0.85757          0.54968          0.32551          0.27898          0.32532
1.0   0.18300   2.56900  12.34961      0.86950      0.02780      0.00500          1.73564          0.88683          0.59728          0.34413          0.30250          0.34110
1.0   0.15200   2.38200  14.16941      0.89630      0.02780      0.00500          1.76400          0.90455          0.61783          0.35024          0.31151          0.34438
1.0   0.12600   2.18800  16.05743      0.88440      0.02580      0.00500          1.76769          0.92009          0.62406          0.35303          0.31594          0.34338
1.0   0.10700   2.01700  17.71382      0.92360      0.02680      0.00500          1.75995          0.93169          0.62193          0.35338          0.31680          0.34003
1.0   0.09000   1.84500  19.53535      0.89480      0.02680      0.00500          1.74034          0.94217          0.61290          0.35217          0.31547          0.33483
1.0   0.07500   1.65800  21.32902      0.93450      0.02780      0.00500          1.70686          0.95139          0.59575          0.34903          0.31180          0.32773
1.0   0.32300   1.10700   3.20060      0.87200      0.01790      0.00500          1.71646          0.91664          0.48554          0.28287          0.24746          0.26997
1.0   0.26900   1.05100   3.73642      0.86400      0.01590      0.00500          1.69208          0.87750          0.53853          0.31827          0.26822          0.30567
1.0   0.24000   1.01600   4.09769      0.88540      0.02780      0.00500          1.72191          0.88451          0.55371          0.32157          0.27681          0.31295
1.0   0.17700   0.91200   5.12090      0.88730      0.02680      0.00500          1.71340          0.89901          0.56282          0.32848          0.28770          0.32002
1.0   0.12700   0.79100   6.31770      0.91310      0.02680      0.00500          1.75825          0.92037          0.56999          0.32418          0.28498          0.30964
1.0   0.08900   0.65700   7.60538      0.93600      0.02680      0.00500          1.83979          0.94164          0.54156          0.29436          0.27108          0.28788
1.0   0.45300   1.87000   3.13839      0.74150      0.03470      0.00500          1.64180          0.83983          0.35151          0.21410          0.17696          0.21071
