 x    Q2    WSQ   F2d_data   F2d_stat_err  F2d_sys_err    F2d_NMC    F2d_ineft
   0.27500   0.90500   3.26626      0.26169      0.02300      0.01100          0.26472          0.26464
   0.22300   0.86900   3.90822      0.27658      0.02300      0.01100          0.28526          0.27886
   0.17600   0.82400   4.73817      0.28495      0.02200      0.01100          0.29770          0.28515
   0.15300   0.79400   5.27590      0.28688      0.02300      0.01100          0.30054          0.28543
   0.11900   0.73700   6.33663      0.28484      0.02500      0.01300          0.29907          0.28145
   0.09000   0.66600   7.61435      0.27439      0.02500      0.01300          0.28978          0.27204
   0.06700   0.58600   9.04062      0.25588      0.02400      0.01500          0.27376          0.25818
   0.41700   1.68500   3.23612      0.19828      0.02000      0.00900          0.19624          0.19798
   0.36500   1.64700   3.74568      0.22649      0.02000      0.00900          0.22383          0.22432
   0.31400   1.60100   4.37808      0.24937      0.02100      0.00900          0.25023          0.24853
   0.27100   1.55200   5.05529      0.26875      0.02100      0.00900          0.27103          0.26707
   0.20900   1.45500   6.38708      0.29341      0.02600      0.00900          0.29629          0.28868
   0.16800   1.36300   7.63045      0.30559      0.02600      0.00800          0.30778          0.29788
   0.13200   1.25600   9.13951      0.30726      0.02600      0.00900          0.31242          0.30096
   0.10400   1.14100  10.71051      0.30117      0.02500      0.01000          0.31066          0.29856
   0.08100   1.01900  12.44160      0.30495      0.02500      0.01400          0.30375          0.29196
   0.50300   2.37700   3.22900      0.14116      0.02000      0.01200          0.14355          0.14428
   0.45000   2.33400   3.73302      0.16714      0.02000      0.01100          0.17090          0.17169
   0.39700   2.28200   4.34647      0.19747      0.02000      0.01000          0.19951          0.19996
   0.34800   2.22200   5.04341      0.22336      0.02000      0.01000          0.22642          0.22625
   0.28300   2.11900   6.24899      0.25459      0.02300      0.01000          0.26107          0.25941
   0.22600   1.99500   7.71279      0.29103      0.02400      0.00900          0.28811          0.28452
   0.18500   1.87200   9.12727      0.30606      0.02500      0.00900          0.30380          0.29849
   0.15000   1.73800  10.72902      0.31390      0.02500      0.00800          0.31325          0.30636
   0.12200   1.59400  12.35193      0.31621      0.02500      0.00800          0.31697          0.30878
   0.09800   1.44000  14.13423      0.32056      0.02500      0.01000          0.31615          0.30708
   0.07700   1.27500  16.16380      0.31897      0.02500      0.01300          0.31079          0.30155
   0.06300   1.13600  17.77610      0.30884      0.02500      0.01700          0.30315          0.29445
   0.59700   3.50100   3.24368      0.08659      0.02600      0.02000          0.08811          0.08751
   0.54200   3.44500   3.79144      0.10926      0.02200      0.01700          0.11232          0.11209
   0.49000   3.38300   4.40144      0.13666      0.02000      0.01600          0.13783          0.13821
   0.44200   3.31400   5.06409      0.16153      0.02000      0.01400          0.16341          0.16446
   0.37200   3.19100   6.26731      0.20132      0.02300      0.01300          0.20321          0.20500
   0.30900   3.04700   7.69420      0.24340      0.02500      0.01200          0.23986          0.24169
   0.23900   2.81900   9.85633      0.28035      0.02300      0.01100          0.27830          0.27898
   0.18300   2.56900  12.34961      0.30387      0.02500      0.01000          0.30392          0.30250
   0.15200   2.38200  14.16941      0.32340      0.02500      0.00900          0.31466          0.31151
   0.12600   2.18800  16.05743      0.32423      0.02400      0.00900          0.32081          0.31594
   0.10700   2.01700  17.71382      0.32854      0.02500      0.00900          0.32298          0.31680
   0.09000   1.84500  19.53535      0.32732      0.02500      0.01000          0.32263          0.31547
   0.07500   1.65800  21.32902      0.33283      0.02500      0.01300          0.31950          0.31180
   0.32200   1.10500   3.20703      0.24564      0.02200      0.01300          0.24655          0.24790
   0.26900   1.05200   3.73914      0.26365      0.02200      0.01400          0.27102          0.26823
   0.24000   1.01600   4.09769      0.27708      0.02600      0.01400          0.28263          0.27681
   0.17700   0.91200   5.12090      0.29002      0.02500      0.01500          0.30033          0.28770
   0.12700   0.79100   6.31770      0.29122      0.02500      0.01500          0.30190          0.28498
   0.08900   0.65700   7.60538      0.27477      0.02400      0.01800          0.28886          0.27108
   0.45300   1.87000   3.13839      0.16718      0.02800      0.01100          0.17541          0.17696
   0.34700   1.74100   4.15665      0.22877      0.02600      0.01200          0.23224          0.23182
   0.21400   1.46900   6.27584      0.28851      0.02700      0.01300          0.29454          0.28726
   0.12000   1.11500   9.05702      0.29981      0.02900      0.01600          0.31072          0.29774
   0.53900   2.76200   3.24266      0.11804      0.02000      0.00900          0.12142          0.12158
   0.48900   2.69300   3.69451      0.14083      0.02000      0.00900          0.14635          0.14682
   0.44000   2.61600   4.20981      0.16938      0.02000      0.00900          0.17246          0.17307
   0.37400   2.48900   5.04644      0.20880      0.02400      0.00900          0.20939          0.20986
   0.29700   2.29700   6.31736      0.25065      0.02500      0.01100          0.25246          0.25170
   0.23700   2.09800   7.63468      0.28499      0.02500      0.01200          0.28287          0.28009
   0.18700   1.88000   9.05383      0.30281      0.02500      0.01300          0.30314          0.29792
   0.14400   1.64400  10.65302      0.30853      0.02600      0.01400          0.31404          0.30634
   0.10800   1.38800  12.34421      0.31810      0.02600      0.01700          0.31530          0.30559
   0.07700   1.11400  14.23389      0.30769      0.02600      0.02500          0.30602          0.29559
   0.63900   4.14900   3.22431      0.06569      0.02500      0.01300          0.06676          0.06587
   0.58000   4.04400   3.80877      0.08822      0.02700      0.01100          0.09020          0.08958
   0.55300   3.99100   4.10635      0.09860      0.06000      0.01000          0.10221          0.10188
   0.47100   3.80400   5.15279      0.14484      0.02400      0.00800          0.14337          0.14440
   0.39800   3.59400   6.31651      0.18620      0.02400      0.00800          0.18493          0.18713
   0.33200   3.35700   7.63480      0.22480      0.02400      0.00800          0.22456          0.22715
   0.27300   3.09200   9.11436      0.26331      0.02500      0.00900          0.25931          0.26127
   0.22400   2.81900  10.64618      0.28982      0.02500      0.01200          0.28555          0.28604
   0.17900   2.50900  12.38811      0.30440      0.02600      0.01400          0.30549          0.30370
   0.14200   2.18900  14.10685      0.32172      0.02600      0.01500          0.31693          0.31260
   0.10800   1.83400  16.02784      0.32934      0.02500      0.01600          0.32098          0.31412
   0.08400   1.54200  17.69550      0.31463      0.02600      0.02200          0.31763          0.30944
   0.69200   5.18000   3.18590      0.04257      0.03700      0.01800          0.04384          0.04300
   0.60100   4.98100   4.18721      0.07687      0.03000      0.01200          0.07507          0.07442
   0.53200   4.80000   5.10291      0.10404      0.02500      0.01000          0.10542          0.10593
   0.45400   4.55300   6.35599      0.15011      0.02500      0.00800          0.14634          0.14868
   0.38700   4.29400   7.68196      0.18893      0.02600      0.00800          0.18591          0.18965
   0.32800   4.01400   9.10416      0.23263      0.02600      0.00800          0.22253          0.22684
   0.27400   3.69900  10.68135      0.25541      0.02700      0.00900          0.25562          0.25953
   0.22700   3.37300  12.36639      0.29471      0.02700      0.01000          0.28228          0.28483
   0.18500   3.01300  14.15384      0.31060      0.02700      0.01400          0.30277          0.30313
   0.14700   2.63100  16.14731      0.32128      0.02700      0.01700          0.31686          0.31444
   0.12000   2.30500  17.78369      0.32609      0.02800      0.01800          0.32288          0.31814
   0.09600   1.96800  19.41235      0.32755      0.02800      0.02000          0.32379          0.31710
   0.74600   6.87900   3.22253      0.02488      0.06000      0.02400          0.02499          0.02457
   0.69000   6.72900   3.90353      0.03601      0.04300      0.01800          0.03835          0.03765
   0.66200   6.64700   4.27414      0.03998      0.20700      0.01600          0.04644          0.04581
   0.59900   6.44100   5.19228      0.06929      0.03000      0.01300          0.06836          0.06846
   0.52800   6.17400   6.39954      0.09901      0.02800      0.01000          0.09944          0.10120
   0.46500   5.89400   7.66162      0.13584      0.02600      0.00900          0.13250          0.13613
   0.40400   5.56900   9.09601      0.17504      0.02600      0.00800          0.16869          0.17405
   0.34700   5.21500  10.69417      0.21421      0.02600      0.00800          0.20493          0.21139
   0.29700   4.84500  12.34849      0.24817      0.02600      0.00900          0.23726          0.24388
   0.25100   4.44600  14.14750      0.27297      0.02700      0.01000          0.26602          0.27181
   0.20800   4.00300  16.12255      0.30075      0.02700      0.01200          0.29064          0.29453
   0.17800   3.64900  17.73135      0.31109      0.02700      0.01500          0.30562          0.30746
   0.15000   3.26500  19.38202      0.32923      0.02700      0.01800          0.31717          0.31654
   0.12200   2.85100  21.39821      0.33957      0.02700      0.02100          0.32542          0.32197
   0.09900   2.43800  23.06862      0.32544      0.03100      0.02300          0.32824          0.32247
   0.07700   2.00900  24.96226      0.33899      0.03300      0.02400          0.32573          0.31838
   0.77100   8.08800   3.28263      0.01722      0.05300      0.02800          0.01802          0.01787
   0.71100   7.89700   4.09025      0.03007      0.03500      0.02000          0.03006          0.02963
   0.64500   7.65600   5.09412      0.04830      0.02700      0.01600          0.04833          0.04827
   0.57100   7.34800   6.40101      0.07487      0.02400      0.01200          0.07583          0.07716
   0.50800   7.03700   7.69572      0.10573      0.02400      0.01000          0.10534          0.10852
   0.44700   6.69100   9.15803      0.14195      0.02400      0.00900          0.13892          0.14413
   0.39300   6.32800  10.65414      0.17369      0.02400      0.00900          0.17204          0.17887
   0.34100   5.93100  12.34232      0.21250      0.02500      0.00900          0.20584          0.21369
   0.29300   5.49800  14.14686      0.23816      0.02500      0.00900          0.23750          0.24546
   0.24800   5.03200  16.13868      0.27059      0.02500      0.01000          0.26625          0.27327
   0.21500   4.63400  17.79984      0.29281      0.02500      0.01200          0.28593          0.29142
   0.18500   4.21900  19.46676      0.33241      0.02500      0.01400          0.30210          0.30548
   0.15700   3.80400  21.30565      0.31528      0.02600      0.01800          0.31507          0.31590
   0.13100   3.35500  23.13604      0.33682      0.02600      0.02200          0.32449          0.32248
   0.10700   2.88800  24.98301      0.33953      0.02500      0.02600          0.32985          0.32508
   0.08300   2.38600  27.24134      0.34020      0.02700      0.02600          0.33032          0.32326
   0.33700   1.17100   3.18413      0.23992      0.01000      0.00800          0.23964          0.24129
   0.29300   1.10200   3.53945      0.25780      0.00900      0.00800          0.26067          0.25979
   0.26000   1.04300   3.84889      0.27062      0.01000      0.00800          0.27482          0.27110
