 x    Q2    F2p   F2p_err	F2d	F2d_err       F2p_KP	  F2d_KP
   0.4475   6.2650   0.18493   0.00133   0.14276   0.00071   0.18269   0.14048
   0.4560   6.3840   0.17863   0.00129   0.13737   0.00068   0.17641   0.13518
   0.4645   6.5030   0.17238   0.00124   0.13205   0.00064   0.17017   0.12995
   0.4730   6.6220   0.16617   0.00118   0.12682   0.00061   0.16399   0.12481
   0.4815   6.7410   0.16002   0.00112   0.12168   0.00057   0.15788   0.11975
   0.4900   6.8600   0.15393   0.00107   0.11663   0.00054   0.15184   0.11477
   0.4985   6.9790   0.14793   0.00101   0.11168   0.00051   0.14589   0.10990
   0.5070   7.0980   0.14200   0.00095   0.10684   0.00048   0.14002   0.10512
   0.5155   7.2170   0.13616   0.00089   0.10209   0.00045   0.13425   0.10044
   0.5240   7.3360   0.13042   0.00084   0.09746   0.00043   0.12858   0.09588
   0.5325   7.4550   0.12478   0.00079   0.09294   0.00040   0.12302   0.09142
   0.5410   7.5740   0.11925   0.00074   0.08854   0.00038   0.11757   0.08708
   0.5495   7.6930   0.11384   0.00069   0.08425   0.00036   0.11224   0.08285
   0.5580   7.8120   0.10854   0.00065   0.08008   0.00035   0.10703   0.07874
   0.5665   7.9310   0.10336   0.00061   0.07603   0.00033   0.10194   0.07476
   0.5750   8.0500   0.09831   0.00058   0.07211   0.00032   0.09698   0.07089
   0.5835   8.1690   0.09340   0.00055   0.06831   0.00031   0.09215   0.06715
   0.5920   8.2880   0.08861   0.00052   0.06463   0.00030   0.08745   0.06353
   0.6005   8.4070   0.08396   0.00050   0.06108   0.00029   0.08288   0.06003
   0.6090   8.5260   0.07945   0.00048   0.05765   0.00028   0.07845   0.05666
   0.6175   8.6450   0.07509   0.00047   0.05435   0.00028   0.07416   0.05341
   0.6260   8.7640   0.07086   0.00046   0.05118   0.00028   0.07000   0.05028
   0.6345   8.8830   0.06679   0.00046   0.04813   0.00028   0.06599   0.04727
   0.6430   9.0020   0.06286   0.00046   0.04521   0.00029   0.06211   0.04439
   0.6515   9.1210   0.05907   0.00046   0.04241   0.00030   0.05837   0.04162
   0.6600   9.2400   0.05543   0.00047   0.03974   0.00031   0.05476   0.03897
   0.6685   9.3590   0.05194   0.00048   0.03718   0.00032   0.05130   0.03644
   0.6770   9.4780   0.04858   0.00049   0.03474   0.00033   0.04797   0.03402
   0.6855   9.5970   0.04537   0.00050   0.03241   0.00034   0.04477   0.03171
   0.6940   9.7160   0.04230   0.00051   0.03020   0.00035   0.04171   0.02951
   0.7025   9.8350   0.03936   0.00052   0.02810   0.00036   0.03878   0.02742
   0.7110   9.9540   0.03656   0.00053   0.02610   0.00036   0.03599   0.02543
   0.7195  10.0730   0.03389   0.00053   0.02420   0.00036   0.03332   0.02355
   0.7280  10.1920   0.03134   0.00053   0.02240   0.00036   0.03078   0.02176
   0.7365  10.3110   0.02892   0.00052   0.02070   0.00035   0.02836   0.02007
   0.7450  10.4300   0.02663   0.00050   0.01908   0.00033   0.02607   0.01848
   0.7535  10.5490   0.02445   0.00047   0.01756   0.00031   0.02390   0.01697
   0.7620  10.6680   0.02238   0.00044   0.01612   0.00029   0.02185   0.01556
   0.7705  10.7870   0.02043   0.00040   0.01476   0.00025   0.01991   0.01423
   0.7790  10.9060   0.01859   0.00035   0.01348   0.00022   0.01809   0.01298
   0.7875  11.0250   0.01685   0.00029   0.01228   0.00017   0.01637   0.01181
   0.7960  11.1440   0.01521   0.00022   0.01115   0.00012   0.01477   0.01072
