EXTERNAL/TSAI:  VERSION OF 8/8/96

Marathon                                                                
H3_kin9.inp                                                             
                                                                        
Hall A 2018: 25 cm Tritium target                                       
Nominal values - not exact                                              

----*----1----*----2----*----3----*----4----*----5----*----6----*----7--
                                                                        

TARGET (iZ,iA) = (  1,  3);   avgA =   3.000; amuM=  3.016; avgM=  2.809
 targ=TRITIUM; ttarg(rl)=0.00042; twall=0.00481; tbeam=0.00342; tspec=0.00732
         Nseg  =   4
 MODELS: P elastc(ikk)=14; deut elastic=13; inelastc=206; Pauli Supresion= 4
 NUCLEAR METHOD= 1;   NUCLEAR_MODEL= 1
 DIS MODEL= 1

    E1    TH    Q2 COS_K         SMR     NUC          INT-SMR
    EP     X    W2 QE-PK  INELA  Q-ELA  ELAST   TOTAL  MODEL

  10.589 26.524  6.74    1.04    0.98    0.40    0.00    1.38  0.722
   3.022  0.474  8.35    1.11   -2.82    0.44    0.00   -2.38 1.342E+00

  10.589 26.882  7.00    0.97    0.20    0.37    0.00    0.57  0.719
   3.057  0.495  8.02    1.04   -3.76    0.40    0.00   -3.36 1.140E+00

  10.589 27.265  7.26    0.91   -0.55    0.34    0.00   -0.21  0.718
   3.086  0.516  7.70    0.97   -4.66    0.37    0.00   -4.30 9.583E-01

  10.589 27.756  7.55    0.87   -1.21    0.32    0.00   -0.89  0.718
   3.097  0.537  7.39    0.92   -5.46    0.34    0.00   -5.12 7.900E-01

  10.589 28.273  7.84    0.83   -1.89    0.31    0.00   -1.58  0.721
   3.103  0.558  7.09    0.88   -6.27    0.33    0.00   -5.94 6.451E-01

  10.589 28.669  8.11    0.79   -2.54    0.29    0.00   -2.25  0.727
   3.124  0.579  6.78    0.84   -7.05    0.31    0.00   -6.73 5.332E-01

  0.000 0.000  0.000 .000  0.00  0.00  0.00  0.00  0.00  0.00 0.000
                           0.00  0.00  0.00  0.00  0.00  0.00 0.000E+00

